Team,Elo
Atlanta Hawks,1599.7230587506313
Boston Celtics,1483.9179742764754
Brooklyn Nets,1600.9940407226704
Charlotte Hornets,1450.124180754759
Chicago Bulls,1467.7873906304671
Cleveland Cavaliers,1359.2553704184675
Dallas Mavericks,1551.8367626031195
Denver Nuggets,1582.1186477333829
Detroit Pistons,1366.3572980037638
Golden State Warriors,1524.206161253516
Houston Rockets,1334.189619698356
Indiana Pacers,1477.9555463728284
Los Angeles Clippers,1597.6817801220782
Los Angeles Lakers,1538.2361691622848
Memphis Grizzlies,1527.0261049313615
Miami Heat,1527.4206765181398
Milwaukee Bucks,1619.8366641699995
Minnesota Timberwolves,1425.8203140001822
New Orleans Pelicans,1459.2707553164653
New York Knicks,1544.9100180508744
Oklahoma City Thunder,1355.5814449517384
Orlando Magic,1359.9020224762767
Philadelphia 76ers,1601.4150124356768
Phoenix Suns,1668.1132073093497
Portland Trail Blazers,1548.259535604506
Sacramento Kings,1458.6573659936319
San Antonio Spurs,1457.2589651068915
Toronto Raptors,1408.6733660436125
Utah Jazz,1604.0522005539915
Washington Wizards,1499.418346034502
