Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Sun, Apr 1, 2018",1:00p,Philadelphia 76ers,119,Charlotte Hornets,102
"Sun, Apr 1, 2018",3:30p,Washington Wizards,94,Chicago Bulls,113
"Sun, Apr 1, 2018",3:30p,Indiana Pacers,111,Los Angeles Clippers,104
"Sun, Apr 1, 2018",3:30p,Houston Rockets,83,San Antonio Spurs,100
"Sun, Apr 1, 2018",6:00p,Orlando Magic,88,Atlanta Hawks,94
"Sun, Apr 1, 2018",6:00p,Detroit Pistons,108,Brooklyn Nets,96
"Sun, Apr 1, 2018",6:00p,Dallas Mavericks,87,Cleveland Cavaliers,98
"Sun, Apr 1, 2018",6:00p,Oklahoma City Thunder,109,New Orleans Pelicans,104
"Sun, Apr 1, 2018",7:00p,Utah Jazz,121,Minnesota Timberwolves,97
"Sun, Apr 1, 2018",8:00p,Milwaukee Bucks,125,Denver Nuggets,128
"Sun, Apr 1, 2018",8:30p,Phoenix Suns,107,Golden State Warriors,117
"Sun, Apr 1, 2018",9:00p,Memphis Grizzlies,98,Portland Trail Blazers,113
"Sun, Apr 1, 2018",9:30p,Sacramento Kings,84,Los Angeles Lakers,83
"Tue, Apr 3, 2018",7:00p,Toronto Raptors,106,Cleveland Cavaliers,112
"Tue, Apr 3, 2018",7:00p,Brooklyn Nets,95,Philadelphia 76ers,121
"Tue, Apr 3, 2018",7:30p,Atlanta Hawks,98,Miami Heat,101
"Tue, Apr 3, 2018",7:30p,Orlando Magic,97,New York Knicks,73
"Tue, Apr 3, 2018",8:00p,Charlotte Hornets,114,Chicago Bulls,120
"Tue, Apr 3, 2018",8:00p,Washington Wizards,104,Houston Rockets,120
"Tue, Apr 3, 2018",8:00p,Boston Celtics,102,Milwaukee Bucks,106
"Tue, Apr 3, 2018",8:00p,Golden State Warriors,111,Oklahoma City Thunder,107
"Tue, Apr 3, 2018",8:30p,Portland Trail Blazers,109,Dallas Mavericks,115
"Tue, Apr 3, 2018",9:00p,Indiana Pacers,104,Denver Nuggets,107
"Tue, Apr 3, 2018",9:00p,Los Angeles Lakers,110,Utah Jazz,117
"Tue, Apr 3, 2018",10:00p,Sacramento Kings,94,Phoenix Suns,97
"Tue, Apr 3, 2018",10:30p,San Antonio Spurs,110,Los Angeles Clippers,113
"Wed, Apr 4, 2018",7:00p,Philadelphia 76ers,115,Detroit Pistons,108
"Wed, Apr 4, 2018",7:00p,Dallas Mavericks,100,Orlando Magic,105
"Wed, Apr 4, 2018",7:30p,Miami Heat,115,Atlanta Hawks,86
"Wed, Apr 4, 2018",8:00p,Memphis Grizzlies,95,New Orleans Pelicans,123
"Wed, Apr 4, 2018",8:00p,Boston Celtics,78,Toronto Raptors,96
"Wed, Apr 4, 2018",10:30p,San Antonio Spurs,112,Los Angeles Lakers,122
"Thu, Apr 5, 2018",7:00p,Golden State Warriors,106,Indiana Pacers,126
"Thu, Apr 5, 2018",8:00p,Washington Wizards,115,Cleveland Cavaliers,119
"Thu, Apr 5, 2018",8:00p,Portland Trail Blazers,94,Houston Rockets,96
"Thu, Apr 5, 2018",8:00p,Brooklyn Nets,119,Milwaukee Bucks,111
"Thu, Apr 5, 2018",9:00p,Los Angeles Clippers,95,Utah Jazz,117
"Thu, Apr 5, 2018",10:30p,Minnesota Timberwolves,96,Denver Nuggets,100
"Fri, Apr 6, 2018",7:00p,Dallas Mavericks,106,Detroit Pistons,113
"Fri, Apr 6, 2018",7:00p,Charlotte Hornets,137,Orlando Magic,100
"Fri, Apr 6, 2018",7:00p,Cleveland Cavaliers,130,Philadelphia 76ers,132
"Fri, Apr 6, 2018",7:00p,Atlanta Hawks,103,Washington Wizards,97
"Fri, Apr 6, 2018",7:30p,Chicago Bulls,104,Boston Celtics,111
"Fri, Apr 6, 2018",7:30p,Miami Heat,98,New York Knicks,122
"Fri, Apr 6, 2018",7:30p,Indiana Pacers,73,Toronto Raptors,92
"Fri, Apr 6, 2018",8:00p,Sacramento Kings,94,Memphis Grizzlies,93
"Fri, Apr 6, 2018",10:00p,New Orleans Pelicans,122,Phoenix Suns,103
"Fri, Apr 6, 2018",10:30p,Minnesota Timberwolves,113,Los Angeles Lakers,96
"Sat, Apr 7, 2018",3:30p,Denver Nuggets,134,Los Angeles Clippers,115
"Sat, Apr 7, 2018",7:30p,Milwaukee Bucks,115,New York Knicks,102
"Sat, Apr 7, 2018",8:00p,Brooklyn Nets,124,Chicago Bulls,96
"Sat, Apr 7, 2018",8:30p,New Orleans Pelicans,126,Golden State Warriors,120
"Sat, Apr 7, 2018",8:30p,Oklahoma City Thunder,108,Houston Rockets,102
"Sat, Apr 7, 2018",9:00p,Portland Trail Blazers,105,San Antonio Spurs,116
"Sun, Apr 8, 2018",1:00p,Atlanta Hawks,112,Boston Celtics,106
"Sun, Apr 8, 2018",1:00p,Indiana Pacers,123,Charlotte Hornets,117
"Sun, Apr 8, 2018",1:00p,Dallas Mavericks,97,Philadelphia 76ers,109
"Sun, Apr 8, 2018",3:30p,Detroit Pistons,117,Memphis Grizzlies,130
"Sun, Apr 8, 2018",6:00p,Utah Jazz,112,Los Angeles Lakers,97
"Sun, Apr 8, 2018",6:00p,Orlando Magic,101,Toronto Raptors,112
"Sun, Apr 8, 2018",9:00p,Golden State Warriors,117,Phoenix Suns,100
"Mon, Apr 9, 2018",7:00p,Toronto Raptors,108,Detroit Pistons,98
"Mon, Apr 9, 2018",7:30p,Chicago Bulls,105,Brooklyn Nets,114
"Mon, Apr 9, 2018",7:30p,Oklahoma City Thunder,115,Miami Heat,93
"Mon, Apr 9, 2018",7:30p,Cleveland Cavaliers,123,New York Knicks,109
"Mon, Apr 9, 2018",8:00p,Orlando Magic,86,Milwaukee Bucks,102
"Mon, Apr 9, 2018",8:00p,Memphis Grizzlies,94,Minnesota Timberwolves,113
"Mon, Apr 9, 2018",8:30p,Sacramento Kings,85,San Antonio Spurs,98
"Mon, Apr 9, 2018",9:00p,Portland Trail Blazers,82,Denver Nuggets,88
"Mon, Apr 9, 2018",10:30p,New Orleans Pelicans,113,Los Angeles Clippers,100
"Tue, Apr 10, 2018",7:00p,Charlotte Hornets,119,Indiana Pacers,93
"Tue, Apr 10, 2018",7:30p,Philadelphia 76ers,121,Atlanta Hawks,113
"Tue, Apr 10, 2018",8:00p,Boston Celtics,101,Washington Wizards,113
"Tue, Apr 10, 2018",8:30p,Phoenix Suns,124,Dallas Mavericks,97
"Tue, Apr 10, 2018",9:00p,Golden State Warriors,79,Utah Jazz,119
"Tue, Apr 10, 2018",10:30p,Houston Rockets,105,Los Angeles Lakers,99
"Wed, Apr 11, 2018",8:00p,Brooklyn Nets,97,Boston Celtics,110
