Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Fri, Dec 1, 2017",7:00p,Golden State Warriors,133,Orlando Magic,112
"Fri, Dec 1, 2017",7:00p,Detroit Pistons,91,Washington Wizards,109
"Fri, Dec 1, 2017",7:30p,Indiana Pacers,115,Toronto Raptors,120
"Fri, Dec 1, 2017",8:00p,Sacramento Kings,107,Chicago Bulls,106
"Fri, Dec 1, 2017",8:00p,San Antonio Spurs,95,Memphis Grizzlies,79
"Fri, Dec 1, 2017",8:00p,Charlotte Hornets,100,Miami Heat,105
"Fri, Dec 1, 2017",8:00p,Minnesota Timberwolves,107,Oklahoma City Thunder,111
"Fri, Dec 1, 2017",9:00p,New Orleans Pelicans,108,Utah Jazz,114
"Sat, Dec 2, 2017",1:00p,Phoenix Suns,111,Boston Celtics,116
"Sat, Dec 2, 2017",2:00p,Los Angeles Clippers,82,Dallas Mavericks,108
"Sat, Dec 2, 2017",3:00p,Atlanta Hawks,114,Brooklyn Nets,102
"Sat, Dec 2, 2017",7:30p,Memphis Grizzlies,111,Cleveland Cavaliers,116
"Sat, Dec 2, 2017",7:30p,Detroit Pistons,103,Philadelphia 76ers,108
"Sat, Dec 2, 2017",8:30p,Sacramento Kings,104,Milwaukee Bucks,109
"Sat, Dec 2, 2017",9:00p,Los Angeles Lakers,100,Denver Nuggets,115
"Sat, Dec 2, 2017",10:00p,New Orleans Pelicans,123,Portland Trail Blazers,116
"Sun, Dec 3, 2017",3:30p,Orlando Magic,105,New York Knicks,100
"Sun, Dec 3, 2017",7:00p,Golden State Warriors,123,Miami Heat,95
"Sun, Dec 3, 2017",7:00p,Los Angeles Clippers,106,Minnesota Timberwolves,112
"Sun, Dec 3, 2017",7:00p,San Antonio Spurs,87,Oklahoma City Thunder,90
"Sun, Dec 3, 2017",9:30p,Houston Rockets,118,Los Angeles Lakers,95
"Mon, Dec 4, 2017",7:00p,Orlando Magic,94,Charlotte Hornets,104
"Mon, Dec 4, 2017",7:00p,New York Knicks,97,Indiana Pacers,115
"Mon, Dec 4, 2017",7:00p,Phoenix Suns,115,Philadelphia 76ers,101
"Mon, Dec 4, 2017",7:30p,Brooklyn Nets,110,Atlanta Hawks,90
"Mon, Dec 4, 2017",7:30p,Milwaukee Bucks,100,Boston Celtics,111
"Mon, Dec 4, 2017",8:00p,Cleveland Cavaliers,113,Chicago Bulls,91
"Mon, Dec 4, 2017",8:00p,Minnesota Timberwolves,92,Memphis Grizzlies,95
"Mon, Dec 4, 2017",8:00p,Golden State Warriors,125,New Orleans Pelicans,115
"Mon, Dec 4, 2017",8:30p,Denver Nuggets,105,Dallas Mavericks,122
"Mon, Dec 4, 2017",8:30p,Detroit Pistons,93,San Antonio Spurs,96
"Mon, Dec 4, 2017",9:00p,Washington Wizards,69,Utah Jazz,116
"Tue, Dec 5, 2017",7:30p,Phoenix Suns,113,Toronto Raptors,126
"Tue, Dec 5, 2017",8:00p,Utah Jazz,94,Oklahoma City Thunder,100
"Tue, Dec 5, 2017",10:00p,Washington Wizards,106,Portland Trail Blazers,92
"Wed, Dec 6, 2017",7:00p,Sacramento Kings,95,Cleveland Cavaliers,101
"Wed, Dec 6, 2017",7:00p,Chicago Bulls,96,Indiana Pacers,98
"Wed, Dec 6, 2017",7:00p,Atlanta Hawks,106,Orlando Magic,110
"Wed, Dec 6, 2017",7:30p,Dallas Mavericks,90,Boston Celtics,97
"Wed, Dec 6, 2017",7:30p,Memphis Grizzlies,88,New York Knicks,99
"Wed, Dec 6, 2017",8:00p,Golden State Warriors,101,Charlotte Hornets,87
"Wed, Dec 6, 2017",8:00p,Detroit Pistons,100,Milwaukee Bucks,104
"Wed, Dec 6, 2017",8:00p,Denver Nuggets,114,New Orleans Pelicans,123
"Wed, Dec 6, 2017",8:30p,Miami Heat,105,San Antonio Spurs,117
"Wed, Dec 6, 2017",10:30p,Minnesota Timberwolves,113,Los Angeles Clippers,107
"Thu, Dec 7, 2017",8:00p,Los Angeles Lakers,107,Philadelphia 76ers,104
"Thu, Dec 7, 2017",9:00p,Washington Wizards,109,Phoenix Suns,99
"Thu, Dec 7, 2017",10:00p,Oklahoma City Thunder,95,Brooklyn Nets,100
"Thu, Dec 7, 2017",10:30p,Houston Rockets,112,Utah Jazz,101
"Fri, Dec 8, 2017",7:00p,Chicago Bulls,119,Charlotte Hornets,111
