Date,Team_away,MP_away,FG_away,FGA_away,FG%_away,3P_away,3PA_away,3P%_away,FT_away,FTA_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,Team_home,MP_home,FG_home,FGA_home,FG%_home,3P_home,3PA_home,3P%_home,FT_home,FTA_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,Winner,LogRatio_home,LogRatio_away,RB_aggr_home,RB_aggr_away,eFG%_home,eFG%_away,TS%_home,TS%_away,Elo_home,Elo_away,ModelProb_Away,ModelProb_Home,OddsAway_Elo,OddsHome_Elo
"Tue, Oct 16, 2018",Philadelphia 76ers,240,34,87,0.391,5,26,0.192,14,23,0.609,6,41,47,18,8,5,16,20,87,Boston Celtics,240,42,97,0.433,11,37,0.297,10,14,0.714,12,43,55,21,7,5,14,20,105,0,0.2713020218173943,-0.27130202181739427,0.2926829268292683,0.13953488372093023,0.4896907216494845,0.41954022988505746,0.5245803357314148,0.47251792309363455,1515.0,1485.0,0.5,0.5,2.0,2.0
"Tue, Oct 16, 2018",Oklahoma City Thunder,240,33,91,0.363,10,37,0.27,24,37,0.649,16,29,45,21,12,6,14,21,100,Golden State Warriors,240,42,95,0.442,7,26,0.269,17,18,0.944,17,41,58,28,7,7,21,29,108,0,0.11103131238874395,-0.11103131238874384,0.5862068965517241,0.3902439024390244,0.4789473684210526,0.4175824175824176,0.545675020210186,0.5043373007867662,1503.5,1496.5,0.5,0.5,2.0,2.0
"Wed, Oct 17, 2018",Milwaukee Bucks,240,42,85,0.494,14,34,0.412,15,20,0.75,11,46,57,26,5,4,21,25,113,Charlotte Hornets,240,41,92,0.446,16,38,0.421,14,22,0.636,9,32,41,21,8,9,11,19,112,1,-0.01282404035758362,0.012824040357583555,0.1956521739130435,0.34375,0.532608695652174,0.5764705882352941,0.5782734407269723,0.6319910514541387,1500.0,1500.0,0.5,0.5,2.0,2.0
"Wed, Oct 17, 2018",Brooklyn Nets,240,40,82,0.488,5,27,0.185,15,22,0.682,5,34,39,28,9,5,17,23,100,Detroit Pistons,240,39,92,0.424,6,24,0.25,19,22,0.864,14,32,46,21,5,5,14,20,103,0,0.04264433740849372,-0.04264433740849367,0.4117647058823529,0.15625,0.45652173913043476,0.5182926829268293,0.5318050392399835,0.5757715338553662,1500.0,1500.0,0.5,0.5,2.0,2.0
"Wed, Oct 17, 2018",Memphis Grizzlies,240,25,84,0.298,10,29,0.345,23,28,0.821,7,21,28,16,11,3,7,18,83,Indiana Pacers,240,47,83,0.566,10,26,0.385,7,13,0.538,13,44,57,29,2,7,20,24,111,0,0.41937643500318117,-0.41937643500318117,0.6190476190476191,0.1590909090909091,0.6265060240963856,0.35714285714285715,0.6464011180992313,0.46029281277728484,1515.0,1485.0,0.5,0.5,2.0,2.0
"Wed, Oct 17, 2018",Miami Heat,240,38,97,0.392,9,33,0.273,16,22,0.727,14,38,52,16,4,5,16,28,101,Orlando Magic,240,39,94,0.415,7,25,0.28,19,31,0.613,14,37,51,20,7,7,12,25,104,0,0.04222823538929746,-0.04222823538929744,0.3684210526315789,0.3783783783783784,0.4521276595744681,0.4381443298969072,0.5157706804205515,0.4958758837391987,1500.0,1500.0,0.5,0.5,2.0,2.0
"Wed, Oct 17, 2018",Atlanta Hawks,240,41,90,0.456,10,36,0.278,15,18,0.833,7,38,45,19,7,3,24,30,107,New York Knicks,240,45,99,0.455,12,33,0.364,24,31,0.774,10,36,46,21,12,6,15,23,126,0,0.2358129370987694,-0.23581293709876955,0.2631578947368421,0.19444444444444445,0.5151515151515151,0.5111111111111111,0.5953505953505954,0.5693912303107705,1515.0,1485.0,0.5,0.5,2.0,2.0
"Wed, Oct 17, 2018",Cleveland Cavaliers,240,34,85,0.4,7,19,0.368,29,39,0.744,14,35,49,17,4,0,16,25,104,Toronto Raptors,240,45,92,0.489,14,33,0.424,12,20,0.6,8,35,43,21,6,7,9,29,116,0,0.15754127698648002,-0.15754127698647993,0.22857142857142856,0.4,0.5652173913043478,0.4411764705882353,0.6016597510373444,0.5556742893780723,1507.5,1492.5,0.5,0.5,2.0,2.0
"Wed, Oct 17, 2018",New Orleans Pelicans,240,52,98,0.531,10,25,0.4,17,22,0.773,14,40,54,36,8,3,12,25,131,Houston Rockets,240,39,92,0.424,16,48,0.333,18,24,0.75,8,29,37,21,8,7,11,22,112,1,-0.2260680794798462,0.22606807947984625,0.2,0.4827586206896552,0.5108695652173914,0.5816326530612245,0.5756578947368421,0.6369117075068067,1485.0,1515.0,0.5,0.5,2.0,2.0
"Wed, Oct 17, 2018",Minnesota Timberwolves,240,39,91,0.429,6,19,0.316,24,27,0.889,14,32,46,20,9,2,11,27,108,San Antonio Spurs,240,40,93,0.43,11,25,0.44,21,29,0.724,19,33,52,22,3,4,12,22,112,0,0.05246741989413548,-0.05246741989413554,0.59375,0.42424242424242425,0.489247311827957,0.46153846153846156,0.5634936606963172,0.5570455952135341,1500.0,1500.0,0.5,0.5,2.0,2.0
