Date,Team_away,MP_away,FG_away,FGA_away,FG%_away,3P_away,3PA_away,3P%_away,FT_away,FTA_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,Team_home,MP_home,FG_home,FGA_home,FG%_home,3P_home,3PA_home,3P%_home,FT_home,FTA_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,Winner,LogRatio_home,LogRatio_away,RB_aggr_home,RB_aggr_away,eFG%_home,eFG%_away,TS%_home,TS%_away,OddsAway,OddsHome,Elo_home,Elo_away,ModelProb_Away,ModelProb_Home,OddsAway_Elo,OddsHome_Elo,HomeTeamWon
"Tue, Oct 22, 2019",New Orleans Pelicans,265,43,102,0.422,19,45,0.422,17,20,0.85,16,37,53,30,4,9,19,34,122,Toronto Raptors,265,42,103,0.408,14,40,0.35,32,38,0.842,16,41,57,23,7,3,16,24,130,0,0.09163047546556834,-0.09163047546556824,0.43243243243243246,0.3902439024390244,0.47572815533980584,0.5147058823529411,0.5836925287356322,0.5733082706766917,3.3,1.36,1503.5,1496.5,0.5,0.5,2.0,2.0,1
"Tue, Oct 22, 2019",Los Angeles Lakers,240,37,85,0.435,13,33,0.394,15,21,0.714,9,32,41,20,4,7,14,24,102,Los Angeles Clippers,240,42,81,0.519,11,31,0.355,17,24,0.708,11,34,45,24,8,5,14,25,112,0,0.13492958008610864,-0.13492958008610853,0.34375,0.2647058823529412,0.5864197530864198,0.5117647058823529,0.6490496059341678,0.5690694041508592,1.56,2.5,1507.5,1492.5,0.5,0.5,2.0,2.0,1
"Wed, Oct 23, 2019",Chicago Bulls,240,49,105,0.467,9,30,0.3,18,22,0.818,20,29,49,25,11,4,10,20,125,Charlotte Hornets,240,45,88,0.511,23,44,0.523,13,16,0.813,9,32,41,28,3,4,19,18,126,0,0.011495638837829437,-0.011495638837829386,0.3103448275862069,0.625,0.6420454545454546,0.5095238095238095,0.6883741258741259,0.5690094683175528,1.59,2.45,1500.0,1500.0,0.5,0.5,2.0,2.0,1
"Wed, Oct 23, 2019",Detroit Pistons,240,41,78,0.526,11,24,0.458,26,33,0.788,10,35,45,26,5,6,18,21,119,Indiana Pacers,240,41,89,0.461,8,21,0.381,20,24,0.833,10,26,36,26,8,6,15,28,110,1,-0.11345804978328383,0.11345804978328387,0.2857142857142857,0.38461538461538464,0.5056179775280899,0.5961538461538461,0.5833686890114552,0.6978653530377668,3.4,1.33,1496.5,1503.5,0.5,0.5,2.0,2.0,0
"Wed, Oct 23, 2019",Cleveland Cavaliers,240,33,88,0.375,9,34,0.265,10,15,0.667,10,44,54,20,8,2,16,15,85,Orlando Magic,240,37,86,0.43,9,30,0.3,11,19,0.579,7,39,46,24,12,4,13,18,94,0,0.14519791553993572,-0.14519791553993558,0.1590909090909091,0.2564102564102564,0.48255813953488375,0.42613636363636365,0.5211798624972277,0.4654983570646221,5.0,1.18,1503.5,1496.5,0.5,0.5,2.0,2.0,1
"Wed, Oct 23, 2019",Minnesota Timberwolves,265,46,108,0.426,13,43,0.302,22,28,0.786,12,40,52,23,9,4,13,22,127,Brooklyn Nets,265,48,101,0.475,15,34,0.441,15,26,0.577,10,38,48,19,8,9,16,30,126,1,-0.011404763272249362,0.011404763272249343,0.25,0.3157894736842105,0.5495049504950495,0.4861111111111111,0.5903298350824587,0.5562368605466013,2.42,1.61,1500.0,1500.0,0.5,0.5,2.0,2.0,0
"Wed, Oct 23, 2019",Memphis Grizzlies,240,38,89,0.427,5,32,0.156,20,30,0.667,9,31,40,22,9,7,24,31,101,Miami Heat,240,40,85,0.471,7,18,0.389,33,39,0.846,11,40,51,18,9,8,21,33,120,0,0.24867911285672373,-0.24867911285672378,0.3548387096774194,0.225,0.5117647058823529,0.4550561797752809,0.6411626415900834,0.5282426778242678,3.4,1.33,1515.0,1485.0,0.5,0.5,2.0,2.0,1
"Wed, Oct 23, 2019",Boston Celtics,240,33,90,0.367,7,26,0.269,20,34,0.588,10,31,41,18,4,2,10,29,93,Philadelphia 76ers,240,37,85,0.435,7,29,0.241,26,36,0.722,12,50,62,24,6,7,15,34,107,0,0.20230817529311568,-0.2023081752931156,0.3870967741935484,0.2,0.4764705882352941,0.40555555555555556,0.5757640981489454,0.47702092736971685,2.9,1.42,1507.5,1492.5,0.5,0.5,2.0,2.0,1
"Wed, Oct 23, 2019",Washington Wizards,240,37,93,0.398,11,41,0.268,15,18,0.833,11,36,47,26,6,3,17,32,100,Dallas Mavericks,240,35,76,0.461,11,36,0.306,27,33,0.818,5,41,46,17,6,5,19,22,108,0,0.11103131238874395,-0.11103131238874384,0.1388888888888889,0.2682926829268293,0.5328947368421053,0.45698924731182794,0.6485707422531828,0.5156765676567657,4.5,1.22,1503.5,1496.5,0.5,0.5,2.0,2.0,1
"Wed, Oct 23, 2019",New York Knicks,240,44,94,0.468,10,30,0.333,13,18,0.722,5,34,39,24,16,1,14,32,111,San Antonio Spurs,240,42,83,0.506,7,21,0.333,29,36,0.806,10,41,51,22,6,5,21,18,120,0,0.11247472925841265,-0.1124747292584125,0.29411764705882354,0.12195121951219512,0.5481927710843374,0.5212765957446809,0.6599208095028597,0.5665577786851776,6.25,1.13,1503.5,1496.5,0.5,0.5,2.0,2.0,1
"Wed, Oct 23, 2019",Oklahoma City Thunder,240,32,83,0.386,10,27,0.37,21,31,0.677,7,41,48,15,5,4,13,23,95,Utah Jazz,240,40,90,0.444,6,24,0.25,14,20,0.7,11,38,49,15,4,5,11,31,100,0,0.07400058144377678,-0.07400058144377693,0.2682926829268293,0.18421052631578946,0.4777777777777778,0.4457831325301205,0.5296610169491525,0.5288354486751281,4.75,1.2,1500.0,1500.0,0.5,0.5,2.0,2.0,1
"Wed, Oct 23, 2019",Sacramento Kings,240,34,87,0.391,10,29,0.345,17,26,0.654,12,35,47,17,5,5,26,24,95,Phoenix Suns,240,49,98,0.5,11,33,0.333,15,18,0.833,9,35,44,31,13,9,14,25,124,0,0.3843407020559274,-0.3843407020559274,0.2571428571428571,0.34285714285714286,0.5561224489795918,0.4482758620689655,0.6080816006276972,0.5122950819672131,1.87,1.95,1515.0,1485.0,0.5,0.5,2.0,2.0,1
"Wed, Oct 23, 2019",Denver Nuggets,240,34,81,0.42,18,32,0.563,22,27,0.815,11,34,45,24,11,4,19,23,108,Portland Trail Blazers,240,36,87,0.414,7,28,0.25,21,23,0.913,13,35,48,13,9,4,20,25,100,1,-0.11103131238874384,0.11103131238874395,0.38235294117647056,0.3142857142857143,0.4540229885057471,0.5308641975308642,0.5431240495329133,0.6211180124223603,1.83,2.0,1496.5,1503.5,0.5,0.5,2.0,2.0,0
"Thu, Oct 24, 2019",Atlanta Hawks,240,44,86,0.512,11,31,0.355,18,21,0.857,8,34,42,27,9,2,13,15,117,Detroit Pistons,240,35,85,0.412,10,37,0.27,20,22,0.909,9,30,39,20,6,5,13,20,100,1,-0.2265085298086799,0.22650852980867975,0.2647058823529412,0.26666666666666666,0.47058823529411764,0.5755813953488372,0.5565449688334817,0.6455528580887221,2.05,1.8,1488.3488979645986,1515.1511020354014,0.49496326548662156,0.5050367345133784,2.020351952819879,1.9800539874857561,0
"Thu, Oct 24, 2019",Milwaukee Bucks,240,46,99,0.465,16,46,0.348,9,18,0.5,6,47,53,31,7,10,11,27,117,Houston Rockets,240,33,90,0.367,16,48,0.333,29,39,0.744,10,47,57,25,6,6,14,25,111,1,-0.07594885323329863,0.07594885323329842,0.2127659574468085,0.1276595744680851,0.45555555555555555,0.5454545454545454,0.5629945222154595,0.5681818181818182,2.0,1.83,1496.5,1503.5,0.5,0.5,2.0,2.0,0
"Thu, Oct 24, 2019",Los Angeles Clippers,240,50,80,0.625,18,32,0.563,23,30,0.767,3,36,39,33,7,5,17,24,141,Golden State Warriors,240,39,99,0.394,15,42,0.357,29,30,0.967,15,27,42,27,7,0,13,21,122,1,-0.20881401483590722,0.20881401483590736,0.4166666666666667,0.1111111111111111,0.4696969696969697,0.7375,0.5776515151515151,0.8140877598152425,1.91,1.91,1485.3237507423705,1522.1762492576295,0.5107916914123477,0.48920830858765224,1.9577452351172413,2.0441190029805645,0
"Fri, Oct 25, 2019",Toronto Raptors,240,37,78,0.474,18,36,0.5,14,17,0.824,5,41,46,22,2,6,23,28,106,Boston Celtics,240,42,109,0.385,13,38,0.342,15,16,0.938,21,35,56,21,10,8,9,20,112,0,0.07943446749440491,-0.07943446749440497,0.5121951219512195,0.14285714285714285,0.44495412844036697,0.5897435897435898,0.4976892996800569,0.6483973574749206,2.2,1.71,1496.1107748968532,1499.8892251031468,0.515824985264735,0.4841750147352649,1.9386420366721353,2.0653688636675636,1
"Fri, Oct 25, 2019",Minnesota Timberwolves,240,43,91,0.473,12,38,0.316,23,31,0.742,13,39,52,30,11,6,15,21,121,Charlotte Hornets,240,37,84,0.44,12,29,0.414,13,26,0.5,9,33,42,26,6,5,19,29,99,1,-0.2895066171949848,0.289506617194985,0.23076923076923078,0.3939393939393939,0.5119047619047619,0.5384615384615384,0.5517164511814534,0.6184829278266204,1.45,2.8,1485.0,1515.0,0.5,0.5,2.0,2.0,0
"Fri, Oct 25, 2019",New York Knicks,240,38,81,0.469,17,25,0.68,16,28,0.571,9,30,39,17,14,4,26,31,109,Brooklyn Nets,240,37,78,0.474,16,37,0.432,23,34,0.676,11,35,46,21,11,2,26,26,113,0,0.05199463763826135,-0.05199463763826143,0.36666666666666664,0.2571428571428571,0.5769230769230769,0.5740740740740741,0.6609733270940571,0.6252868288205599,3.8,1.28,1500.0,1496.5,0.49496326548662156,0.5050367345133784,2.020351952819879,1.9800539874857561,1
"Fri, Oct 25, 2019",Chicago Bulls,240,40,93,0.43,12,42,0.286,18,24,0.75,9,36,45,18,14,7,13,21,110,Memphis Grizzlies,240,39,94,0.415,10,29,0.345,14,20,0.7,15,41,56,24,8,6,18,21,102,1,-0.10893437155316406,0.10893437155316393,0.4166666666666667,0.21951219512195122,0.46808510638297873,0.4946236559139785,0.5182926829268293,0.5596255596255596,1.8,2.05,1481.651013331358,1503.348986668642,0.5215733330511455,0.47842666694885455,1.9172759353897795,2.0901844923851276,0
"Fri, Oct 25, 2019",Dallas Mavericks,240,45,93,0.484,14,40,0.35,19,26,0.731,12,37,49,23,8,7,11,19,123,New Orleans Pelicans,240,45,98,0.459,15,41,0.366,11,15,0.733,12,36,48,30,6,3,14,22,116,1,-0.08453351021166772,0.08453351021166769,0.32432432432432434,0.3333333333333333,0.5357142857142857,0.5591397849462365,0.5725567620927937,0.6229740680713128,2.1,1.77,1493.0705071284922,1506.9294928715078,0.5100724469274385,0.48992755307256153,1.9605058183867305,2.0411181076233396,0
