Date;Rot;VH;Team;1st;2nd;3rd;4th;Final;Open;Close;ML;2H
1222;501;V;Golden State Warriors;25;20;26;28;99;228;234.5;265;1
1222;502;H;Brooklyn Nets;40;23;36;26;125;5.5;7.5;-320;115
1222;503;V;Los Angeles Clippers;39;17;33;27;116;223;219;115;108.5
1222;504;H;Los Angeles Lakers;19;35;24;31;109;2.5;2;-135;3.5
1223;551;V;Charlotte Hornets;23;21;36;34;114;215;3;-140;7
1223;552;H;Cleveland Cavaliers;24;41;28;28;121;1;217;120;107
1223;553;V;New York Knicks;33;33;16;25;107;214.5;215.5;270;107.5
1223;554;H;Indiana Pacers;35;26;27;33;121;8.5;7.5;-330;7.5
1223;555;V;Miami Heat;29;24;30;24;107;3.5;4.5;-190;5
1223;556;H;Orlando Magic;27;29;23;34;113;220.5;219;170;106.5
1223;557;V;Washington Wizards;26;33;24;24;107;229;230.5;250;113.5
1223;558;H;Philadelphia 76ers;30;28;15;40;113;7.5;7;-300;5.5
1223;559;V;Milwaukee Bucks;34;25;25;37;121;2.5;4.5;-190;4
1223;560;H;Boston Celtics;31;33;37;21;122;226;223;170;115
1223;561;V;New Orleans Pelicans;23;27;38;25;113;230;228.5;150;111
1223;562;H;Toronto Raptors;26;31;22;20;99;5;3.5;-170;pk
1223;563;V;Atlanta Hawks;42;41;28;13;124;1.5;2;-130;116
1223;564;H;Chicago Bulls;29;30;20;25;104;227;234;110;6
1223;567;V;San Antonio Spurs;30;36;33;32;131;231.5;230;110;117
1223;568;H;Memphis Grizzlies;33;20;35;31;119;3;2;-130;5
1223;569;V;Detroit Pistons;34;23;28;16;101;227;224.5;190;110
1223;570;H;Minnesota Timberwolves;25;31;24;31;111;5.5;5.5;-220;4.5
1223;571;V;Sacramento Kings;25;28;36;23;124;224.5;227.5;260;111.5
1223;572;H;Denver Nuggets;31;29;24;28;122;8;7.5;-310;2
1223;573;V;Utah Jazz;32;33;29;26;120;229;1.5;-130;115
1223;574;H;Portland Trail Blazers;25;19;24;32;100;1.5;226;110;5
1223;575;V;Dallas Mavericks;22;23;26;31;102;237;232.5;100;2
1223;576;H;Phoenix Suns;23;30;24;29;106;pk;1.5;-120;113
1225;577;V;New Orleans Pelicans;26;27;26;19;98;229;221;130;3
1225;578;H;Miami Heat;29;37;22;23;111;5;3;-150;107.5
1225;579;V;Golden State Warriors;25;31;20;23;99;233.5;230.5;450;113
1225;580;H;Milwaukee Bucks;33;33;34;38;138;8.5;10;-600;2.5
1225;581;V;Brooklyn Nets;26;25;35;37;123;227;3;-145;3
1225;582;H;Boston Celtics;22;32;23;18;95;pk;229.5;125;114
1225;583;V;Dallas Mavericks;30;27;28;30;115;230;226;225;1.5
1225;584;H;Los Angeles Lakers;33;36;30;39;138;6.5;6;-265;110.5
1225;585;V;Los Angeles Clippers;32;40;26;23;121;2;3.5;-160;110.5
1225;586;H;Denver Nuggets;26;29;24;29;108;222;226.5;140;3.5
1226;501;V;Atlanta Hawks;27;31;29;35;122;1;238.5;120;117.5
1226;502;H;Memphis Grizzlies;22;34;32;24;112;237.5;2.5;-140;1
1226;503;V;Cleveland Cavaliers;26;33;22;20;128;220;214;-110;105.5
1226;504;H;Detroit Pistons;26;27;33;15;119;3;pk;-110;1.5
1226;505;V;Orlando Magic;32;31;29;38;130;228.5;232;110;117.5
1226;506;H;Washington Wizards;32;27;32;29;120;1;1.5;-130;1.5
1226;507;V;Oklahoma City ThunderCity;26;31;23;29;109;218.5;219.5;125;108
1226;508;H;Charlotte Hornets;28;31;16;32;107;3;3;-145;1
1226;509;V;Philadelphia 76ers;27;33;26;23;109;8;8;-360;4
1226;510;H;New York Knicks;27;28;14;20;89;219;215;300;105.5
1226;511;V;Indiana Pacers;27;39;33;26;125;3;6;-240;0.5
1226;512;H;Chicago Bulls;28;28;15;35;106;222.5;223.5;200;110
1226;513;V;Toronto Raptors;39;19;28;28;114;2;2.5;-145;2
1226;514;H;San Antonio Spurs;33;28;30;28;119;225.5;228.5;125;112.5
1226;515;V;Minnesota Timberwolves;31;37;20;28;116;225.5;229;375;112
1226;516;H;Utah Jazz;27;26;26;32;111;8;9.5;-450;9.5
1226;517;V;Phoenix Suns;25;29;25;24;103;4.5;3.5;-160;4
1226;518;H;Sacramento Kings;31;27;25;23;106;230;227;140;114.5
1226;519;V;Houston Rockets;31;37;17;28;126;225;225.5;300;111.5
1226;520;H;Portland Trail Blazers;27;31;26;29;128;8.5;7.5;-360;6.5
1227;521;V;Dallas Mavericks;36;41;27;20;124;230;226.5;140;111.5
1227;522;H;Los Angeles Clippers;13;14;30;16;73;4.5;3;-160;10.5
1227;523;V;San Antonio Spurs;18;27;26;24;95;226.5;227.5;170;116
1227;524;H;New Orleans Pelicans;16;31;32;19;98;5.5;5;-190;2.5
1227;525;V;Orlando Magic;29;33;15;43;120;225.5;2;-130;0.5
1227;526;H;Washington Wizards;35;25;34;19;113;1.5;231;110;117.5
1227;527;V;Brooklyn Nets;22;28;27;27;104;7.5;11.5;-600;6.5
1227;528;H;Charlotte Hornets;23;25;34;24;106;224;233;450;113.5
1227;529;V;Philadelphia 76ers;24;26;22;22;94;5.5;6;-240;7.5
1227;530;H;Cleveland Cavaliers;29;35;29;25;118;218.5;218;200;108
1227;531;V;Milwaukee Bucks;27;18;30;35;110;11;13;-1200;12
1227;532;H;New York Knicks;30;31;35;34;130;223.5;222;750;114
1227;533;V;Boston Celtics;23;32;28;24;107;219;3;-135;113
1227;534;H;Indiana Pacers;19;30;39;20;108;3;220.5;115;0.5
1227;535;V;Golden State Warriors;24;36;33;36;129;2;3.5;-165;1
1227;536;H;Chicago Bulls;27;29;41;31;128;226;229.5;145;112
1227;537;V;Phoenix Suns;28;28;34;26;116;3.5;3;-160;1.5
1227;538;H;Sacramento Kings;33;20;25;22;100;224.5;225.5;140;114
1228;539;V;Minnesota Timberwolves;23;22;22;24;91;224;229;400;0.5
1228;540;H;Los Angeles Lakers;40;27;36;24;127;11;10.5;-500;112
1228;541;V;Memphis Grizzlies;32;22;33;19;116;235;1.5;-125;114.5
1228;542;H;Brooklyn Nets;23;32;30;21;111;7;227.5;105;0.5
1228;543;V;Detroit Pistons;25;31;31;33;120;226.5;223.5;400;109.5
1228;544;H;Atlanta Hawks;33;32;35;28;128;8.5;10.5;-500;3
1228;545;V;Utah Jazz;22;27;35;26;110;5;9;-400;7.5
1228;546;H;Oklahoma City ThunderCity;24;28;35;22;109;221;218;330;110.5
1228;547;V;Houston Rockets;26;34;23;28;111;225.5;222;225;109.5
1228;548;H;Denver Nuggets;36;34;36;18;124;9;6.5;-265;0.5
1228;549;V;Portland Trail Blazers;22;36;26;31;115;227.5;229;195;117.5
1228;550;H;Los Angeles Lakers;30;24;31;22;107;4.5;6;-230;5.5
1229;551;V;Boston Celtics;31;27;25;33;116;1;219;-105;112
1229;552;H;Indiana Pacers;26;31;37;17;111;220;1;-115;pk
1229;553;V;Chicago Bulls;31;21;31;32;115;232.5;238;210;119.5
1229;554;H;Washington Wizards;26;20;27;34;107;4.5;6.5;-250;5
1229;555;V;Golden State Warriors;24;24;29;39;116;3.5;4.5;-170;4
1229;556;H;Detroit Pistons;29;22;25;30;106;222.5;227.5;150;110.5
1229;557;V;Toronto Raptors;28;28;20;17;93;218.5;219.5;105;106.5
1229;558;H;Philadelphia 76ers;17;31;28;24;100;pk;1.5;-125;2.5
1229;559;V;New York Knicks;29;24;18;24;95;219.5;216;140;106.5
1229;560;H;Cleveland Cavaliers;15;31;18;22;86;4.5;3.5;-160;4
1229;561;V;Milwaukee Bucks;46;37;32;29;144;5;6;-240;114.5
1229;562;H;Miami Heat;26;25;24;22;97;222.5;227.5;200;4.5
1229;563;V;Orlando Magic;34;26;27;31;118;5;6.5;-250;2.5
1229;564;H;Oklahoma City ThunderCity;27;29;29;22;107;219.5;219;210;112
1229;565;V;Minnesota Timberwolves;29;21;26;25;101;229.5;225.5;475;109.5
1229;566;H;Los Angeles Clippers;33;37;35;19;124;6.5;10.5;-650;0.5
1229;567;V;New Orleans Pelicans;29;15;17;25;86;223;222;105;5
1229;568;H;Phoenix Suns;31;35;34;11;111;3;1.5;-125;108
1229;569;V;Denver Nuggets;34;28;38;15;115;3;226;-110;3.5
1229;570;H;Sacramento Kings;32;42;22;29;125;223.5;1;-110;110.5
1230;571;V;Memphis Grizzlies;19;21;31;36;107;224;218;245;2.5
1230;572;H;Boston Celtics;31;35;30;30;126;8.5;7;-285;110
1230;573;V;Milwaukee Bucks;19;37;35;17;108;6;6.5;-260;2.5
1230;574;H;Miami Heat;25;26;37;31;119;227.5;228.5;220;115
1230;575;V;Atlanta Hawks;41;27;36;37;141;240;240;195;118
1230;576;H;Brooklyn Nets;38;29;35;43;145;6.5;5.5;-230;4
1230;577;V;Charlotte Hornets;36;32;30;20;118;223.5;225;300;112
1230;578;H;Dallas Mavericks;29;28;12;30;99;8.5;8;-360;8
1230;579;V;Los Angeles Lakers;35;28;29;29;121;6.5;7.5;-310;1
1230;580;H;San Antonio Spurs;27;26;29;25;107;229.5;231.5;260;113
1230;581;V;Portland Trail Blazers;26;31;28;20;105;229;226;190;2.5
1230;582;H;Los Angeles Clippers;37;39;31;21;128;3.5;6;-220;113.5
1231;511;V;Cleveland Cavaliers;21;30;17;31;99;217;219;270;108.5
1231;512;H;Indiana Pacers;32;25;31;31;119;8.5;8;-330;2.5
1231;513;V;Chicago Bulls;35;36;36;26;133;234.5;235.5;250;120
1231;514;H;Washington Wizards;41;27;32;30;130;5;7.5;-300;5.5
1231;515;V;Philadelphia 76ers;38;37;23;18;116;2;4;-175;106
1231;516;H;Orlando Magic;22;18;29;23;92;217;219.5;155;6
1231;517;V;Sacramento Kings;33;26;27;33;119;227;231.5;180;114
1231;518;H;Houston Rockets;32;31;24;35;122;3;5.5;-210;2
1231;519;V;New York Knicks;18;24;22;19;83;217.5;215.5;300;104.5
1231;520;H;Toronto Raptors;22;20;29;29;100;9.5;8.5;-360;5
1231;521;V;New Orleans Pelicans;32;26;27;28;113;4.5;5.5;-200;0.5
1231;522;H;Oklahoma City ThunderCity;28;19;26;7;80;214.5;214.5;175;106
1231;523;V;Phoenix Suns;21;32;30;23;106;220;219.5;150;112
1231;524;H;Utah Jazz;22;18;30;25;95;4;4;-170;6
101;525;V;Boston Celtics;12;28;33;20;93;9.5;8.5;-370;9
101;526;H;Detroit Pistons;27;28;24;17;96;215.5;213.5;310;108
101;527;V;Miami Heat;16;15;22;30;83;222.5;1.5;-115;5
101;528;H;Dallas Mavericks;20;26;27;20;93;1;225;-105;109.5
101;529;V;Memphis Grizzlies;23;30;30;25;108;220;219.5;160;110.5
