Date,Team_away,MP_away,FG_away,FGA_away,FG%_away,3P_away,3PA_away,3P%_away,FT_away,FTA_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,Team_home,MP_home,FG_home,FGA_home,FG%_home,3P_home,3PA_home,3P%_home,FT_home,FTA_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,Winner,LogRatio_home,LogRatio_away,RB_aggr_home,RB_aggr_away,eFG%_home,eFG%_away,TS%_home,TS%_away,OddsAway,OddsHome
"Tue, Dec 22, 2020",Golden State Warriors,240,37,99,0.374,10,33,0.303,15,23,0.652,13,34,47,26,6,6,18,24,99,Brooklyn Nets,240,42,92,0.457,15,35,0.429,26,32,0.813,13,44,57,24,11,7,20,22,125,0,0.3364276645824773,-0.3364276645824773,0.3823529411764705,0.2954545454545454,0.5380434782608695,0.4242424242424242,0.6310581583198707,0.4756871035940803,3.65,1.31
"Tue, Dec 22, 2020",Los Angeles Clippers,240,44,93,0.473,14,40,0.35,14,19,0.737,11,29,40,22,10,3,16,29,116,Los Angeles Lakers,240,38,81,0.469,9,29,0.31,24,31,0.774,8,37,45,22,4,2,19,20,109,1,-0.0897966703506456,0.0897966703506458,0.2758620689655172,0.2972972972972973,0.5246913580246914,0.5483870967741935,0.620587565474835,0.5968306235850998,2.15,1.74
"Wed, Dec 23, 2020",Charlotte Hornets,240,45,90,0.5,16,44,0.364,8,15,0.533,8,24,32,29,10,4,15,17,114,Cleveland Cavaliers,240,46,87,0.529,14,30,0.467,15,20,0.75,10,40,50,34,12,3,18,22,121,0,0.0859732231098528,-0.0859732231098528,0.4166666666666667,0.2,0.6091954022988506,0.5888888888888889,0.661925601750547,0.6109324758842444,1.71,2.2
"Wed, Dec 23, 2020",New York Knicks,240,39,85,0.459,12,28,0.429,17,23,0.739,5,35,40,25,8,8,16,27,107,Indiana Pacers,240,46,94,0.489,8,34,0.235,21,29,0.724,10,40,50,28,6,9,13,24,121,0,0.1773962508734476,-0.1773962508734475,0.2857142857142857,0.125,0.5319148936170213,0.5294117647058824,0.6027097031281132,0.5940484121696646,3.7,1.3
"Wed, Dec 23, 2020",Miami Heat,240,42,83,0.506,7,20,0.35,16,19,0.842,7,36,43,25,11,2,22,21,107,Orlando Magic,240,42,88,0.477,10,28,0.357,19,30,0.633,11,30,41,23,15,3,17,19,113,0,0.0787119760140407,-0.0787119760140407,0.3055555555555556,0.2333333333333333,0.5340909090909091,0.5481927710843374,0.5972515856236786,0.6136728607478779,1.53,2.7
"Wed, Dec 23, 2020",Washington Wizards,240,39,85,0.459,13,27,0.481,16,23,0.696,5,35,40,28,7,4,19,26,107,Philadelphia 76ers,240,41,87,0.471,8,28,0.286,23,30,0.767,10,37,47,22,11,8,16,25,113,0,0.0787119760140407,-0.0787119760140407,0.2857142857142857,0.1351351351351351,0.5172413793103449,0.5352941176470588,0.6036324786324787,0.5940484121696646,3.5,1.33
"Wed, Dec 23, 2020",New Orleans Pelicans,240,42,80,0.525,19,42,0.452,10,20,0.5,8,37,45,30,13,7,24,17,113,Toronto Raptors,240,38,89,0.427,14,46,0.304,9,12,0.75,7,28,35,26,10,5,20,22,99,1,-0.190822342335578,0.1908223423355781,0.1891891891891892,0.2857142857142857,0.5056179775280899,0.64375,0.5401571366215626,0.669431279620853,2.5,1.59
"Wed, Dec 23, 2020",Milwaukee Bucks,240,46,90,0.511,14,35,0.4,15,18,0.833,11,41,52,19,4,6,16,20,121,Boston Celtics,240,48,101,0.475,18,40,0.45,8,11,0.727,10,27,37,23,8,6,6,17,122,0,0.0118741002882917,-0.0118741002882917,0.2439024390243902,0.4074074074074074,0.5643564356435643,0.5888888888888889,0.5898278862889189,0.6438910174542359,1.53,2.7
"Wed, Dec 23, 2020",Atlanta Hawks,240,43,80,0.538,14,35,0.4,24,29,0.828,8,38,46,24,6,3,21,29,124,Chicago Bulls,240,36,87,0.414,8,35,0.229,24,28,0.857,8,29,37,20,10,3,15,22,104,1,-0.253756592245783,0.253756592245783,0.2105263157894736,0.2758620689655172,0.4597701149425287,0.625,0.55817947617003,0.7177587404491781,1.77,2.1
"Wed, Dec 23, 2020",San Antonio Spurs,240,48,95,0.505,10,25,0.4,25,29,0.862,8,40,48,28,8,8,10,18,131,Memphis Grizzlies,240,49,95,0.516,10,27,0.37,11,18,0.611,5,37,42,27,6,8,11,20,119,1,-0.1386052382295068,0.1386052382295068,0.125,0.2162162162162162,0.5684210526315789,0.5578947368421052,0.6012530315278901,0.6460840402446242,2.1,1.77
"Wed, Dec 23, 2020",Detroit Pistons,240,45,93,0.484,8,35,0.229,3,8,0.375,7,37,44,29,5,2,12,20,101,Minnesota Timberwolves,240,38,88,0.432,11,41,0.268,24,28,0.857,12,36,48,25,6,5,11,16,111,0,0.1362043835983113,-0.1362043835983111,0.3243243243243243,0.1944444444444444,0.4943181818181818,0.5268817204301075,0.5894222599830077,0.5329252849303503,2.9,1.45
"Wed, Dec 23, 2020",Sacramento Kings,265,45,102,0.441,10,31,0.323,24,31,0.774,18,36,54,27,5,7,14,29,124,Denver Nuggets,265,47,98,0.48,8,29,0.276,20,24,0.833,10,36,46,28,6,11,15,25,122,1,-0.0234589728239889,0.0234589728239889,0.2777777777777778,0.5,0.5204081632653061,0.4901960784313725,0.5906274206041828,0.5697482080499908,3.6,1.32
"Wed, Dec 23, 2020",Utah Jazz,240,43,94,0.457,19,50,0.38,15,19,0.789,12,47,59,24,3,3,11,16,120,Portland Trail Blazers,240,37,92,0.402,12,33,0.364,14,17,0.824,6,34,40,23,6,3,6,18,100,1,-0.2630344058337938,0.2630344058337938,0.1276595744680851,0.3529411764705882,0.4673913043478261,0.5585106382978723,0.5222477543346564,0.6111224281931147,1.77,2.1
"Wed, Dec 23, 2020",Dallas Mavericks,240,36,85,0.424,9,37,0.243,21,26,0.808,6,33,39,17,6,0,11,23,102,Phoenix Suns,240,38,79,0.481,11,30,0.367,19,27,0.704,6,42,48,21,7,7,18,26,106,0,0.0554951125917037,-0.0554951125917035,0.1818181818181818,0.1428571428571428,0.5506329113924051,0.4764705882352941,0.6239698610784083,0.5621693121693122,2.0,1.83
"Fri, Dec 25, 2020",New Orleans Pelicans,240,31,78,0.397,10,35,0.286,26,33,0.788,11,30,41,18,8,2,19,20,98,Miami Heat,240,38,75,0.507,16,37,0.432,19,23,0.826,4,31,35,29,11,2,17,25,111,0,0.1797060222348978,-0.1797060222348978,0.1333333333333333,0.3548387096774194,0.6133333333333333,0.4615384615384615,0.6932300774419186,0.5747126436781609,2.3,1.67
"Fri, Dec 25, 2020",Golden State Warriors,240,34,99,0.343,10,45,0.222,21,25,0.84,10,33,43,14,5,6,11,22,99,Milwaukee Bucks,240,50,90,0.556,20,36,0.556,18,26,0.692,11,49,60,25,6,4,17,17,138,0,0.4791678366985595,-0.4791678366985595,0.3333333333333333,0.2040816326530612,0.6666666666666666,0.3939393939393939,0.7208524864187212,0.4736842105263157,5.5,1.17
"Fri, Dec 25, 2020",Brooklyn Nets,240,41,76,0.539,15,29,0.517,26,31,0.839,9,34,43,21,5,10,15,22,123,Boston Celtics,240,37,98,0.378,8,27,0.296,13,19,0.684,20,27,47,23,6,5,15,27,95,1,-0.3726588970082921,0.3726588970082921,0.5882352941176471,0.3333333333333333,0.4183673469387755,0.6381578947368421,0.46486592288119,0.7425742574257427,1.69,2.25
"Fri, Dec 25, 2020",Dallas Mavericks,240,41,83,0.494,13,32,0.406,20,26,0.769,3,24,27,20,13,3,9,22,115,Los Angeles Lakers,240,51,91,0.56,19,39,0.487,17,24,0.708,17,36,53,33,9,4,16,23,138,0,0.2630344058337938,-0.2630344058337938,0.7083333333333334,0.0833333333333333,0.6648351648351648,0.572289156626506,0.7166597424179476,0.6481064021641119,3.25,1.38
"Fri, Dec 25, 2020",Los Angeles Clippers,240,41,74,0.554,19,38,0.5,20,24,0.833,9,29,38,32,9,4,18,32,121,Denver Nuggets,240,37,81,0.457,11,36,0.306,23,31,0.742,10,22,32,25,7,1,13,20,108,1,-0.1639757351111259,0.1639757351111261,0.3448275862068966,0.4090909090909091,0.5246913580246914,0.6824324324324325,0.6148941015713961,0.7631180625630676,1.62,2.4
"Sat, Dec 26, 2020",Atlanta Hawks,240,38,89,0.427,13,36,0.361,33,38,0.868,13,41,54,23,4,5,15,20,122,Memphis Grizzlies,240,37,93,0.398,13,43,0.302,25,29,0.862,9,37,46,20,5,6,10,27,112,1,-0.1233824155052821,0.123382415505282,0.2195121951219512,0.3513513513513513,0.4677419354838709,0.5,0.5634936606963172,0.6265406737880033,2.2,1.71
"Sat, Dec 26, 2020",Oklahoma City Thunder,240,40,88,0.455,10,36,0.278,19,24,0.792,9,45,54,25,10,7,16,21,109,Charlotte Hornets,240,37,93,0.398,13,32,0.406,20,32,0.625,13,34,47,27,11,8,13,22,107,1,-0.0267173383757794,0.0267173383757794,0.2888888888888888,0.2647058823529412,0.4677419354838709,0.5113636363636364,0.5347860855657737,0.58426243567753,2.25,1.69
"Sat, Dec 26, 2020",Cleveland Cavaliers,290,48,99,0.485,13,30,0.433,19,30,0.633,7,44,51,29,13,4,18,24,128,Detroit Pistons,290,40,98,0.408,16,45,0.356,23,32,0.719,10,47,57,24,9,5,22,20,119,1,-0.1051822366920564,0.1051822366920564,0.2272727272727272,0.1489361702127659,0.4897959183673469,0.5505050505050505,0.5664508758568164,0.6060606060606061,1.91,1.91
"Sat, Dec 26, 2020",Orlando Magic,240,48,95,0.505,11,31,0.355,23,29,0.793,11,43,54,25,8,0,13,21,130,Washington Wizards,240,46,95,0.484,13,37,0.351,15,28,0.536,7,36,43,28,5,3,14,25,120,1,-0.1154772174199359,0.1154772174199358,0.1627906976744186,0.3055555555555556,0.5526315789473685,0.5631578947368421,0.5931198102016607,0.6411521010061156,2.1,1.77
"Sat, Dec 26, 2020",Philadelphia 76ers,240,41,88,0.466,11,31,0.355,16,22,0.727,12,35,47,20,9,6,12,19,109,New York Knicks,240,32,83,0.386,8,29,0.276,17,23,0.739,13,30,43,19,6,4,16,23,89,1,-0.2924508938105286,0.2924508938105287,0.3714285714285714,0.4,0.4337349397590361,0.5284090909090909,0.5053372700431524,0.5870314519603619,1.28,4.0
"Sat, Dec 26, 2020",Indiana Pacers,240,52,93,0.559,9,26,0.346,12,19,0.632,9,40,49,34,15,4,16,26,125,Chicago Bulls,240,34,91,0.374,16,39,0.41,22,25,0.88,13,28,41,23,7,7,20,16,106,1,-0.2378638300988879,0.2378638300988879,0.325,0.3214285714285714,0.4615384615384615,0.6075268817204301,0.5492227979274611,0.6431364478287713,1.42,3.0
"Sat, Dec 26, 2020",Toronto Raptors,240,44,96,0.458,15,41,0.366,11,15,0.733,10,36,46,32,8,9,11,23,114,San Antonio Spurs,240,47,100,0.47,14,34,0.412,11,16,0.688,14,39,53,36,4,3,16,20,119,0,0.0619277491432017,-0.0619277491432017,0.3888888888888889,0.2564102564102564,0.54,0.5364583333333334,0.5747681607418856,0.5740181268882175,1.69,2.25
"Sat, Dec 26, 2020",Minnesota Timberwolves,240,45,101,0.446,13,29,0.448,13,18,0.722,12,28,40,21,9,5,9,28,116,Utah Jazz,240,36,94,0.383,10,34,0.294,29,37,0.784,19,38,57,15,5,4,18,20,111,1,-0.0635651287774662,0.0635651287774661,0.6785714285714286,0.3157894736842105,0.4361702127659574,0.5099009900990099,0.5433718425690229,0.5525914634146342,4.75,1.22
"Sat, Dec 26, 2020",Houston Rockets,265,45,87,0.517,11,35,0.314,25,32,0.781,10,32,42,27,5,5,16,22,126,Portland Trail Blazers,265,47,102,0.461,19,45,0.422,15,23,0.652,11,34,45,27,10,5,13,20,128,0,0.0227200765000834,-0.0227200765000835,0.34375,0.2941176470588235,0.553921568627451,0.5804597701149425,0.5977956286194657,0.6699276903445341,4.0,1.28
"Sat, Dec 26, 2020",Phoenix Suns,240,41,98,0.418,11,44,0.25,10,13,0.769,10,30,40,25,8,5,11,23,103,Sacramento Kings,240,39,86,0.453,5,23,0.217,23,33,0.697,15,41,56,20,4,9,18,22,106,0,0.0414199273799807,-0.0414199273799807,0.5,0.2439024390243902,0.4825581395348837,0.4744897959183674,0.5683036671670598,0.5106087646242317,1.62,2.4
"Sun, Dec 27, 2020",Dallas Mavericks,240,43,87,0.494,14,41,0.341,24,27,0.889,11,43,54,25,10,2,6,14,124,Los Angeles Clippers,240,26,76,0.342,4,33,0.121,17,20,0.85,5,31,36,13,2,2,12,19,73,1,-0.7643717515068579,0.7643717515068579,0.1162790697674418,0.3548387096774194,0.3684210526315789,0.5747126436781609,0.4539800995024875,0.667097051861416,2.4,1.62
"Sun, Dec 27, 2020",San Antonio Spurs,240,38,89,0.427,11,36,0.306,8,8,1.0,4,43,47,26,5,10,15,23,95,New Orleans Pelicans,240,36,94,0.383,5,24,0.208,21,29,0.724,13,43,56,15,11,4,8,16,98,0,0.0448542357842605,-0.0448542357842604,0.3023255813953488,0.0930232558139534,0.4095744680851064,0.4887640449438202,0.4881450488145049,0.5233583076245042,2.7,1.53
"Sun, Dec 27, 2020",Orlando Magic,240,37,85,0.435,9,25,0.36,37,38,0.974,11,34,45,19,6,3,10,14,120,Washington Wizards,240,47,97,0.485,8,32,0.25,11,13,0.846,13,34,47,27,6,4,13,26,113,1,-0.0867116331933308,0.0867116331933309,0.3823529411764705,0.3235294117647059,0.5257731958762887,0.488235294117647,0.5657921089525335,0.6426735218508998,1.77,2.1
"Sun, Dec 27, 2020",Brooklyn Nets,240,35,82,0.427,17,47,0.362,17,25,0.68,6,40,46,23,4,5,19,17,104,Charlotte Hornets,240,43,96,0.448,10,34,0.294,10,17,0.588,13,39,52,35,8,3,12,25,106,0,0.0274807364221069,-0.027480736422107,0.325,0.1538461538461538,0.5,0.5304878048780488,0.5313815921395629,0.5942857142857143,1.17,5.5
"Sun, Dec 27, 2020",Philadelphia 76ers,240,33,79,0.418,12,37,0.324,16,22,0.727,8,31,39,24,9,5,21,19,94,Cleveland Cavaliers,240,48,91,0.527,9,23,0.391,13,16,0.813,11,34,45,31,13,6,16,22,118,0,0.3280541976842038,-0.3280541976842039,0.3548387096774194,0.2352941176470588,0.5769230769230769,0.4936708860759494,0.6242065171392298,0.5605916030534351,1.42,3.0
"Sun, Dec 27, 2020",Milwaukee Bucks,240,41,95,0.432,7,38,0.184,21,29,0.724,17,27,44,24,7,5,11,21,110,New York Knicks,240,46,85,0.541,16,27,0.593,22,27,0.815,8,38,46,27,5,4,15,23,130,0,0.2410080995037949,-0.2410080995037949,0.2962962962962963,0.4473684210526316,0.6352941176470588,0.4684210526315789,0.7147569826259073,0.542513316235944,1.08,8.5
"Sun, Dec 27, 2020",Boston Celtics,240,40,79,0.506,9,23,0.391,18,24,0.75,6,34,40,21,13,7,18,17,107,Indiana Pacers,240,45,88,0.511,7,26,0.269,11,15,0.733,8,29,37,23,11,7,16,20,108,0,0.0134205157623214,-0.0134205157623216,0.2352941176470588,0.2068965517241379,0.5511363636363636,0.5632911392405063,0.5914567360350493,0.6347887992406265,1.74,2.15
"Sun, Dec 27, 2020",Golden State Warriors,240,42,104,0.404,18,47,0.383,27,30,0.9,10,31,41,25,17,4,12,23,129,Chicago Bulls,240,44,86,0.512,17,41,0.415,23,31,0.742,7,47,54,27,4,6,24,21,128,1,-0.0112272554232541,0.0112272554232541,0.2258064516129032,0.2127659574468085,0.6104651162790697,0.4903846153846153,0.6895065718595131,0.5831826401446655,1.61,2.45
"Sun, Dec 27, 2020",Phoenix Suns,240,46,94,0.489,14,35,0.4,10,11,0.909,8,36,44,34,6,3,9,20,116,Sacramento Kings,240,36,76,0.474,10,23,0.435,18,25,0.72,3,36,39,21,5,4,15,23,100,1,-0.2141248053528475,0.2141248053528473,0.0833333333333333,0.2222222222222222,0.5394736842105263,0.5638297872340425,0.6134969325153374,0.6015349512549264,1.62,2.4
"Sun, Dec 27, 2020",Minnesota Timberwolves,240,38,103,0.369,6,35,0.171,9,14,0.643,17,31,48,24,11,6,17,24,91,Los Angeles Lakers,240,50,90,0.556,13,35,0.371,14,18,0.778,5,41,46,32,6,14,17,19,127,0,0.4808900465734695,-0.4808900465734697,0.1612903225806451,0.4146341463414634,0.6277777777777778,0.3980582524271844,0.6758194976585782,0.428921568627451,5.0,1.2
"Mon, Dec 28, 2020",Memphis Grizzlies,265,42,98,0.429,10,29,0.345,22,29,0.759,16,40,56,20,10,4,19,17,116,Brooklyn Nets,265,41,100,0.41,14,42,0.333,15,17,0.882,13,37,50,28,13,6,17,20,111,1,-0.0635651287774662,0.0635651287774661,0.325,0.4324324324324324,0.48,0.4795918367346938,0.5349913244650087,0.5556620042153669,1.8,2.05
"Mon, Dec 28, 2020",Detroit Pistons,240,43,98,0.439,13,41,0.317,21,24,0.875,17,31,48,24,7,4,8,25,120,Atlanta Hawks,240,40,82,0.488,20,42,0.476,28,32,0.875,8,37,45,30,5,7,13,22,128,0,0.0931094043914814,-0.0931094043914814,0.2580645161290322,0.4594594594594595,0.6097560975609756,0.5051020408163265,0.7187780772686433,0.5809450038729667,5.0,1.2
"Mon, Dec 28, 2020",Utah Jazz,240,43,86,0.5,13,36,0.361,11,14,0.786,8,35,43,24,9,6,16,19,110,Oklahoma City Thunder,240,40,86,0.465,15,38,0.395,14,19,0.737,7,30,37,21,9,5,15,16,109,1,-0.0131753887477331,0.0131753887477331,0.2,0.2666666666666666,0.5523255813953488,0.5755813953488372,0.6043468618318917,0.6174225415356983,1.25,4.3
"Mon, Dec 28, 2020",Houston Rockets,240,39,86,0.453,16,39,0.41,17,23,0.739,5,33,38,25,8,3,15,25,111,Denver Nuggets,240,46,87,0.529,14,31,0.452,18,32,0.563,11,41,52,31,8,7,14,18,124,0,0.1597804440367691,-0.1597804440367692,0.3333333333333333,0.1219512195121951,0.6091954022988506,0.5465116279069767,0.6592939174819226,0.6094882495058204,3.25,1.38
"Mon, Dec 28, 2020",Portland Trail Blazers,240,43,92,0.467,16,46,0.348,13,15,0.867,7,38,45,27,9,6,9,16,115,Los Angeles Lakers,240,41,87,0.471,10,27,0.37,15,18,0.833,6,35,41,20,6,5,14,14,107,1,-0.1040230645432283,0.1040230645432282,0.1578947368421052,0.2,0.5287356321839081,0.5543478260869565,0.5881706244503079,0.6033578174186779,2.95,1.43
"Tue, Dec 29, 2020",New York Knicks,240,34,79,0.43,14,25,0.56,13,21,0.619,14,41,55,23,9,6,25,21,95,Cleveland Cavaliers,240,32,88,0.364,7,32,0.219,15,22,0.682,14,29,43,22,13,10,13,17,86,1,-0.1435908536288498,0.1435908536288498,0.3414634146341463,0.4827586206896552,0.4034090909090909,0.5189873417721519,0.4631624299870745,0.5680459220282229,2.4,1.62
"Tue, Dec 29, 2020",Golden State Warriors,240,38,76,0.5,14,33,0.424,26,36,0.722,4,36,40,21,8,8,19,28,116,Detroit Pistons,240,35,92,0.38,13,35,0.371,23,29,0.793,16,29,45,21,8,6,15,26,106,1,-0.1300605405643728,0.1300605405643729,0.4444444444444444,0.1379310344827586,0.4510869565217391,0.5921052631578947,0.5387273836145559,0.6911344137273594,1.59,2.5
"Tue, Dec 29, 2020",Boston Celtics,240,40,80,0.5,9,22,0.409,27,37,0.73,12,31,43,21,10,3,14,16,116,Indiana Pacers,240,43,84,0.512,12,33,0.364,13,16,0.813,4,32,36,27,9,5,14,25,111,1,-0.0635651287774662,0.0635651287774661,0.1290322580645161,0.375,0.5833333333333334,0.55625,0.6341407678244972,0.6580440208758793,1.95,1.87
