Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Tue, Oct 19, 2021",7:30p,Brooklyn Nets,104.0,Milwaukee Bucks,127.0
"Tue, Oct 19, 2021",10:00p,Golden State Warriors,121.0,Los Angeles Lakers,114.0
"Wed, Oct 20, 2021",7:00p,Indiana Pacers,122.0,Charlotte Hornets,123.0
"Wed, Oct 20, 2021",7:00p,Chicago Bulls,94.0,Detroit Pistons,88.0
"Wed, Oct 20, 2021",7:30p,Boston Celtics,134.0,New York Knicks,138.0
"Wed, Oct 20, 2021",7:30p,Washington Wizards,98.0,Toronto Raptors,83.0
"Wed, Oct 20, 2021",8:00p,Cleveland Cavaliers,121.0,Memphis Grizzlies,132.0
"Wed, Oct 20, 2021",8:00p,Houston Rockets,106.0,Minnesota Timberwolves,124.0
"Wed, Oct 20, 2021",8:00p,Philadelphia 76ers,117.0,New Orleans Pelicans,97.0
"Wed, Oct 20, 2021",8:30p,Orlando Magic,97.0,San Antonio Spurs,123.0
"Wed, Oct 20, 2021",9:00p,Oklahoma City Thunder,86.0,Utah Jazz,107.0
"Wed, Oct 20, 2021",10:00p,Sacramento Kings,124.0,Portland Trail Blazers,121.0
"Wed, Oct 20, 2021",10:00p,Denver Nuggets,110.0,Phoenix Suns,98.0
"Thu, Oct 21, 2021",7:30p,Dallas Mavericks,87.0,Atlanta Hawks,113.0
"Thu, Oct 21, 2021",8:00p,Milwaukee Bucks,95.0,Miami Heat,137.0
"Thu, Oct 21, 2021",10:00p,Los Angeles Clippers,113.0,Golden State Warriors,115.0
"Fri, Oct 22, 2021",7:00p,New York Knicks,121.0,Orlando Magic,96.0
"Fri, Oct 22, 2021",7:00p,Indiana Pacers,134.0,Washington Wizards,135.0
"Fri, Oct 22, 2021",7:00p,Charlotte Hornets,123.0,Cleveland Cavaliers,112.0
"Fri, Oct 22, 2021",7:30p,Toronto Raptors,115.0,Boston Celtics,83.0
"Fri, Oct 22, 2021",7:30p,Brooklyn Nets,114.0,Philadelphia 76ers,109.0
"Fri, Oct 22, 2021",8:00p,Oklahoma City Thunder,91.0,Houston Rockets,124.0
"Fri, Oct 22, 2021",8:00p,New Orleans Pelicans,112.0,Chicago Bulls,128.0
"Fri, Oct 22, 2021",9:00p,San Antonio Spurs,96.0,Denver Nuggets,102.0
"Fri, Oct 22, 2021",10:00p,Phoenix Suns,115.0,Los Angeles Lakers,105.0
"Fri, Oct 22, 2021",10:00p,Utah Jazz,110.0,Sacramento Kings,101.0
"Sat, Oct 23, 2021",6:00p,Atlanta Hawks,95.0,Cleveland Cavaliers,101.0
"Sat, Oct 23, 2021",7:00p,Miami Heat,91.0,Indiana Pacers,102.0
"Sat, Oct 23, 2021",7:30p,Dallas Mavericks,103.0,Toronto Raptors,95.0
