Team,Elo
Golden State Warriors,1649.0052418270286
Utah Jazz,1630.2475945678634
Phoenix Suns,1580.305352641488
Cleveland Cavaliers,1571.127978471756
Milwaukee Bucks,1565.893785491354
Chicago Bulls,1552.5676755095649
Atlanta Hawks,1548.011247644619
Indiana Pacers,1542.4140208272754
Boston Celtics,1526.1738607450259
Brooklyn Nets,1523.9490036305915
Charlotte Hornets,1507.7170057167168
San Antonio Spurs,1507.5808712341652
Philadelphia 76ers,1506.4068680561356
Miami Heat,1502.817398630653
Los Angeles Clippers,1500.665412950282
Toronto Raptors,1488.9046053167642
Memphis Grizzlies,1487.6229467619785
Denver Nuggets,1486.5655830202788
Los Angeles Lakers,1483.3406628166267
New York Knicks,1475.2787709531406
Portland Trail Blazers,1473.982454617499
Minnesota Timberwolves,1472.3268834987073
Dallas Mavericks,1467.9945034530772
Washington Wizards,1465.0169340432142
New Orleans Pelicans,1453.5110207288833
Sacramento Kings,1445.5107015804692
Houston Rockets,1421.3720718645936
Oklahoma City Thunder,1402.024726021144
Orlando Magic,1389.4672949997807
Detroit Pistons,1372.1975223793247
