Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Mon, Nov 1, 2021",7:00p,Cleveland Cavaliers,113.0,Charlotte Hornets,110.0
"Mon, Nov 1, 2021",7:00p,San Antonio Spurs,118.0,Indiana Pacers,131.0
"Mon, Nov 1, 2021",7:00p,Portland Trail Blazers,103.0,Philadelphia 76ers,113.0
"Mon, Nov 1, 2021",7:30p,Washington Wizards,111.0,Atlanta Hawks,118.0
"Mon, Nov 1, 2021",7:30p,Chicago Bulls,128.0,Boston Celtics,114.0
"Mon, Nov 1, 2021",7:30p,Toronto Raptors,113.0,New York Knicks,104.0
"Mon, Nov 1, 2021",8:00p,Denver Nuggets,97.0,Memphis Grizzlies,106.0
"Mon, Nov 1, 2021",8:00p,Orlando Magic,115.0,Minnesota Timberwolves,97.0
"Mon, Nov 1, 2021",10:30p,Oklahoma City Thunder,94.0,Los Angeles Clippers,99.0
"Tue, Nov 2, 2021",7:00p,Milwaukee Bucks,117.0,Detroit Pistons,89.0
"Tue, Nov 2, 2021",7:30p,Miami Heat,125.0,Dallas Mavericks,110.0
"Tue, Nov 2, 2021",9:00p,Sacramento Kings,113.0,Utah Jazz,119.0
"Tue, Nov 2, 2021",10:00p,New Orleans Pelicans,100.0,Phoenix Suns,112.0
"Tue, Nov 2, 2021",10:30p,Houston Rockets,117.0,Los Angeles Lakers,119.0
"Wed, Nov 3, 2021",7:00p,Portland Trail Blazers,104.0,Cleveland Cavaliers,107.0
"Wed, Nov 3, 2021",7:00p,New York Knicks,98.0,Indiana Pacers,111.0
"Wed, Nov 3, 2021",7:00p,Boston Celtics,92.0,Orlando Magic,79.0
"Wed, Nov 3, 2021",7:00p,Chicago Bulls,98.0,Philadelphia 76ers,103.0
"Wed, Nov 3, 2021",7:00p,Toronto Raptors,109.0,Washington Wizards,100.0
"Wed, Nov 3, 2021",7:30p,Atlanta Hawks,108.0,Brooklyn Nets,117.0
"Wed, Nov 3, 2021",8:00p,Denver Nuggets,106.0,Memphis Grizzlies,108.0
"Wed, Nov 3, 2021",8:00p,Los Angeles Clippers,126.0,Minnesota Timberwolves,115.0
"Wed, Nov 3, 2021",8:30p,Dallas Mavericks,109.0,San Antonio Spurs,108.0
"Wed, Nov 3, 2021",10:00p,Charlotte Hornets,92.0,Golden State Warriors,114.0
"Wed, Nov 3, 2021",10:00p,New Orleans Pelicans,99.0,Sacramento Kings,112.0
