Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Tue, Oct 19, 2021",7:30p,Brooklyn Nets,104,Milwaukee Bucks,127
"Tue, Oct 19, 2021",10:00p,Golden State Warriors,121,Los Angeles Lakers,114
"Wed, Oct 20, 2021",7:00p,Indiana Pacers,122,Charlotte Hornets,123
"Wed, Oct 20, 2021",7:00p,Chicago Bulls,94,Detroit Pistons,88
"Wed, Oct 20, 2021",7:30p,Boston Celtics,134,New York Knicks,138
"Wed, Oct 20, 2021",7:30p,Washington Wizards,98,Toronto Raptors,83
"Wed, Oct 20, 2021",8:00p,Cleveland Cavaliers,121,Memphis Grizzlies,132
"Wed, Oct 20, 2021",8:00p,Houston Rockets,106,Minnesota Timberwolves,124
"Wed, Oct 20, 2021",8:00p,Philadelphia 76ers,117,New Orleans Pelicans,97
"Wed, Oct 20, 2021",8:30p,Orlando Magic,97,San Antonio Spurs,123
"Wed, Oct 20, 2021",9:00p,Oklahoma City Thunder,86,Utah Jazz,107
"Wed, Oct 20, 2021",10:00p,Sacramento Kings,124,Portland Trail Blazers,121
"Wed, Oct 20, 2021",10:00p,Denver Nuggets,110,Phoenix Suns,98
"Thu, Oct 21, 2021",7:30p,Dallas Mavericks,87,Atlanta Hawks,113
"Thu, Oct 21, 2021",8:00p,Milwaukee Bucks,95,Miami Heat,137
"Thu, Oct 21, 2021",10:00p,Los Angeles Clippers,113,Golden State Warriors,115
"Fri, Oct 22, 2021",7:00p,New York Knicks,121,Orlando Magic,96
"Fri, Oct 22, 2021",7:00p,Indiana Pacers,134,Washington Wizards,135
"Fri, Oct 22, 2021",7:00p,Charlotte Hornets,123,Cleveland Cavaliers,112
"Fri, Oct 22, 2021",7:30p,Toronto Raptors,115,Boston Celtics,83
"Fri, Oct 22, 2021",7:30p,Brooklyn Nets,114,Philadelphia 76ers,109
"Fri, Oct 22, 2021",8:00p,Oklahoma City Thunder,91,Houston Rockets,124
"Fri, Oct 22, 2021",8:00p,New Orleans Pelicans,112,Chicago Bulls,128
"Fri, Oct 22, 2021",9:00p,San Antonio Spurs,96,Denver Nuggets,102
"Fri, Oct 22, 2021",10:00p,Phoenix Suns,115,Los Angeles Lakers,105
"Fri, Oct 22, 2021",10:00p,Utah Jazz,110,Sacramento Kings,101
"Sat, Oct 23, 2021",6:00p,Atlanta Hawks,95,Cleveland Cavaliers,101
"Sat, Oct 23, 2021",7:00p,Miami Heat,91,Indiana Pacers,102
"Sat, Oct 23, 2021",7:30p,Dallas Mavericks,103,Toronto Raptors,95
"Sat, Oct 23, 2021",8:00p,Detroit Pistons,82,Chicago Bulls,97
"Sat, Oct 23, 2021",8:00p,New Orleans Pelicans,89,Minnesota Timberwolves,96
"Sat, Oct 23, 2021",8:30p,Milwaukee Bucks,121,San Antonio Spurs,111
"Sat, Oct 23, 2021",10:00p,Phoenix Suns,105,Portland Trail Blazers,134
"Sat, Oct 23, 2021",10:30p,Memphis Grizzlies,120,Los Angeles Clippers,114
"Sun, Oct 24, 2021",4:00p,Charlotte Hornets,111,Brooklyn Nets,95
"Sun, Oct 24, 2021",7:00p,Boston Celtics,107,Houston Rockets,97
"Sun, Oct 24, 2021",7:00p,Orlando Magic,110,New York Knicks,104
"Sun, Oct 24, 2021",7:00p,Philadelphia 76ers,115,Oklahoma City Thunder,103
"Sun, Oct 24, 2021",9:00p,Golden State Warriors,119,Sacramento Kings,107
"Sun, Oct 24, 2021",9:30p,Memphis Grizzlies,118,Los Angeles Lakers,121
"Mon, Oct 25, 2021",7:00p,Boston Celtics,140,Charlotte Hornets,129
"Mon, Oct 25, 2021",7:00p,Milwaukee Bucks,119,Indiana Pacers,109
"Mon, Oct 25, 2021",7:30p,Chicago Bulls,111,Toronto Raptors,108
"Mon, Oct 25, 2021",7:30p,Orlando Magic,90,Miami Heat,107
"Mon, Oct 25, 2021",7:30p,Washington Wizards,90,Brooklyn Nets,104
"Mon, Oct 25, 2021",7:30p,Detroit Pistons,104,Atlanta Hawks,122
"Mon, Oct 25, 2021",8:00p,New Orleans Pelicans,107,Minnesota Timberwolves,98
"Mon, Oct 25, 2021",9:00p,Cleveland Cavaliers,99,Denver Nuggets,87
"Mon, Oct 25, 2021",10:30p,Portland Trail Blazers,86,Los Angeles Clippers,116
"Tue, Oct 26, 2021",7:30p,Philadelphia 76ers,99,New York Knicks,112
"Tue, Oct 26, 2021",8:00p,Golden State Warriors,106,Oklahoma City Thunder,98
"Tue, Oct 26, 2021",8:30p,Los Angeles Lakers,125,San Antonio Spurs,121
"Tue, Oct 26, 2021",8:30p,Houston Rockets,106,Dallas Mavericks,116
"Tue, Oct 26, 2021",10:00p,Denver Nuggets,110,Utah Jazz,122
"Wed, Oct 27, 2021",7:00p,Charlotte Hornets,120,Orlando Magic,111
"Wed, Oct 27, 2021",7:30p,Washington Wizards,116,Boston Celtics,107
"Wed, Oct 27, 2021",7:30p,Miami Heat,106,Brooklyn Nets,93
"Wed, Oct 27, 2021",7:30p,Indiana Pacers,100,Toronto Raptors,118
"Wed, Oct 27, 2021",7:30p,Atlanta Hawks,102,New Orleans Pelicans,99
"Wed, Oct 27, 2021",8:00p,Minnesota Timberwolves,113,Milwaukee Bucks,108
"Wed, Oct 27, 2021",8:00p,Los Angeles Lakers,115,Oklahoma City Thunder,123
"Wed, Oct 27, 2021",10:00p,Sacramento Kings,110,Phoenix Suns,107
"Wed, Oct 27, 2021",10:00p,Memphis Grizzlies,96,Portland Trail Blazers,116
"Wed, Oct 27, 2021",10:30p,Cleveland Cavaliers,92,Los Angeles Clippers,79
"Thu, Oct 28, 2021",7:00p,Atlanta Hawks,111,Washington Wizards,122
"Thu, Oct 28, 2021",7:00p,Detroit Pistons,102,Philadelphia 76ers,110
"Thu, Oct 28, 2021",8:00p,Utah Jazz,122,Houston Rockets,91
"Thu, Oct 28, 2021",8:00p,New York Knicks,104,Chicago Bulls,103
"Thu, Oct 28, 2021",8:30p,San Antonio Spurs,99,Dallas Mavericks,104
"Thu, Oct 28, 2021",10:00p,Memphis Grizzlies,104,Golden State Warriors,101
"Fri, Oct 29, 2021",7:00p,Orlando Magic,109,Toronto Raptors,110
"Fri, Oct 29, 2021",7:30p,Charlotte Hornets,99,Miami Heat,114
"Fri, Oct 29, 2021",7:30p,Indiana Pacers,98,Brooklyn Nets,105
"Fri, Oct 29, 2021",8:00p,Sacramento Kings,113,New Orleans Pelicans,109
"Fri, Oct 29, 2021",10:00p,Dallas Mavericks,75,Denver Nuggets,106
"Fri, Oct 29, 2021",10:00p,Los Angeles Clippers,92,Portland Trail Blazers,111
"Fri, Oct 29, 2021",10:30p,Cleveland Cavaliers,101,Los Angeles Lakers,113
"Sat, Oct 30, 2021",5:00p,Boston Celtics,112,Washington Wizards,115
"Sat, Oct 30, 2021",7:00p,Orlando Magic,103,Detroit Pistons,110
"Sat, Oct 30, 2021",7:00p,New York Knicks,123,New Orleans Pelicans,117
"Sat, Oct 30, 2021",7:30p,Toronto Raptors,97,Indiana Pacers,94
"Sat, Oct 30, 2021",7:30p,Atlanta Hawks,94,Philadelphia 76ers,122
"Sat, Oct 30, 2021",8:00p,Utah Jazz,99,Chicago Bulls,107
"Sat, Oct 30, 2021",8:00p,Miami Heat,129,Memphis Grizzlies,103
"Sat, Oct 30, 2021",8:00p,San Antonio Spurs,102,Milwaukee Bucks,93
"Sat, Oct 30, 2021",8:30p,Oklahoma City Thunder,82,Golden State Warriors,103
"Sat, Oct 30, 2021",9:00p,Denver Nuggets,93,Minnesota Timberwolves,91
"Sat, Oct 30, 2021",10:00p,Cleveland Cavaliers,92,Phoenix Suns,101
"Sun, Oct 31, 2021",3:30p,Sacramento Kings,99,Dallas Mavericks,105
"Sun, Oct 31, 2021",7:00p,Portland Trail Blazers,113,Charlotte Hornets,125
"Sun, Oct 31, 2021",7:00p,Utah Jazz,107,Milwaukee Bucks,95
"Sun, Oct 31, 2021",7:30p,Detroit Pistons,91,Brooklyn Nets,117
"Sun, Oct 31, 2021",10:30p,Houston Rockets,85,Los Angeles Lakers,95
