Date,Team_away,MP_away,FG_away,FGA_away,FG%_away,3P_away,3PA_away,3P%_away,FT_away,FTA_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,Team_home,MP_home,FG_home,FGA_home,FG%_home,3P_home,3PA_home,3P%_home,FT_home,FTA_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,Winner
,Brooklyn Nets,240,37,84,0.44,17,32,0.531,13,23,0.565,5,39,44,19,3,9,12,17,104,Milwaukee Bucks,240.0,48.0,105.0,0.457,17.0,45.0,0.378,14.0,18.0,0.778,13.0,41.0,54.0,25.0,8.0,9.0,7.0,19.0,127.0,0
,Golden State Warriors,240,41,93,0.441,14,39,0.359,25,30,0.833,9,41,50,30,9,2,17,18,121,Los Angeles Lakers,240.0,45.0,95.0,0.474,15.0,42.0,0.357,9.0,19.0,0.474,5.0,40.0,45.0,21.0,7.0,4.0,17.0,25.0,114.0,1
,Indiana Pacers,240,42,90,0.467,17,47,0.362,21,24,0.875,8,43,51,29,2,10,16,24,122,Charlotte Hornets,240.0,46.0,107.0,0.43,13.0,31.0,0.419,18.0,27.0,0.667,12.0,34.0,46.0,29.0,9.0,5.0,8.0,21.0,123.0,0
,Chicago Bulls,240,37,86,0.43,7,23,0.304,13,15,0.867,9,39,48,18,8,5,17,19,94,Detroit Pistons,240.0,36.0,90.0,0.4,6.0,28.0,0.214,10.0,13.0,0.769,11.0,36.0,47.0,17.0,7.0,5.0,16.0,16.0,88.0,1
,Boston Celtics,290,48,117,0.41,21,57,0.368,17,23,0.739,15,41,56,34,13,9,18,24,134,New York Knicks,290.0,51.0,105.0,0.486,17.0,45.0,0.378,19.0,27.0,0.704,7.0,48.0,55.0,27.0,9.0,10.0,17.0,22.0,138.0,0
,Washington Wizards,240,36,81,0.444,5,27,0.185,21,26,0.808,7,44,51,20,14,8,21,17,98,Toronto Raptors,240.0,30.0,97.0,0.309,7.0,34.0,0.206,16.0,22.0,0.727,19.0,35.0,54.0,14.0,10.0,4.0,19.0,21.0,83.0,1
,Cleveland Cavaliers,240,47,93,0.505,14,38,0.368,13,18,0.722,7,29,36,38,6,5,10,17,121,Memphis Grizzlies,240.0,53.0,100.0,0.53,14.0,33.0,0.424,12.0,12.0,1.0,13.0,40.0,53.0,28.0,8.0,8.0,10.0,15.0,132.0,0
,Houston Rockets,240,40,88,0.455,11,33,0.333,15,22,0.682,12,29,41,21,13,3,24,25,106,Minnesota Timberwolves,240.0,42.0,87.0,0.483,16.0,38.0,0.421,24.0,31.0,0.774,13.0,33.0,46.0,26.0,18.0,13.0,18.0,22.0,124.0,0
,Philadelphia 76ers,240,44,85,0.518,13,25,0.52,16,20,0.8,6,41,47,24,9,5,12,11,117,New Orleans Pelicans,240.0,39.0,93.0,0.419,13.0,30.0,0.433,6.0,9.0,0.667,10.0,34.0,44.0,28.0,5.0,6.0,13.0,16.0,97.0,1
,Orlando Magic,240,35,86,0.407,9,29,0.31,18,23,0.783,13,31,44,17,6,6,16,20,97,San Antonio Spurs,240.0,49.0,98.0,0.5,13.0,30.0,0.433,12.0,18.0,0.667,13.0,30.0,43.0,32.0,8.0,3.0,8.0,22.0,123.0,0
