FG_away,FG%_away,3P%_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,TOV_away,PTS_away,LogRatio_away,RB_aggr_away,eFG%_away,TS%_away,HomeTeamWon,FG_home,FG%_home,3P%_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,TOV_home,PTS_home,LogRatio_home,RB_aggr_home,eFG%_home,TS%_home,Winner
40.33333,0.446,0.30167,0.748,9.33333,31.66667,41.0,25.33333,11.33333,16.33333,109.0,-0.03832,0.2537,0.50675,0.57031,0.66667,42.33333,0.48133,0.38133,0.694,10.0,36.0,46.0,29.0,8.66667,13.0,105.0,0.09871,0.30401,0.53618,0.57483,1
41.0,0.46133,0.345,0.65867,9.0,35.0,44.0,22.0,7.66667,12.0,110.0,0.06171,0.21944,0.52437,0.58151,0.33333,41.33333,0.476,0.42,0.66,9.33333,30.66667,40.0,25.33333,5.33333,17.0,115.66667,-0.08472,0.27296,0.56268,0.62247,1
47.66667,0.51867,0.42267,0.743,11.0,35.66667,46.66667,30.0,6.33333,11.66667,126.0,0.15235,0.35696,0.61088,0.65572,0.0,38.66667,0.42567,0.36033,0.893,9.66667,38.66667,48.33333,22.33333,7.0,10.66667,110.66667,0.08373,0.24097,0.50109,0.58164,0
42.66667,0.43733,0.35933,0.75867,12.33333,38.33333,50.66667,23.33333,5.33333,13.33333,120.33333,-0.00449,0.3344,0.50699,0.57871,0.66667,37.0,0.46167,0.373,0.73867,6.0,34.0,40.0,23.0,5.66667,16.33333,105.66667,-0.0499,0.17332,0.53453,0.61342,0
39.0,0.45567,0.38167,0.78033,10.66667,32.33333,43.0,24.33333,6.66667,18.33333,105.0,-0.1233,0.31777,0.5335,0.58696,0.66667,38.0,0.43233,0.369,0.90167,9.66667,31.66667,41.33333,25.33333,6.33333,14.0,114.0,-0.18455,0.27662,0.49972,0.60331,1
35.66667,0.394,0.294,0.75967,9.0,34.0,43.0,20.0,8.33333,17.33333,107.66667,-0.1181,0.22199,0.4745,0.55788,0.66667,37.0,0.41433,0.365,0.66167,10.0,33.0,43.0,23.0,8.66667,16.0,102.66667,-0.11947,0.24379,0.48723,0.54231,1
36.66667,0.39767,0.30567,0.76667,7.66667,41.33333,49.0,19.66667,6.33333,14.33333,97.33333,-0.15055,0.18706,0.45572,0.5082,1.0,45.66667,0.49233,0.39167,0.84,10.66667,29.33333,40.0,26.33333,8.66667,15.66667,127.33333,-0.0194,0.3567,0.56476,0.64498,1
45.33333,0.50133,0.39633,0.72,11.0,36.33333,47.33333,28.66667,6.33333,10.66667,121.0,0.12127,0.33014,0.58764,0.63655,0.0,44.0,0.494,0.321,0.75833,11.33333,37.33333,48.66667,26.33333,8.66667,17.0,114.0,-0.01236,0.37444,0.53952,0.60442,1
33.66667,0.37533,0.20167,0.87567,13.66667,35.0,48.66667,17.33333,7.33333,13.33333,96.0,-0.10185,0.3618,0.41225,0.50427,1.0,37.33333,0.41567,0.31833,0.76467,11.66667,39.33333,51.0,22.33333,6.0,17.33333,112.33333,-0.00882,0.31529,0.48548,0.57995,0
37.66667,0.42333,0.37,0.865,11.66667,33.0,44.66667,22.33333,8.0,14.33333,105.33333,0.00846,0.3443,0.49057,0.56383,0.33333,36.0,0.408,0.333,0.65867,10.33333,35.66667,46.0,23.0,8.33333,12.0,93.33333,-0.03157,0.26121,0.47025,0.5085,1
43.0,0.46333,0.367,0.77167,9.66667,32.33333,42.0,25.66667,10.33333,15.0,114.0,-0.02699,0.28595,0.52117,0.58874,0.66667,41.33333,0.46233,0.33133,0.70767,10.33333,37.0,47.33333,26.66667,7.66667,14.33333,107.66667,0.08854,0.30321,0.51263,0.5713,0
42.33333,0.44667,0.32267,0.79233,10.66667,30.0,40.66667,24.66667,9.66667,15.66667,125.0,-0.1476,0.31758,0.5338,0.61878,0.66667,43.66667,0.46267,0.36333,0.71067,12.0,38.33333,50.33333,27.66667,8.66667,16.66667,113.66667,-0.07226,0.35714,0.52073,0.57266,1
41.0,0.43167,0.33567,0.77967,9.0,36.0,45.0,25.66667,6.0,14.66667,106.33333,0.01868,0.23626,0.49823,0.54079,0.66667,40.0,0.446,0.29133,0.82633,11.0,36.66667,47.66667,24.66667,7.33333,14.66667,106.66667,0.05805,0.29101,0.48519,0.56134,0
43.0,0.52033,0.41833,0.79833,6.33333,32.33333,38.66667,24.0,6.0,16.0,119.66667,-0.0264,0.18098,0.59496,0.67313,0.66667,43.33333,0.46167,0.32767,0.79333,9.66667,35.33333,45.0,26.33333,6.66667,15.0,123.66667,0.09642,0.279,0.53953,0.62002,0
30.33333,0.42433,0.34533,0.838,5.0,36.66667,41.66667,18.66667,9.33333,20.66667,94.33333,-0.04757,0.16039,0.49231,0.60638,0.66667,40.33333,0.47667,0.30367,0.78467,10.33333,35.0,45.33333,21.0,9.33333,15.33333,108.66667,0.14366,0.3097,0.53223,0.60457,0
39.0,0.463,0.408,0.688,9.0,33.0,42.0,24.66667,11.0,13.0,106.33333,0.01162,0.25783,0.53818,0.59578,0.33333,41.0,0.46233,0.31067,0.808,10.33333,37.33333,47.66667,24.66667,10.0,15.0,111.66667,0.26379,0.30428,0.51123,0.59308,0
33.66667,0.375,0.247,0.82333,8.66667,32.0,40.66667,21.66667,7.33333,21.0,92.66667,-0.36805,0.20311,0.41809,0.48896,1.0,41.0,0.445,0.38567,0.83467,13.66667,36.66667,50.33333,26.33333,5.66667,15.0,110.66667,-0.07379,0.41097,0.49627,0.56967,1
38.0,0.45,0.36067,0.78867,11.0,32.0,43.0,23.0,7.0,16.66667,103.66667,-0.125,0.36033,0.51354,0.5816,1.0,40.0,0.48367,0.41567,0.784,9.66667,39.0,48.66667,25.0,11.33333,20.66667,120.33333,0.2745,0.34785,0.56069,0.66801,0
38.66667,0.454,0.35433,0.68433,7.33333,31.66667,39.0,26.0,8.33333,13.66667,106.33333,0.00668,0.19903,0.52417,0.58568,0.66667,43.33333,0.473,0.368,0.746,7.66667,41.66667,49.33333,27.0,7.0,13.66667,123.33333,0.09299,0.20165,0.55814,0.63032,0
35.33333,0.40667,0.28933,0.83267,10.33333,33.0,43.33333,19.33333,7.0,12.33333,99.66667,-0.00693,0.3026,0.45745,0.5427,0.33333,41.33333,0.40667,0.28033,0.77067,15.66667,35.0,50.66667,21.33333,11.33333,16.33333,115.66667,-0.05914,0.41664,0.4651,0.53807,1
