MP_away,FG_away,FGA_away,FG%_away,3P_away,3PA_away,3P%_away,FT_away,FTA_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,MP_home,FG_home,FGA_home,FG%_home,3P_home,3PA_home,3P%_home,FT_home,FTA_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,Winner,LogRatio_home,LogRatio_away,RB_aggr_home,RB_aggr_away,eFG%_home,eFG%_away,TS%_home,TS%_away,HomeTeamWon,MP_away,FG_away,FGA_away,FG%_away,3P_away,3PA_away,3P%_away,FT_away,FTA_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,MP_home,FG_home,FGA_home,FG%_home,3P_home,3PA_home,3P%_home,FT_home,FTA_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,Winner,LogRatio_home,LogRatio_away,RB_aggr_home,RB_aggr_away,eFG%_home,eFG%_away,TS%_home,TS%_away,HomeTeamWon
240.0,37.0,84.0,0.443,13.0,40.33333,0.32033,22.33333,25.33333,0.891,10.33333,41.66667,52.0,17.33333,6.33333,7.0,16.0,18.0,109.33333,240.0,36.33333,94.0,0.387,8.66667,35.33333,0.24533,16.33333,19.66667,0.83433,11.66667,31.66667,43.33333,15.66667,7.66667,3.66667,9.66667,21.66667,97.66667,1,-0.16081,0.16081,0.28239,0.32395,0.43283,0.52112,0.49699,0.61386,0.33333,240.0,37.33333,90.0,0.41667,11.66667,38.33333,0.30267,14.33333,15.66667,0.91867,9.33333,31.33333,40.66667,23.0,7.0,4.33333,13.66667,20.0,100.66667,240.0,43.0,89.0,0.48267,13.33333,33.66667,0.39533,18.33333,19.66667,0.91533,9.66667,40.66667,50.33333,26.33333,9.33333,5.66667,12.33333,17.33333,117.66667,1,0.23192,-0.23192,0.33276,0.23067,0.55748,0.48152,0.63115,0.54045,1.0
240.0,41.0,93.0,0.44133,11.66667,33.0,0.359,12.66667,15.33333,0.81533,11.66667,34.33333,46.0,19.66667,10.0,3.66667,11.0,20.0,106.33333,240.0,34.66667,78.33333,0.443,12.33333,37.66667,0.32433,17.66667,23.33333,0.746,8.33333,33.33333,41.66667,21.33333,5.66667,7.0,16.0,15.0,99.33333,0,-0.09646,0.09646,0.24491,0.35049,0.52177,0.50382,0.59562,0.55193,0.0,240.0,44.66667,90.0,0.50067,10.66667,30.33333,0.355,19.66667,22.66667,0.88933,14.0,38.33333,52.33333,23.33333,10.33333,5.66667,13.33333,17.33333,119.66667,240.0,37.0,87.66667,0.421,12.0,32.0,0.37467,15.33333,19.66667,0.766,11.0,28.0,39.0,19.0,8.33333,5.66667,15.66667,18.33333,101.33333,0,-0.25136,0.25136,0.2864,0.48789,0.48902,0.56028,0.54873,0.63426,0.0
240.0,38.0,84.0,0.452,13.33333,32.33333,0.418,15.33333,20.33333,0.77567,6.66667,38.66667,45.33333,23.33333,4.0,6.33333,13.33333,18.0,104.66667,240.0,41.33333,94.33333,0.43633,14.0,38.33333,0.36367,12.0,15.66667,0.77267,8.33333,36.0,44.33333,19.66667,9.0,8.0,9.33333,20.66667,108.66667,1,0.04348,-0.04348,0.21432,0.19891,0.51002,0.5315,0.55363,0.5909,0.33333,240.0,39.0,82.66667,0.47167,12.0,31.0,0.383,13.66667,17.33333,0.78467,10.66667,31.0,41.66667,21.66667,4.0,5.0,19.0,18.66667,103.66667,240.0,43.66667,95.0,0.46133,11.66667,29.0,0.40367,10.66667,16.66667,0.62333,14.66667,27.0,41.66667,20.0,13.33333,5.0,9.0,19.0,109.66667,1,0.07925,-0.07925,0.48647,0.3957,0.52239,0.54397,0.5573,0.59939,0.66667
248.33333,44.0,88.66667,0.49467,14.0,36.66667,0.38267,16.66667,20.33333,0.81633,8.0,36.33333,44.33333,25.33333,4.33333,7.66667,16.66667,21.66667,118.66667,248.33333,47.0,100.33333,0.47033,15.33333,33.0,0.462,16.0,21.66667,0.74867,11.33333,30.33333,41.66667,25.0,10.66667,5.66667,9.0,20.66667,125.33333,0,0.0871,-0.0871,0.32221,0.27135,0.54766,0.57294,0.59946,0.63509,1.0,240.0,38.0,95.0,0.4,9.0,32.66667,0.28,17.33333,21.66667,0.795,12.33333,42.0,54.33333,21.0,7.0,4.0,12.66667,17.66667,102.33333,240.0,37.0,88.66667,0.417,11.0,37.66667,0.28967,12.33333,14.33333,0.862,6.66667,40.0,46.66667,20.66667,7.66667,6.66667,13.66667,20.66667,97.33333,0,-0.06825,0.06825,0.16284,0.31528,0.47927,0.44763,0.52995,0.51301,0.33333
240.0,35.33333,86.33333,0.40933,9.66667,32.66667,0.27367,14.66667,18.66667,0.797,13.33333,33.33333,46.66667,20.33333,9.0,2.33333,18.0,16.0,95.0,240.0,38.66667,85.0,0.456,9.0,31.33333,0.29833,11.33333,16.66667,0.715,9.33333,34.0,43.33333,23.33333,11.33333,3.66667,15.66667,19.33333,97.66667,1,0.02561,-0.02561,0.32517,0.42064,0.50903,0.46424,0.55217,0.52535,0.66667,248.33333,45.0,96.0,0.46833,17.66667,50.33333,0.35233,17.33333,20.0,0.87467,11.33333,39.0,50.33333,30.66667,4.66667,8.0,13.33333,21.66667,125.0,248.33333,46.0,99.66667,0.46467,17.33333,39.0,0.44233,16.33333,25.33333,0.643,12.0,35.33333,47.33333,30.33333,5.66667,5.66667,10.0,21.33333,125.66667,1,0.01311,-0.01311,0.3083,0.32198,0.5529,0.56038,0.601,0.62193,0.66667
240.0,41.66667,84.33333,0.49367,10.66667,27.0,0.389,17.0,18.33333,0.922,8.0,34.0,42.0,24.0,8.66667,5.33333,14.33333,18.0,111.0,240.0,39.33333,89.66667,0.44,11.0,30.33333,0.35633,13.66667,17.66667,0.773,12.66667,31.66667,44.33333,21.33333,8.0,2.33333,14.66667,16.33333,103.33333,0,-0.1006,0.1006,0.40525,0.26569,0.50106,0.55728,0.55314,0.6281,0.0,240.0,37.0,88.33333,0.42067,11.0,31.66667,0.35,14.66667,21.33333,0.684,14.33333,29.33333,43.66667,22.33333,7.33333,2.33333,15.0,18.0,99.66667,240.0,42.33333,81.66667,0.51767,12.33333,33.66667,0.37367,18.0,19.66667,0.913,6.0,33.0,39.0,26.66667,9.66667,7.0,14.0,21.66667,115.0,0,0.20625,-0.20625,0.20446,0.45216,0.59333,0.48374,0.66871,0.53803,1.0
240.0,39.33333,85.33333,0.45833,8.0,27.66667,0.266,17.33333,21.66667,0.79133,10.66667,36.66667,47.33333,25.33333,7.66667,4.33333,14.66667,16.33333,104.0,240.0,39.66667,91.0,0.431,10.66667,37.33333,0.29367,9.33333,12.33333,0.76067,11.0,34.33333,45.33333,22.66667,10.33333,4.33333,15.0,20.33333,99.33333,0,-0.09355,0.09355,0.31568,0.33302,0.48912,0.50422,0.52445,0.57533,0.33333,240.0,42.66667,93.0,0.45967,12.33333,35.33333,0.34767,20.33333,25.33333,0.80533,11.33333,37.33333,48.66667,28.66667,10.0,2.66667,15.0,20.0,118.0,240.0,41.33333,88.33333,0.46833,15.33333,35.33333,0.44367,15.33333,23.33333,0.63833,8.66667,33.66667,42.33333,25.0,8.0,6.33333,16.66667,21.66667,113.33333,0,-0.06033,0.06033,0.23742,0.36585,0.55538,0.52588,0.60801,0.59962,0.33333
240.0,39.0,88.33333,0.44533,10.33333,34.33333,0.308,17.33333,21.66667,0.82467,9.33333,36.0,45.33333,20.33333,6.66667,5.33333,13.0,20.33333,105.66667,240.0,38.33333,87.33333,0.43967,11.0,32.66667,0.33767,22.0,24.66667,0.88167,10.0,36.0,46.0,21.66667,8.0,4.66667,11.0,19.0,109.66667,1,0.0601,-0.0601,0.29628,0.27535,0.503,0.50418,0.593,0.57147,0.66667,240.0,42.0,93.33333,0.45167,12.0,34.33333,0.35033,11.33333,16.33333,0.69033,12.66667,33.66667,46.33333,25.33333,10.0,3.33333,12.0,19.33333,107.33333,240.0,39.66667,82.33333,0.485,10.33333,29.66667,0.34667,17.0,21.66667,0.78967,8.0,36.33333,44.33333,26.0,6.33333,3.66667,15.0,15.0,106.66667,1,-0.00193,0.00193,0.23225,0.34908,0.54964,0.51664,0.61722,0.55606,0.66667
240.0,30.66667,87.33333,0.34867,11.66667,40.66667,0.28367,15.33333,19.33333,0.80767,9.66667,35.66667,45.33333,18.0,7.0,4.0,13.0,20.0,88.33333,240.0,40.66667,87.33333,0.46567,12.33333,36.0,0.344,11.0,15.0,0.759,7.33333,44.33333,51.66667,25.33333,7.66667,6.0,14.66667,21.0,104.66667,1,0.25323,-0.25323,0.20465,0.22554,0.53585,0.41463,0.57779,0.48096,0.66667,248.33333,43.0,91.33333,0.471,10.66667,31.33333,0.33533,17.66667,22.33333,0.79133,9.66667,38.33333,48.0,19.33333,6.66667,7.0,16.33333,18.66667,114.33333,248.33333,48.33333,101.66667,0.47633,12.0,35.0,0.35,9.66667,15.33333,0.68167,13.0,33.66667,46.66667,31.33333,9.33333,4.33333,11.66667,20.66667,118.33333,1,0.05708,-0.05708,0.34335,0.29755,0.53544,0.53136,0.56419,0.59679,0.33333
248.33333,39.66667,91.66667,0.43467,12.66667,33.0,0.37233,16.66667,19.66667,0.84833,12.66667,43.0,55.66667,23.33333,7.33333,2.0,18.0,20.33333,108.66667,248.33333,35.0,90.0,0.38867,13.33333,44.0,0.30067,16.0,18.66667,0.86533,8.66667,34.33333,43.0,21.66667,10.33333,6.33333,15.0,19.66667,99.33333,1,-0.11629,0.11629,0.20171,0.3832,0.46372,0.50454,0.52861,0.56813,0.33333,240.0,37.66667,90.0,0.41933,11.66667,35.0,0.33467,14.33333,20.33333,0.69733,13.0,38.0,51.0,21.66667,6.33333,5.66667,14.33333,18.66667,101.33333,240.0,41.33333,90.66667,0.45567,14.0,41.66667,0.33433,11.66667,19.33333,0.55933,11.0,35.66667,46.66667,22.33333,7.0,6.0,11.66667,20.33333,108.33333,1,0.09534,-0.09534,0.28936,0.36561,0.53326,0.48509,0.57035,0.53768,1.0
