MP_away,FG_away,FGA_away,FG%_away,3P_away,3PA_away,3P%_away,FT_away,FTA_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,MP_home,FG_home,FGA_home,FG%_home,3P_home,3PA_home,3P%_home,FT_home,FTA_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,Winner,LogRatio_home,LogRatio_away,RB_aggr_home,RB_aggr_away,eFG%_home,eFG%_away,TS%_home,TS%_away,Elo_home,Elo_away,ModelProb_Away,ModelProb_Home,OddsAway_Elo,OddsHome_Elo,HomeTeamWon,MP_away.1,FG_away.1,FGA_away.1,FG%_away.1,3P_away.1,3PA_away.1,3P%_away.1,FT_away.1,FTA_away.1,FT%_away.1,ORB_away.1,DRB_away.1,TRB_away.1,AST_away.1,STL_away.1,BLK_away.1,TOV_away.1,PF_away.1,PTS_away.1,MP_home.1,FG_home.1,FGA_home.1,FG%_home.1,3P_home.1,3PA_home.1,3P%_home.1,FT_home.1,FTA_home.1,FT%_home.1,ORB_home.1,DRB_home.1,TRB_home.1,AST_home.1,STL_home.1,BLK_home.1,TOV_home.1,PF_home.1,PTS_home.1,Winner.1,LogRatio_home.1,LogRatio_away.1,RB_aggr_home.1,RB_aggr_away.1,eFG%_home.1,eFG%_away.1,TS%_home.1,TS%_away.1,Elo_home.1,Elo_away.1,ModelProb_Away.1,ModelProb_Home.1,OddsAway_Elo.1,OddsHome_Elo.1,HomeTeamWon.1,OddsAway,OddsHome,OddsAway.1,OddsHome.1
240.0,36.33333,84.66667,0.429,10.0,28.0,0.35267,17.66667,23.33333,0.75433,10.33333,37.66667,48.0,21.33333,9.0,2.66667,11.66667,16.33333,100.33333,240.0,34.0,85.66667,0.39833,8.66667,31.66667,0.268,14.0,16.0,0.871,9.0,35.33333,44.33333,18.33333,4.66667,6.66667,14.66667,20.0,90.66667,1,-0.14591,0.14591,0.23723,0.29266,0.4491,0.48758,0.51014,0.55863,1515.30833,1544.30424,0.52168,0.47832,1.92138,2.09619,0.0,240.0,42.66667,87.0,0.49233,11.0,31.0,0.34667,17.33333,22.33333,0.77567,8.33333,36.0,44.33333,27.66667,10.33333,3.66667,12.33333,18.33333,113.66667,240.0,37.33333,82.33333,0.455,12.66667,31.66667,0.40167,16.0,18.66667,0.88033,6.33333,32.0,38.33333,22.0,8.0,4.66667,15.33333,19.33333,103.33333,1,-0.13574,0.13574,0.1787,0.25744,0.5319,0.55626,0.59946,0.62079,1464.43963,1508.11882,0.54975,0.45025,1.82628,2.23569,0.0,,,,
240.0,34.66667,83.33333,0.41633,9.66667,30.33333,0.32067,20.0,26.33333,0.77067,9.66667,39.0,48.66667,20.33333,7.33333,4.33333,14.66667,20.66667,99.0,240.0,36.0,84.0,0.431,8.66667,26.33333,0.32667,13.66667,18.33333,0.72033,8.33333,36.33333,44.66667,20.33333,5.33333,3.66667,16.33333,25.0,94.33333,1,-0.07167,0.07167,0.212,0.27173,0.4829,0.47478,0.53785,0.55635,1493.74478,1508.52162,0.51087,0.48913,1.96011,2.04763,0.33333,240.0,40.33333,82.66667,0.49167,8.0,17.66667,0.456,17.33333,23.0,0.753,9.0,34.33333,43.33333,16.66667,8.0,2.66667,14.33333,18.33333,106.0,240.0,40.33333,84.0,0.47967,12.33333,32.33333,0.37867,12.33333,16.66667,0.72733,6.66667,32.66667,39.33333,21.33333,8.0,6.33333,14.0,21.0,105.33333,1,-0.00425,0.00425,0.19478,0.27087,0.55254,0.54084,0.60057,0.60882,1496.37278,1495.94883,0.49216,0.50784,2.03338,1.97053,0.66667,,,,
240.0,37.0,90.66667,0.40633,6.33333,19.33333,0.30533,12.0,18.66667,0.62733,11.33333,29.0,40.33333,16.33333,9.0,3.33333,12.0,21.33333,92.33333,240.0,38.33333,82.33333,0.468,10.66667,29.66667,0.36,17.33333,23.0,0.74167,12.66667,39.33333,52.0,23.33333,7.0,4.66667,16.66667,20.33333,104.66667,0,0.19641,-0.19641,0.43519,0.28803,0.53287,0.44113,0.60145,0.48362,1494.2557,1474.1091,0.49918,0.50082,2.00757,2.00069,1.0,240.0,36.66667,82.66667,0.446,6.66667,19.66667,0.29267,17.0,25.0,0.65767,9.66667,33.0,42.66667,21.0,7.33333,3.33333,13.33333,17.66667,97.0,240.0,39.33333,84.66667,0.46633,12.0,29.33333,0.41033,15.33333,21.33333,0.71733,10.33333,35.66667,46.0,24.33333,11.0,5.0,12.33333,24.33333,106.0,0,0.13163,-0.13163,0.32467,0.26692,0.53848,0.48607,0.59748,0.55323,1515.53323,1492.3893,0.48384,0.51616,2.06798,1.93841,0.66667,,,,
240.0,38.33333,88.33333,0.432,11.33333,31.66667,0.36033,24.66667,29.0,0.834,10.0,32.33333,42.33333,20.33333,6.66667,2.33333,17.0,24.0,112.66667,240.0,46.0,94.33333,0.48767,8.66667,28.0,0.31533,23.33333,29.66667,0.748,13.0,35.66667,48.66667,22.66667,9.0,6.66667,12.0,22.33333,124.0,0,0.15266,-0.15266,0.41409,0.28021,0.5336,0.49661,0.61621,0.59099,1503.24859,1495.90466,0.5085,0.4915,1.97279,2.04182,1.0,248.33333,40.0,94.0,0.42567,7.66667,29.33333,0.25833,10.0,15.33333,0.56167,8.66667,34.33333,43.0,22.66667,10.0,4.0,12.33333,18.0,97.66667,248.33333,40.66667,87.33333,0.46567,7.33333,26.33333,0.275,13.66667,18.0,0.769,8.66667,43.0,51.66667,25.66667,8.33333,5.33333,18.66667,20.66667,102.33333,0,0.06315,-0.06315,0.25725,0.20401,0.50627,0.4664,0.56009,0.50147,1482.83672,1511.91409,0.55506,0.44494,1.80405,2.25201,0.66667,,,,
240.0,38.66667,89.33333,0.43667,8.33333,26.0,0.313,12.33333,16.66667,0.752,12.0,33.0,45.0,21.33333,6.0,2.66667,14.66667,17.66667,98.0,240.0,38.66667,83.66667,0.46367,12.0,29.33333,0.406,16.0,18.0,0.91533,9.0,34.0,43.0,22.66667,7.0,4.66667,13.66667,18.33333,105.33333,1,0.10492,-0.10492,0.27029,0.34236,0.53516,0.48515,0.6023,0.53313,1500.15973,1492.61376,0.51086,0.48914,1.95852,2.04566,0.66667,240.0,38.66667,88.0,0.44233,12.33333,31.66667,0.38233,21.0,25.66667,0.81267,11.33333,33.66667,45.0,24.0,6.66667,4.0,19.66667,23.0,110.66667,240.0,42.33333,90.66667,0.467,12.33333,33.33333,0.37,21.0,30.0,0.70133,12.66667,33.0,45.66667,23.66667,12.0,5.66667,16.0,22.0,118.0,1,0.09395,-0.09395,0.38443,0.3384,0.53497,0.51332,0.60648,0.5942,1501.37806,1495.71254,0.49887,0.50113,2.00521,1.99614,1.0,,,,
240.0,33.0,80.0,0.412,7.66667,24.33333,0.327,22.33333,31.33333,0.723,7.66667,42.66667,50.33333,16.0,3.33333,5.0,14.0,19.33333,96.0,240.0,37.66667,91.33333,0.414,8.66667,29.0,0.307,17.33333,20.33333,0.87,8.33333,37.33333,45.66667,21.66667,9.66667,5.0,9.33333,23.33333,101.33333,0,0.08047,-0.08047,0.19175,0.2065,0.46153,0.46064,0.53085,0.55303,1507.23722,1501.55407,0.50256,0.49744,1.99295,2.01356,0.66667,240.0,38.0,82.66667,0.45933,10.66667,28.0,0.397,16.0,21.0,0.76033,7.0,32.0,39.0,23.33333,9.66667,6.66667,13.66667,22.0,102.66667,240.0,38.33333,88.66667,0.432,6.66667,21.66667,0.30767,16.66667,21.66667,0.77667,14.66667,35.66667,50.33333,20.0,6.0,10.33333,15.66667,16.66667,100.0,0,-0.03779,0.03779,0.46556,0.19362,0.46962,0.52409,0.53503,0.58853,1500.94346,1520.99715,0.51865,0.48135,1.92934,2.07906,0.66667,,,,
240.0,38.33333,88.66667,0.43233,11.33333,31.0,0.35933,13.0,16.66667,0.789,8.33333,35.66667,44.0,23.33333,5.66667,3.66667,13.33333,20.66667,101.0,240.0,38.66667,83.0,0.466,13.66667,32.66667,0.41867,20.0,23.0,0.86567,8.0,37.33333,45.33333,25.0,7.66667,2.33333,12.33333,17.33333,111.0,1,0.13536,-0.13536,0.25672,0.23047,0.54819,0.49653,0.62994,0.5475,1502.32474,1472.72795,0.4781,0.5219,2.09376,1.91783,1.0,240.0,38.0,95.33333,0.39667,7.66667,29.66667,0.24933,22.0,26.0,0.833,14.0,33.33333,47.33333,22.33333,7.33333,5.33333,15.0,20.66667,105.66667,240.0,44.0,85.66667,0.51433,9.0,22.33333,0.40233,21.33333,27.66667,0.71133,7.66667,38.66667,46.33333,21.33333,8.33333,7.0,14.0,21.66667,118.33333,1,0.17555,-0.17555,0.23075,0.36212,0.5671,0.43625,0.64573,0.52106,1518.92585,1503.44885,0.49574,0.50426,2.01858,1.98441,1.0,,,,
240.0,36.0,83.66667,0.429,9.66667,30.33333,0.31567,20.33333,27.0,0.75267,7.66667,39.66667,47.33333,20.66667,6.33333,4.66667,14.66667,24.0,102.0,240.0,35.0,85.66667,0.41,8.66667,27.66667,0.32,22.33333,26.66667,0.837,10.66667,37.33333,48.0,20.33333,6.0,6.33333,15.0,21.0,101.0,1,-0.0108,0.0108,0.27112,0.22352,0.46055,0.48724,0.5532,0.56951,1489.76638,1487.47089,0.49979,0.50021,2.01545,2.01358,0.33333,240.0,36.33333,87.33333,0.41567,8.33333,24.66667,0.286,10.33333,14.33333,0.72833,10.66667,37.33333,48.0,25.0,11.33333,5.33333,10.66667,18.0,91.33333,240.0,28.0,82.0,0.34,8.33333,32.33333,0.25833,14.66667,19.33333,0.76233,12.66667,39.66667,52.33333,18.0,5.66667,4.66667,17.0,15.33333,79.0,1,-0.21477,0.21477,0.34955,0.27446,0.39138,0.46466,0.45655,0.50597,1471.44728,1507.68678,0.53288,0.46712,1.88287,2.15044,0.33333,,,,
240.0,39.66667,80.0,0.49533,11.66667,31.0,0.38033,17.0,22.0,0.79767,7.66667,35.0,42.66667,21.66667,7.0,4.0,18.66667,15.66667,108.0,240.0,42.33333,90.0,0.46967,13.66667,38.0,0.35933,12.33333,16.33333,0.76567,9.33333,29.0,38.33333,26.0,10.0,3.0,12.33333,19.66667,110.66667,1,0.03071,-0.03071,0.26808,0.28855,0.5454,0.56838,0.5903,0.63646,1499.02375,1501.80755,0.50442,0.49558,1.98337,2.01882,0.66667,240.0,42.33333,87.66667,0.48333,11.33333,27.33333,0.413,20.0,25.66667,0.76767,10.66667,31.33333,42.0,22.33333,7.66667,4.0,15.0,28.0,116.0,240.0,41.0,88.0,0.47067,7.33333,23.0,0.31967,27.66667,34.33333,0.806,12.66667,32.0,44.66667,22.0,8.33333,7.0,12.33333,22.0,117.0,1,0.01324,-0.01324,0.39265,0.33519,0.51242,0.54764,0.61767,0.6222,1503.43428,1495.70785,0.48523,0.51477,2.0685,1.94852,0.66667,,,,
240.0,32.33333,84.66667,0.38533,11.66667,29.66667,0.40433,14.0,17.33333,0.81,11.66667,33.66667,45.33333,18.66667,6.66667,2.0,17.33333,19.0,90.33333,240.0,35.66667,78.66667,0.452,12.33333,38.66667,0.32833,18.66667,22.33333,0.82833,7.66667,37.33333,45.0,20.0,11.66667,6.0,15.0,21.33333,102.33333,0,0.17852,-0.17852,0.22713,0.32358,0.53001,0.45545,0.61198,0.51443,1512.1299,1472.44661,0.46387,0.53613,2.16121,1.86886,1.0,240.0,40.66667,85.33333,0.47433,10.0,28.33333,0.35133,15.33333,20.66667,0.75067,11.33333,34.33333,45.66667,24.33333,8.66667,7.0,14.0,22.0,106.66667,240.0,35.33333,84.33333,0.41867,11.66667,30.66667,0.38,18.33333,24.33333,0.74233,11.66667,31.66667,43.33333,20.33333,7.33333,4.33333,14.33333,18.0,100.66667,0,-0.05539,0.05539,0.33644,0.37141,0.48812,0.53261,0.56062,0.58871,1534.95545,1512.52282,0.4621,0.5379,2.16484,1.85961,0.33333,,,,
