MP_home,FG_home,FGA_home,FG%_home,3P_home,3PA_home,3P%_home,FT_home,FTA_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,LogRatio_away,RB_aggr_away,eFG%_away,TS%_away,MP_away,FG_away,FGA_away,FG%_away,3P_away,3PA_away,3P%_away,FT_away,FTA_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,RB_aggr_home,LogRatio_home,eFG%_home,TS%_home,Winner
240.0,36.0,85.2,0.4238,10.6,31.2,0.3408,13.6,16.8,0.8076,8.2,34.2,42.4,21.0,5.2,5.4,14.4,21.2,0.11468,0.2737,0.50729,0.58188,240.0,39.6,86.0,0.462,10.6,31.4,0.3286,16.4,21.8,0.749,8.6,32.2,40.8,25.8,9.2,3.2,12.4,19.0,0.23579,0.04165,0.57832,0.63766,1
240.0,38.8,83.8,0.4686,9.6,27.4,0.361,20.8,25.2,0.826,8.2,36.6,44.8,24.2,6.2,5.4,13.4,22.6,-0.09455,0.33086,0.47915,0.5513,240.0,36.4,82.8,0.441,6.2,20.6,0.2772,15.6,22.0,0.709,9.6,30.8,40.4,20.6,8.0,4.6,15.0,20.2,0.45211,0.18906,0.52608,0.59169,0
240.0,43.2,92.6,0.4646,8.2,26.0,0.323,23.0,30.2,0.7382,12.0,39.0,51.0,21.4,9.0,6.8,13.8,25.0,-0.10274,0.25802,0.47883,0.57226,240.0,39.2,84.4,0.4632,12.2,32.0,0.3748,13.4,18.8,0.6852,9.2,30.2,39.4,24.0,9.6,4.0,15.4,23.4,0.39142,0.04234,0.53142,0.59365,0
240.0,35.2,83.0,0.4262,10.0,29.2,0.3488,13.2,16.4,0.7968,6.8,34.4,41.2,20.2,5.6,5.4,14.8,20.4,0.11737,0.25504,0.50485,0.57921,240.0,41.6,90.8,0.4592,11.6,27.4,0.4304,20.8,24.6,0.8438,9.6,39.8,49.4,22.6,6.4,4.8,16.6,23.4,0.33661,0.00484,0.50591,0.57682,1
240.0,38.0,88.0,0.434,9.0,27.6,0.3342,19.8,23.4,0.857,8.8,38.4,47.2,23.2,8.0,5.0,11.8,23.0,-0.11817,0.22941,0.46214,0.5454,240.0,35.6,84.8,0.4216,13.8,36.0,0.3864,19.6,25.4,0.7758,10.2,29.4,39.6,20.0,7.4,3.0,13.0,20.8,0.40142,0.0718,0.52985,0.58976,0
240.0,41.4,87.2,0.4752,11.6,33.2,0.3498,19.0,25.2,0.7536,11.6,32.4,44.0,23.8,9.2,3.4,15.2,23.6,-0.02133,0.25113,0.55941,0.64062,240.0,39.6,93.6,0.4248,13.4,37.4,0.3476,12.8,16.6,0.7744,9.8,34.0,43.8,23.0,7.2,3.6,13.2,24.6,0.31077,0.08374,0.53549,0.60185,1
240.0,39.0,83.2,0.4696,12.8,31.6,0.4124,16.2,19.6,0.7894,7.6,34.6,42.2,24.0,6.8,1.8,13.6,17.0,-0.02576,0.24968,0.52226,0.58062,240.0,39.2,83.0,0.4722,9.2,24.6,0.3652,14.2,22.2,0.638,9.6,34.0,43.6,23.2,8.6,5.6,14.8,17.6,0.2907,0.02083,0.52478,0.5851,0
240.0,36.8,83.6,0.4458,9.6,28.4,0.3498,22.2,27.0,0.819,9.0,37.2,46.2,22.4,5.8,5.6,13.4,22.4,-0.07795,0.31181,0.47056,0.5416,245.0,37.4,86.6,0.4322,9.2,26.8,0.3124,11.0,15.4,0.7082,8.8,40.6,49.4,25.0,10.2,4.6,12.6,16.0,0.32782,-0.20175,0.40374,0.45408,0
240.0,41.6,86.2,0.4826,13.6,37.6,0.3638,17.4,23.2,0.756,10.8,28.6,39.4,24.8,9.2,3.2,15.0,22.0,-0.01014,0.25885,0.59378,0.66373,240.0,39.4,84.2,0.4678,12.0,31.4,0.381,15.4,20.6,0.7376,10.4,37.2,47.6,23.0,8.0,3.6,14.4,21.2,0.19108,-0.08347,0.51392,0.58101,1
240.0,38.8,88.6,0.437,11.2,33.4,0.3362,19.0,27.2,0.6924,13.6,39.2,52.8,24.2,8.8,5.2,17.4,21.0,-0.15748,0.24456,0.45097,0.52275,240.0,41.8,89.0,0.4692,14.2,30.8,0.466,14.8,18.4,0.807,9.6,36.2,45.8,28.4,7.8,4.0,11.2,24.2,0.23887,-0.12779,0.50239,0.57951,1
