FG_home,FG%_home,3P%_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,TOV_home,PTS_home,LogRatio_home,RB_aggr_home,eFG%_home,TS%_home,FG_away,FG%_away,3P%_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,TOV_away,PTS_away,LogRatio_away,RB_aggr_away,eFG%_away,TS%_away,HomeTeamWon,Winner
34.0,0.39833,0.268,0.871,9.0,35.33333,44.33333,18.33333,4.66667,14.66667,90.66667,-0.14591,0.23723,0.4491,0.51014,42.66667,0.49233,0.34667,0.77567,8.33333,36.0,44.33333,27.66667,10.33333,12.33333,113.66667,0.13574,0.25744,0.55626,0.62079,0.0,1
36.0,0.431,0.32667,0.72033,8.33333,36.33333,44.66667,20.33333,5.33333,16.33333,94.33333,-0.07167,0.212,0.4829,0.53785,40.33333,0.49167,0.456,0.753,9.0,34.33333,43.33333,16.66667,8.0,14.33333,106.0,0.00425,0.27087,0.54084,0.60882,0.66667,1
38.33333,0.468,0.36,0.74167,12.66667,39.33333,52.0,23.33333,7.0,16.66667,104.66667,0.19641,0.43519,0.53287,0.60145,36.66667,0.446,0.29267,0.65767,9.66667,33.0,42.66667,21.0,7.33333,13.33333,97.0,-0.13163,0.26692,0.48607,0.55323,0.66667,0
46.0,0.48767,0.31533,0.748,13.0,35.66667,48.66667,22.66667,9.0,12.0,124.0,0.15266,0.41409,0.5336,0.61621,40.0,0.42567,0.25833,0.56167,8.66667,34.33333,43.0,22.66667,10.0,12.33333,97.66667,-0.06315,0.20401,0.4664,0.50147,0.66667,0
38.66667,0.46367,0.406,0.91533,9.0,34.0,43.0,22.66667,7.0,13.66667,105.33333,0.10492,0.27029,0.53516,0.6023,38.66667,0.44233,0.38233,0.81267,11.33333,33.66667,45.0,24.0,6.66667,19.66667,110.66667,-0.09395,0.3384,0.51332,0.5942,1.0,1
37.66667,0.414,0.307,0.87,8.33333,37.33333,45.66667,21.66667,9.66667,9.33333,101.33333,0.08047,0.19175,0.46153,0.53085,38.0,0.45933,0.397,0.76033,7.0,32.0,39.0,23.33333,9.66667,13.66667,102.66667,0.03779,0.19362,0.52409,0.58853,0.66667,0
38.66667,0.466,0.41867,0.86567,8.0,37.33333,45.33333,25.0,7.66667,12.33333,111.0,0.13536,0.25672,0.54819,0.62994,38.0,0.39667,0.24933,0.833,14.0,33.33333,47.33333,22.33333,7.33333,15.0,105.66667,-0.17555,0.36212,0.43625,0.52106,1.0,1
35.0,0.41,0.32,0.837,10.66667,37.33333,48.0,20.33333,6.0,15.0,101.0,-0.0108,0.27112,0.46055,0.5532,36.33333,0.41567,0.286,0.72833,10.66667,37.33333,48.0,25.0,11.33333,10.66667,91.33333,0.21477,0.27446,0.46466,0.50597,0.33333,1
42.33333,0.46967,0.35933,0.76567,9.33333,29.0,38.33333,26.0,10.0,12.33333,110.66667,0.03071,0.26808,0.5454,0.5903,42.33333,0.48333,0.413,0.76767,10.66667,31.33333,42.0,22.33333,7.66667,15.0,116.0,-0.01324,0.33519,0.54764,0.6222,0.66667,1
35.66667,0.452,0.32833,0.82833,7.66667,37.33333,45.0,20.0,11.66667,15.0,102.33333,0.17852,0.22713,0.53001,0.61198,40.66667,0.47433,0.35133,0.75067,11.33333,34.33333,45.66667,24.33333,8.66667,14.0,106.66667,0.05539,0.37141,0.53261,0.58871,0.33333,0
35.0,0.441,0.33833,0.78733,11.33333,31.0,42.33333,21.33333,8.0,15.33333,103.0,-0.04293,0.37589,0.50071,0.59804,44.33333,0.46167,0.352,0.786,13.0,29.0,42.0,29.33333,8.66667,14.0,117.0,-0.02922,0.3833,0.52749,0.58257,0.66667,1
40.0,0.47767,0.467,0.697,7.0,31.33333,38.33333,23.66667,8.66667,13.0,110.66667,-0.06502,0.1956,0.55334,0.62023,33.66667,0.433,0.345,0.8,6.0,38.33333,44.33333,20.0,6.66667,17.33333,96.0,-0.09315,0.18187,0.49127,0.57817,0.66667,0
39.66667,0.441,0.37467,0.67333,12.0,32.33333,44.33333,22.33333,9.0,14.33333,111.33333,-0.10856,0.31224,0.50533,0.57908,32.33333,0.40633,0.27367,0.74067,8.0,34.33333,42.33333,18.33333,8.66667,16.33333,89.0,-0.23871,0.22367,0.45248,0.52771,0.66667,1
39.0,0.45067,0.32633,0.751,12.33333,35.33333,47.66667,18.66667,10.33333,14.66667,99.66667,0.15484,0.36278,0.49551,0.55121,34.66667,0.44833,0.384,0.79633,6.0,36.33333,42.33333,20.66667,7.0,15.0,101.33333,-0.00226,0.18464,0.50984,0.61041,0.33333,0
43.33333,0.496,0.38567,0.633,10.33333,30.0,40.33333,25.66667,7.66667,16.33333,111.0,0.0065,0.34827,0.55924,0.60413,41.33333,0.46433,0.48833,0.83533,10.33333,36.33333,46.66667,27.66667,6.33333,11.66667,113.33333,0.15643,0.31508,0.55257,0.60966,0.33333,1
36.66667,0.46433,0.333,0.722,10.33333,36.0,46.33333,21.33333,7.0,16.0,100.33333,0.07544,0.36247,0.53039,0.59829,42.33333,0.45433,0.39833,0.79767,11.33333,34.66667,46.0,20.0,8.0,14.66667,113.0,0.03558,0.32749,0.50804,0.57525,0.66667,0
39.0,0.44533,0.41267,0.754,13.0,32.0,45.0,24.33333,8.66667,13.66667,105.0,-0.02661,0.38834,0.50849,0.56937,35.66667,0.422,0.403,0.78333,11.66667,33.33333,45.0,20.33333,8.0,15.33333,104.0,-0.03966,0.36397,0.48723,0.57544,0.33333,0
40.66667,0.474,0.437,0.755,11.33333,35.33333,46.66667,19.0,8.0,17.33333,113.0,0.0873,0.38787,0.54443,0.61619,35.66667,0.42333,0.28167,0.65767,10.0,26.33333,36.33333,22.66667,8.66667,13.33333,89.66667,-0.29995,0.26923,0.46044,0.50668,1.0,0
35.33333,0.45333,0.27133,0.73433,9.33333,29.66667,39.0,21.0,6.0,13.33333,99.0,-0.03689,0.29683,0.50559,0.58934,39.33333,0.42433,0.26033,0.59867,9.0,33.33333,42.33333,23.66667,9.0,13.33333,102.0,-0.09774,0.2077,0.47105,0.52444,0.66667,0
39.33333,0.43167,0.35333,0.657,10.66667,32.33333,43.0,21.33333,8.33333,13.33333,99.0,-0.10441,0.2983,0.48846,0.52412,31.66667,0.371,0.29667,0.84333,15.33333,34.66667,50.0,18.33333,8.0,16.0,94.33333,-0.13069,0.45759,0.42732,0.51893,1.0,0
37.66667,0.43967,0.354,0.70633,14.0,33.0,47.0,18.33333,9.33333,15.33333,104.0,0.02095,0.46465,0.49033,0.56562,43.0,0.454,0.378,0.89133,15.33333,24.66667,40.0,27.33333,11.0,14.33333,114.66667,0.0015,0.47695,0.51583,0.57973,0.66667,0
45.0,0.48733,0.39233,0.72233,11.0,33.33333,44.33333,26.66667,8.0,12.0,114.0,0.11978,0.34808,0.54845,0.59301,37.33333,0.48233,0.42033,0.797,8.33333,33.66667,42.0,15.66667,8.66667,15.0,102.0,0.05278,0.2676,0.53165,0.61443,0.33333,1
36.33333,0.46867,0.405,0.83167,7.33333,36.0,43.33333,23.33333,10.66667,16.0,106.33333,0.19399,0.22678,0.55211,0.64167,45.33333,0.54933,0.38333,0.81033,8.66667,29.66667,38.33333,24.33333,8.66667,16.66667,114.33333,0.06671,0.35258,0.60389,0.66224,0.66667,0
47.66667,0.50933,0.35167,0.65067,12.0,32.33333,44.33333,25.0,8.0,16.33333,119.0,0.07072,0.38571,0.56808,0.60805,42.0,0.493,0.42833,0.75367,7.0,36.0,43.0,25.0,8.0,17.33333,114.66667,0.00831,0.19911,0.58239,0.63942,0.33333,1
35.66667,0.43633,0.35833,0.798,8.33333,32.66667,41.0,24.0,10.0,15.0,103.33333,0.12151,0.25486,0.50852,0.59314,36.33333,0.41533,0.32767,0.83967,11.66667,38.66667,50.33333,22.66667,8.0,14.66667,98.66667,0.06342,0.32779,0.47083,0.53799,0.33333,0
38.66667,0.42967,0.37867,0.64033,9.66667,33.33333,43.0,23.66667,10.0,10.66667,100.0,-0.01069,0.26169,0.49853,0.53522,36.33333,0.432,0.36867,0.78567,11.0,27.0,38.0,19.66667,7.66667,13.66667,102.33333,-0.11296,0.34552,0.50798,0.57587,0.66667,1
34.0,0.42133,0.31467,0.769,12.0,32.0,44.0,20.33333,8.33333,17.33333,94.66667,-0.12361,0.41145,0.47766,0.55103,33.33333,0.422,0.343,0.77767,9.66667,35.33333,45.0,18.66667,6.66667,15.0,100.0,-0.0205,0.30199,0.48306,0.58217,0.66667,1
34.66667,0.42167,0.32633,0.753,7.33333,34.0,41.33333,19.66667,6.33333,17.0,90.33333,-0.11707,0.19758,0.47848,0.52753,34.33333,0.414,0.34567,0.789,11.66667,30.66667,42.33333,19.0,8.66667,20.33333,98.33333,-0.18151,0.39582,0.46837,0.5552,0.66667,1
39.0,0.431,0.256,0.788,11.0,36.33333,47.33333,19.33333,6.0,12.0,111.33333,0.11105,0.29812,0.47746,0.57016,39.33333,0.48033,0.40233,0.735,10.66667,37.0,47.66667,22.33333,7.0,15.66667,106.66667,0.10553,0.36747,0.55659,0.61689,0.33333,1
