Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Tue, Mar 1, 2022",7:00p,Detroit Pistons,113.0,Washington Wizards,116.0
"Tue, Mar 1, 2022",7:30p,Atlanta Hawks,98.0,Boston Celtics,107.0
"Tue, Mar 1, 2022",7:30p,Brooklyn Nets,108.0,Toronto Raptors,109.0
"Tue, Mar 1, 2022",8:00p,Los Angeles Clippers,113.0,Houston Rockets,100.0
"Tue, Mar 1, 2022",8:00p,Golden State Warriors,114.0,Minnesota Timberwolves,129.0
"Tue, Mar 1, 2022",10:00p,Dallas Mavericks,109.0,Los Angeles Lakers,104.0
"Wed, Mar 2, 2022",7:00p,Charlotte Hornets,119.0,Cleveland Cavaliers,98.0
"Wed, Mar 2, 2022",7:00p,Indiana Pacers,122.0,Orlando Magic,114.0
"Wed, Mar 2, 2022",7:30p,New York Knicks,108.0,Philadelphia 76ers,123.0
"Wed, Mar 2, 2022",8:00p,Utah Jazz,132.0,Houston Rockets,127.0
"Wed, Mar 2, 2022",8:00p,Miami Heat,119.0,Milwaukee Bucks,120.0
"Wed, Mar 2, 2022",8:00p,Sacramento Kings,95.0,New Orleans Pelicans,125.0
"Wed, Mar 2, 2022",9:00p,Oklahoma City Thunder,119.0,Denver Nuggets,107.0
"Wed, Mar 2, 2022",10:00p,Portland Trail Blazers,90.0,Phoenix Suns,120.0
"Thu, Mar 3, 2022",7:00p,Chicago Bulls,124.0,Atlanta Hawks,130.0
"Thu, Mar 3, 2022",7:30p,Memphis Grizzlies,107.0,Boston Celtics,120.0
"Thu, Mar 3, 2022",7:30p,Miami Heat,113.0,Brooklyn Nets,107.0
"Thu, Mar 3, 2022",7:30p,Detroit Pistons,108.0,Toronto Raptors,106.0
"Thu, Mar 3, 2022",8:30p,Golden State Warriors,113.0,Dallas Mavericks,122.0
"Thu, Mar 3, 2022",8:30p,Sacramento Kings,115.0,San Antonio Spurs,112.0
"Thu, Mar 3, 2022",10:00p,Los Angeles Lakers,111.0,Los Angeles Clippers,132.0
"Fri, Mar 4, 2022",7:00p,Indiana Pacers,106.0,Detroit Pistons,111.0
"Fri, Mar 4, 2022",7:00p,Cleveland Cavaliers,119.0,Philadelphia 76ers,125.0
"Fri, Mar 4, 2022",7:00p,Atlanta Hawks,117.0,Washington Wizards,114.0
"Fri, Mar 4, 2022",7:30p,Milwaukee Bucks,118.0,Chicago Bulls,112.0
"Fri, Mar 4, 2022",7:30p,Orlando Magic,103.0,Toronto Raptors,97.0
"Fri, Mar 4, 2022",8:00p,Utah Jazz,90.0,New Orleans Pelicans,124.0
"Fri, Mar 4, 2022",8:00p,Minnesota Timberwolves,138.0,Oklahoma City Thunder,101.0
"Fri, Mar 4, 2022",9:00p,Houston Rockets,101.0,Denver Nuggets,116.0
"Fri, Mar 4, 2022",10:00p,New York Knicks,114.0,Phoenix Suns,115.0
"Sat, Mar 5, 2022",5:00p,Sacramento Kings,113.0,Dallas Mavericks,114.0
"Sat, Mar 5, 2022",7:00p,San Antonio Spurs,117.0,Charlotte Hornets,123.0
"Sat, Mar 5, 2022",8:00p,Orlando Magic,96.0,Memphis Grizzlies,124.0
"Sat, Mar 5, 2022",8:00p,Philadelphia 76ers,82.0,Miami Heat,99.0
"Sat, Mar 5, 2022",8:00p,Portland Trail Blazers,121.0,Minnesota Timberwolves,135.0
"Sat, Mar 5, 2022",8:30p,Golden State Warriors,116.0,Los Angeles Lakers,124.0
"Sun, Mar 6, 2022",1:00p,Brooklyn Nets,120.0,Boston Celtics,126.0
"Sun, Mar 6, 2022",3:30p,Phoenix Suns,122.0,Milwaukee Bucks,132.0
"Sun, Mar 6, 2022",6:00p,Indiana Pacers,123.0,Washington Wizards,133.0
"Sun, Mar 6, 2022",7:00p,Memphis Grizzlies,112.0,Houston Rockets,123.0
"Sun, Mar 6, 2022",7:00p,Utah Jazz,116.0,Oklahoma City Thunder,103.0
"Sun, Mar 6, 2022",7:30p,Toronto Raptors,96.0,Cleveland Cavaliers,104.0
"Sun, Mar 6, 2022",8:00p,New Orleans Pelicans,130.0,Denver Nuggets,138.0
"Sun, Mar 6, 2022",10:00p,New York Knicks,116.0,Los Angeles Clippers,93.0
"Mon, Mar 7, 2022",7:00p,Atlanta Hawks,110.0,Detroit Pistons,113.0
"Mon, Mar 7, 2022",7:00p,Chicago Bulls,106.0,Philadelphia 76ers,121.0
"Mon, Mar 7, 2022",7:30p,Houston Rockets,106.0,Miami Heat,123.0
"Mon, Mar 7, 2022",8:00p,Portland Trail Blazers,81.0,Minnesota Timberwolves,124.0
"Mon, Mar 7, 2022",8:30p,Utah Jazz,103.0,Dallas Mavericks,111.0
"Mon, Mar 7, 2022",8:30p,Los Angeles Lakers,110.0,San Antonio Spurs,117.0
"Mon, Mar 7, 2022",9:00p,Golden State Warriors,124.0,Denver Nuggets,131.0
"Mon, Mar 7, 2022",10:30p,New York Knicks,131.0,Sacramento Kings,115.0
"Tue, Mar 8, 2022",7:00p,Brooklyn Nets,132.0,Charlotte Hornets,121.0
"Tue, Mar 8, 2022",7:00p,Cleveland Cavaliers,127.0,Indiana Pacers,124.0
"Tue, Mar 8, 2022",7:00p,Phoenix Suns,102.0,Orlando Magic,99.0
"Tue, Mar 8, 2022",7:30p,New Orleans Pelicans,111.0,Memphis Grizzlies,132.0
"Tue, Mar 8, 2022",8:00p,Milwaukee Bucks,142.0,Oklahoma City Thunder,115.0
"Tue, Mar 8, 2022",10:00p,Los Angeles Clippers,97.0,Golden State Warriors,112.0
"Wed, Mar 9, 2022",7:00p,Boston Celtics,115.0,Charlotte Hornets,101.0
"Wed, Mar 9, 2022",7:00p,Chicago Bulls,114.0,Detroit Pistons,108.0
"Wed, Mar 9, 2022",7:30p,Phoenix Suns,111.0,Miami Heat,90.0
"Wed, Mar 9, 2022",8:00p,Los Angeles Lakers,130.0,Houston Rockets,139.0
"Wed, Mar 9, 2022",8:00p,Atlanta Hawks,115.0,Milwaukee Bucks,124.0
"Wed, Mar 9, 2022",8:00p,Oklahoma City Thunder,102.0,Minnesota Timberwolves,132.0
"Wed, Mar 9, 2022",8:00p,Orlando Magic,108.0,New Orleans Pelicans,102.0
"Wed, Mar 9, 2022",8:30p,New York Knicks,107.0,Dallas Mavericks,77.0
"Wed, Mar 9, 2022",8:30p,Toronto Raptors,119.0,San Antonio Spurs,104.0
"Wed, Mar 9, 2022",10:00p,Denver Nuggets,106.0,Sacramento Kings,100.0
"Wed, Mar 9, 2022",10:00p,Portland Trail Blazers,85.0,Utah Jazz,123.0
"Wed, Mar 9, 2022",10:30p,Washington Wizards,109.0,Los Angeles Clippers,115.0
"Thu, Mar 10, 2022",7:30p,Brooklyn Nets,129.0,Philadelphia 76ers,100.0
"Thu, Mar 10, 2022",10:00p,Golden State Warriors,113.0,Denver Nuggets,102.0
"Fri, Mar 11, 2022",7:00p,Minnesota Timberwolves,110.0,Orlando Magic,118.0
"Fri, Mar 11, 2022",7:30p,Los Angeles Clippers,106.0,Atlanta Hawks,112.0
"Fri, Mar 11, 2022",7:30p,Detroit Pistons,103.0,Boston Celtics,114.0
"Fri, Mar 11, 2022",8:00p,Dallas Mavericks,113.0,Houston Rockets,100.0
"Fri, Mar 11, 2022",8:00p,New York Knicks,114.0,Memphis Grizzlies,118.0
"Fri, Mar 11, 2022",8:00p,Cleveland Cavaliers,105.0,Miami Heat,117.0
"Fri, Mar 11, 2022",8:00p,Charlotte Hornets,142.0,New Orleans Pelicans,120.0
"Fri, Mar 11, 2022",8:30p,Utah Jazz,102.0,San Antonio Spurs,104.0
"Fri, Mar 11, 2022",9:00p,Toronto Raptors,117.0,Phoenix Suns,112.0
"Fri, Mar 11, 2022",10:30p,Washington Wizards,109.0,Los Angeles Lakers,122.0
"Sat, Mar 12, 2022",8:00p,Cleveland Cavaliers,91.0,Chicago Bulls,101.0
"Sat, Mar 12, 2022",8:00p,Minnesota Timberwolves,113.0,Miami Heat,104.0
"Sat, Mar 12, 2022",8:00p,Indiana Pacers,119.0,San Antonio Spurs,108.0
"Sat, Mar 12, 2022",8:30p,Milwaukee Bucks,109.0,Golden State Warriors,122.0
"Sat, Mar 12, 2022",9:00p,Toronto Raptors,127.0,Denver Nuggets,115.0
"Sat, Mar 12, 2022",9:00p,Sacramento Kings,125.0,Utah Jazz,134.0
"Sat, Mar 12, 2022",10:00p,Washington Wizards,118.0,Portland Trail Blazers,127.0
"Sun, Mar 13, 2022",1:00p,New York Knicks,107.0,Brooklyn Nets,110.0
"Sun, Mar 13, 2022",3:00p,Los Angeles Clippers,106.0,Detroit Pistons,102.0
"Sun, Mar 13, 2022",3:30p,Dallas Mavericks,95.0,Boston Celtics,92.0
"Sun, Mar 13, 2022",6:00p,Philadelphia 76ers,116.0,Orlando Magic,114.0
"Sun, Mar 13, 2022",7:00p,Indiana Pacers,128.0,Atlanta Hawks,131.0
"Sun, Mar 13, 2022",7:00p,Houston Rockets,105.0,New Orleans Pelicans,130.0
"Sun, Mar 13, 2022",7:00p,Memphis Grizzlies,125.0,Oklahoma City Thunder,118.0
"Sun, Mar 13, 2022",9:00p,Los Angeles Lakers,111.0,Phoenix Suns,140.0
"Mon, Mar 14, 2022",7:00p,Los Angeles Clippers,111.0,Cleveland Cavaliers,120.0
"Mon, Mar 14, 2022",7:30p,Portland Trail Blazers,113.0,Atlanta Hawks,122.0
"Mon, Mar 14, 2022",7:30p,Denver Nuggets,114.0,Philadelphia 76ers,110.0
"Mon, Mar 14, 2022",8:00p,Charlotte Hornets,134.0,Oklahoma City Thunder,116.0
"Mon, Mar 14, 2022",8:30p,Minnesota Timberwolves,149.0,San Antonio Spurs,139.0
"Mon, Mar 14, 2022",10:00p,Washington Wizards,112.0,Golden State Warriors,126.0
"Mon, Mar 14, 2022",10:00p,Chicago Bulls,103.0,Sacramento Kings,112.0
"Mon, Mar 14, 2022",10:00p,Milwaukee Bucks,117.0,Utah Jazz,111.0
"Mon, Mar 14, 2022",10:30p,Toronto Raptors,114.0,Los Angeles Lakers,103.0
"Tue, Mar 15, 2022",7:00p,Memphis Grizzlies,135.0,Indiana Pacers,102.0
"Tue, Mar 15, 2022",7:00p,Brooklyn Nets,150.0,Orlando Magic,108.0
"Tue, Mar 15, 2022",7:30p,Detroit Pistons,98.0,Miami Heat,105.0
"Tue, Mar 15, 2022",8:00p,Phoenix Suns,131.0,New Orleans Pelicans,115.0
"Wed, Mar 16, 2022",7:00p,Atlanta Hawks,106.0,Charlotte Hornets,116.0
"Wed, Mar 16, 2022",7:00p,Philadelphia 76ers,118.0,Cleveland Cavaliers,114.0
"Wed, Mar 16, 2022",7:00p,Denver Nuggets,127.0,Washington Wizards,109.0
"Wed, Mar 16, 2022",7:30p,Dallas Mavericks,113.0,Brooklyn Nets,111.0
"Wed, Mar 16, 2022",7:30p,Portland Trail Blazers,98.0,New York Knicks,128.0
