FG_away,FG%_away,3P%_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,TOV_away,PTS_away,LogRatio_away,RB_aggr_away,eFG%_away,TS%_away,HomeTeamWon,FG_home,FG%_home,3P%_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,TOV_home,PTS_home,LogRatio_home,RB_aggr_home,eFG%_home,TS%_home,Winner
37.0,0.443,0.32033,0.891,10.33333,41.66667,52.0,17.33333,6.33333,16.0,109.33333,0.16081,0.32395,0.52112,0.61386,0.33333,43.0,0.48267,0.39533,0.91533,9.66667,40.66667,50.33333,26.33333,9.33333,12.33333,117.66667,0.23192,0.33276,0.55748,0.63115,1
41.0,0.44133,0.359,0.81533,11.66667,34.33333,46.0,19.66667,10.0,11.0,106.33333,0.09646,0.35049,0.50382,0.55193,0.0,37.0,0.421,0.37467,0.766,11.0,28.0,39.0,19.0,8.33333,15.66667,101.33333,-0.25136,0.2864,0.48902,0.54873,0
38.0,0.452,0.418,0.77567,6.66667,38.66667,45.33333,23.33333,4.0,13.33333,104.66667,-0.04348,0.19891,0.5315,0.5909,0.33333,43.66667,0.46133,0.40367,0.62333,14.66667,27.0,41.66667,20.0,13.33333,9.0,109.66667,0.07925,0.48647,0.52239,0.5573,1
44.0,0.49467,0.38267,0.81633,8.0,36.33333,44.33333,25.33333,4.33333,16.66667,118.66667,-0.0871,0.27135,0.57294,0.63509,1.0,37.0,0.417,0.28967,0.862,6.66667,40.0,46.66667,20.66667,7.66667,13.66667,97.33333,-0.06825,0.16284,0.47927,0.52995,0
35.33333,0.40933,0.27367,0.797,13.33333,33.33333,46.66667,20.33333,9.0,18.0,95.0,-0.02561,0.42064,0.46424,0.52535,0.66667,46.0,0.46467,0.44233,0.643,12.0,35.33333,47.33333,30.33333,5.66667,10.0,125.66667,0.01311,0.3083,0.5529,0.601,1
41.66667,0.49367,0.389,0.922,8.0,34.0,42.0,24.0,8.66667,14.33333,111.0,0.1006,0.26569,0.55728,0.6281,0.0,42.33333,0.51767,0.37367,0.913,6.0,33.0,39.0,26.66667,9.66667,14.0,115.0,0.20625,0.20446,0.59333,0.66871,0
39.33333,0.45833,0.266,0.79133,10.66667,36.66667,47.33333,25.33333,7.66667,14.66667,104.0,0.09355,0.33302,0.50422,0.57533,0.33333,41.33333,0.46833,0.44367,0.63833,8.66667,33.66667,42.33333,25.0,8.0,16.66667,113.33333,-0.06033,0.23742,0.55538,0.60801,0
39.0,0.44533,0.308,0.82467,9.33333,36.0,45.33333,20.33333,6.66667,13.0,105.66667,-0.0601,0.27535,0.50418,0.57147,0.66667,39.66667,0.485,0.34667,0.78967,8.0,36.33333,44.33333,26.0,6.33333,15.0,106.66667,-0.00193,0.23225,0.54964,0.61722,1
30.66667,0.34867,0.28367,0.80767,9.66667,35.66667,45.33333,18.0,7.0,13.0,88.33333,-0.25323,0.22554,0.41463,0.48096,0.66667,48.33333,0.47633,0.35,0.68167,13.0,33.66667,46.66667,31.33333,9.33333,11.66667,118.33333,0.05708,0.34335,0.53544,0.56419,1
39.66667,0.43467,0.37233,0.84833,12.66667,43.0,55.66667,23.33333,7.33333,18.0,108.66667,0.11629,0.3832,0.50454,0.56813,0.33333,41.33333,0.45567,0.33433,0.55933,11.0,35.66667,46.66667,22.33333,7.0,11.66667,108.33333,0.09534,0.28936,0.53326,0.57035,1
39.33333,0.46,0.313,0.597,9.33333,36.0,45.33333,23.33333,6.66667,22.33333,104.33333,-0.11101,0.2863,0.52341,0.57669,1.0,40.66667,0.479,0.281,0.66133,8.0,38.33333,46.33333,25.0,9.33333,20.33333,98.33333,0.13338,0.23538,0.53586,0.56305,0
36.33333,0.411,0.26167,0.71233,10.66667,31.33333,42.0,20.66667,9.0,15.33333,96.0,-0.19386,0.27137,0.46211,0.51713,1.0,35.66667,0.42033,0.281,0.83633,7.0,41.66667,48.66667,21.33333,7.33333,14.0,100.66667,0.03979,0.17913,0.47872,0.55915,0
40.33333,0.47433,0.40933,0.82733,10.0,34.66667,44.66667,24.33333,7.33333,12.66667,110.33333,0.08381,0.29493,0.55627,0.61799,0.33333,34.0,0.37567,0.23667,0.75633,14.0,32.0,46.0,21.33333,8.0,14.33333,95.66667,-0.13164,0.36921,0.42736,0.49864,1
41.0,0.45133,0.35333,0.81467,10.0,36.33333,46.33333,28.66667,10.0,12.66667,115.33333,0.11751,0.27183,0.52689,0.59955,0.0,42.33333,0.454,0.37967,0.673,14.33333,32.33333,46.66667,29.33333,8.66667,12.33333,113.0,0.07409,0.43102,0.53447,0.57856,0
40.33333,0.45467,0.38367,0.783,10.33333,31.33333,41.66667,23.0,10.66667,13.0,110.0,0.0445,0.3119,0.52472,0.58896,0.33333,40.33333,0.45833,0.41267,0.62867,9.0,43.33333,52.33333,28.66667,7.33333,19.33333,106.33333,0.10401,0.2438,0.55253,0.583,0
36.0,0.43167,0.319,0.63033,11.0,37.33333,48.33333,21.0,9.33333,22.0,99.0,-0.17227,0.32407,0.4964,0.55487,1.0,43.33333,0.49667,0.42233,0.73233,10.0,30.33333,40.33333,25.0,11.33333,16.33333,109.66667,0.11955,0.35418,0.56771,0.60564,0
35.66667,0.41733,0.32333,0.73967,9.33333,24.66667,34.0,23.0,10.0,13.66667,99.0,-0.23393,0.23718,0.48419,0.54834,1.0,37.0,0.41933,0.36333,0.816,9.33333,35.66667,45.0,21.33333,9.0,15.33333,104.0,-0.03937,0.24285,0.49614,0.56367,1
39.33333,0.44333,0.292,0.674,8.66667,36.66667,45.33333,24.33333,9.66667,14.33333,99.0,-0.00843,0.23457,0.49021,0.53399,0.66667,37.66667,0.42267,0.31567,0.77733,11.33333,36.0,47.33333,22.0,8.0,18.0,101.66667,-0.00244,0.29206,0.49262,0.54645,0
41.0,0.47733,0.43,0.73133,5.66667,33.33333,39.0,24.66667,7.33333,13.0,110.33333,-0.05479,0.14624,0.57487,0.61698,0.66667,38.0,0.40567,0.314,0.802,15.66667,28.66667,44.33333,23.0,9.0,16.0,101.0,-0.13624,0.44986,0.47877,0.52121,1
32.33333,0.36867,0.24367,0.64533,8.66667,36.0,44.66667,18.33333,7.0,16.33333,86.33333,-0.36352,0.2043,0.42335,0.47102,1.0,39.33333,0.421,0.293,0.74467,9.33333,31.66667,41.0,26.33333,13.66667,12.66667,103.0,0.04598,0.24477,0.48548,0.5304,0
42.33333,0.44,0.28733,0.80733,10.0,41.66667,51.66667,23.0,8.0,16.33333,110.0,-0.09083,0.2656,0.4895,0.54869,0.66667,36.0,0.404,0.307,0.761,9.66667,34.66667,44.33333,18.33333,5.66667,14.0,95.33333,-0.17012,0.25012,0.47647,0.51879,0
39.0,0.45267,0.279,0.69467,8.33333,32.66667,41.0,23.33333,9.33333,14.33333,100.0,-0.08201,0.2465,0.50694,0.55411,0.66667,43.66667,0.45667,0.37533,0.873,10.66667,36.0,46.66667,24.66667,10.0,12.0,113.66667,-0.02373,0.32564,0.53263,0.57897,0
42.33333,0.44133,0.24233,0.78667,9.33333,43.0,52.33333,26.66667,7.66667,11.33333,114.66667,0.0999,0.22877,0.49689,0.56648,0.33333,45.0,0.49167,0.30267,0.88167,12.0,41.33333,53.33333,26.33333,8.0,12.66667,119.33333,0.32711,0.40715,0.5457,0.61728,1
37.66667,0.42433,0.33933,0.87233,12.33333,42.0,54.33333,18.33333,9.0,17.66667,110.33333,0.14466,0.36905,0.50556,0.58639,0.33333,41.0,0.424,0.303,0.74267,11.66667,38.0,49.66667,22.33333,8.0,11.33333,109.33333,0.0299,0.29539,0.49433,0.54248,1
41.0,0.43567,0.351,0.8,14.0,30.66667,44.66667,27.33333,6.66667,15.66667,113.66667,-0.05967,0.42172,0.51809,0.57593,0.66667,43.0,0.46633,0.41467,0.721,11.0,39.0,50.0,26.0,8.0,16.66667,116.66667,0.01009,0.28872,0.54383,0.59949,1
37.33333,0.42633,0.35833,0.80733,15.0,39.33333,54.33333,20.0,7.33333,20.33333,102.66667,-0.05837,0.45826,0.4912,0.55763,0.66667,39.0,0.44333,0.294,0.68133,11.0,40.0,51.0,24.33333,9.0,14.0,102.0,-0.02396,0.30957,0.49271,0.54862,0
41.66667,0.49267,0.46633,0.693,7.33333,34.0,41.33333,24.0,7.33333,12.0,116.0,0.14,0.2224,0.59857,0.6507,0.0,42.33333,0.48233,0.38833,0.77333,10.0,32.0,42.0,28.33333,8.33333,17.33333,111.33333,-0.00706,0.30741,0.5683,0.61232,0
42.0,0.461,0.34733,0.77033,7.0,37.33333,44.33333,28.33333,9.66667,12.66667,107.33333,0.05973,0.20027,0.51063,0.56404,0.33333,39.66667,0.465,0.33867,0.79067,8.33333,33.66667,42.0,21.33333,8.0,13.0,108.0,-0.05839,0.24518,0.53313,0.59859,0
