Team_away,MP_away,FG_away,FGA_away,FG%_away,3P_away,3PA_away,3P%_away,FT_away,FTA_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,Team_home,MP_home,FG_home,FGA_home,FG%_home,3P_home,3PA_home,3P%_home,FT_home,FTA_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,Winner,LogRatio_home,LogRatio_away,RB_aggr_home,RB_aggr_away,eFG%_home,eFG%_away,TS%_home,TS%_away,Elo_home,Elo_away,ModelProb_Away,ModelProb_Home,OddsAway_Elo,OddsHome_Elo,HomeTeamWon
Boston Celtics,240,36,88,0.409,8,32,0.25,19,25,0.76,9,37,46,24,11,4,10,24,99,Cleveland Cavaliers,240,38,83,0.458,5,22,0.227,21,25,0.84,9,41,50,19,3,4,17,25,102,0,0.04306872189188593,-0.04306872189188598,0.24324324324324326,0.21951219512195122,0.4879518072289157,0.45454545454545453,0.576271186440678,0.5294117647058824,1500.0,1500.0,0.5,0.5,2.0,2.0,1
Houston Rockets,240,47,97,0.485,15,41,0.366,13,19,0.684,10,33,43,28,9,5,12,16,122,Golden State Warriors,240,43,80,0.538,16,30,0.533,19,21,0.905,6,35,41,34,5,9,17,25,121,1,-0.011874100288291778,0.011874100288291724,0.18181818181818182,0.2857142857142857,0.6375,0.5618556701030928,0.7149610021271566,0.6028859458390986,1500.0,1500.0,0.5,0.5,2.0,2.0,0
Charlotte Hornets,240,29,73,0.397,9,30,0.3,23,29,0.793,3,44,47,16,4,3,17,15,90,Detroit Pistons,240,41,96,0.427,9,26,0.346,11,12,0.917,9,38,47,24,14,3,8,21,102,0,0.18057224564182084,-0.18057224564182092,0.20454545454545456,0.07894736842105263,0.4739583333333333,0.4589041095890411,0.5170316301703163,0.5668934240362812,1507.5,1492.5,0.5,0.5,2.0,2.0,1
Brooklyn Nets,240,45,94,0.479,12,30,0.4,29,32,0.906,11,32,43,22,7,2,20,25,131,Indiana Pacers,240,53,102,0.52,9,34,0.265,25,32,0.781,14,33,47,29,12,9,14,25,140,0,0.09586001540751618,-0.09586001540751617,0.4375,0.3333333333333333,0.5637254901960784,0.5425531914893617,0.6419662509170946,0.648258115597783,1503.5,1496.5,0.5,0.5,2.0,2.0,1
Miami Heat,240,44,101,0.436,8,30,0.267,13,17,0.765,11,33,44,27,6,4,13,20,109,Orlando Magic,240,43,90,0.478,8,21,0.381,22,29,0.759,11,39,50,22,8,9,14,18,116,0,0.08979667035064584,-0.08979667035064569,0.3333333333333333,0.28205128205128205,0.5222222222222223,0.4752475247524752,0.6017846026146504,0.5203360702692381,1503.5,1496.5,0.5,0.5,2.0,2.0,1
Philadelphia 76ers,240,43,93,0.462,15,35,0.429,14,19,0.737,11,37,48,25,6,6,17,28,115,Washington Wizards,240,42,97,0.433,6,22,0.273,30,38,0.789,16,36,52,21,8,10,9,20,120,0,0.06140054466414327,-0.061400544664143256,0.43243243243243246,0.3055555555555556,0.4639175257731959,0.543010752688172,0.5694760820045558,0.5916855320024696,1500.0,1500.0,0.5,0.5,2.0,2.0,1
Milwaukee Bucks,240,38,76,0.5,7,21,0.333,25,30,0.833,6,39,45,19,6,4,15,22,108,Boston Celtics,240,39,91,0.429,11,28,0.393,11,21,0.524,11,32,43,23,12,2,12,27,100,1,-0.11103131238874384,0.11103131238874395,0.28205128205128205,0.1875,0.489010989010989,0.5460526315789473,0.5229031583350763,0.6537530266343826,1496.5,1503.5,0.5,0.5,2.0,2.0,0
New Orleans Pelicans,240,30,79,0.38,7,25,0.28,24,29,0.828,16,35,51,15,4,12,17,31,91,Memphis Grizzlies,240,39,92,0.424,9,29,0.31,16,28,0.571,15,30,45,19,9,8,11,29,103,0,0.17870588698452208,-0.17870588698452203,0.42857142857142855,0.5333333333333333,0.47282608695652173,0.4240506329113924,0.5246536267318663,0.5329116889201219,1507.5,1492.5,0.5,0.5,2.0,2.0,1
Atlanta Hawks,240,48,94,0.511,9,18,0.5,12,15,0.8,14,36,50,20,11,6,13,18,117,Dallas Mavericks,240,38,86,0.442,17,45,0.378,18,21,0.857,9,32,41,27,5,4,15,19,111,1,-0.07594885323329863,0.07594885323329842,0.25,0.4375,0.5406976744186046,0.5585106382978723,0.6124475833149415,0.6012332990750258,1496.5,1503.5,0.5,0.5,2.0,2.0,0
Denver Nuggets,240,36,77,0.468,13,27,0.481,11,12,0.917,7,31,38,21,4,3,20,18,96,Utah Jazz,240,41,81,0.506,9,24,0.375,15,16,0.938,6,30,36,28,9,5,15,18,106,0,0.1429579538420431,-0.14295795384204296,0.1935483870967742,0.23333333333333334,0.5617283950617284,0.551948051948052,0.6270705158542357,0.6027122049221497,1507.5,1492.5,0.5,0.5,2.0,2.0,1
