Date;Rot;VH;Team;1st;2nd;3rd;4th;Final;Open;Close;ML;2H
1022;501;V;New Orleans Pelicans;30;31;25;31;122;231.5;229.5;230;113
1022;502;H;Toronto Raptors;27;29;32;29;130;6.5;6.5;-280;6
1022;503;V;Los Angeles Lakers;25;29;31;17;102;227;3.5;-180;5
1022;504;H;Los Angeles Clippers;22;40;23;27;112;1.5;224;150;110.5
1023;505;V;Detroit Pistons;27;27;29;36;119;210;211;240;104
1023;506;H;Indiana Pacers;24;31;31;24;110;5;7;-300;4.5
1023;507;V;Cleveland Cavaliers;24;17;24;20;85;212.5;211.5;400;108
1023;508;H;Orlando Magic;28;27;16;23;94;7.5;9.5;-550;1
1023;509;V;Chicago Bulls;28;27;40;30;125;1.5;3.5;-170;4
1023;510;H;Charlotte Hornets;37;26;33;30;126;218.5;216.5;145;112
1023;511;V;Boston Celtics;25;23;20;25;93;215;214.5;190;110.5
1023;512;H;Philadelphia 76ers;20;29;28;30;107;6;5.5;-240;3.5
1023;513;V;Memphis Grizzlies;32;28;24;17;101;210.5;213;240;104.5
1023;514;H;Miami Heat;24;30;29;37;120;7.5;6.5;-300;4.5
1023;515;V;Minnesota Timberwolves;33;35;20;27;127;225.5;229;142;112.5
1023;516;H;Brooklyn Nets;22;34;37;22;126;5;3.5;-165;5
1023;517;V;New York Knicks;15;36;33;27;111;214;214.5;525;104.5
1023;518;H;San Antonio Spurs;22;37;24;37;120;9.5;11;-750;3.5
1023;519;V;Washington Wizards;25;23;20;32;100;223;220;350;105.5
1023;520;H;Dallas Mavericks;24;38;29;17;108;8.5;9;-450;1
1023;521;V;Oklahoma City Thunder;12;34;28;21;95;222;221.5;375;107
1023;522;H;Utah Jazz;23;26;19;32;100;9.5;9;-500;4.5
1023;523;V;Sacramento Kings;29;30;17;19;95;2.5;1;-115;114
1023;524;H;Phoenix Suns;25;29;32;38;124;233;232.5;-105;2
1023;525;V;Denver Nuggets;24;30;19;35;108;219.5;1.5;-120;106
1023;526;H;Portland Trail Blazers;27;23;24;26;100;2.5;217.5;100;1
1024;527;V;Atlanta Hawks;38;22;31;26;117;222;221.5;105;110
1024;528;H;Detroit Pistons;32;31;18;19;100;1.5;1.5;-125;pk
1024;529;V;Milwaukee Bucks;23;27;28;39;117;231.5;231;100;4.5
1024;530;H;Houston Rockets;30;36;21;24;111;2;1.5;-120;117.5
1024;531;V;Los Angeles Clippers;35;30;46;30;141;225;229.5;-110;110.5
1024;532;H;Golden State Warriors;29;25;33;35;122;pk;pk;-110;2
1025;533;V;Toronto Raptors;21;28;33;24;106;217.5;213;120;104.5
1025;534;H;Boston Celtics;22;28;26;36;112;3;2.5;-140;1
1025;535;V;Minnesota Timberwolves;30;28;45;18;121;4;5;-220;2.5
1025;536;H;Charlotte Hornets;32;24;25;18;99;229;225;180;109.5
1025;537;V;New York Knicks;23;28;32;26;109;225.5;228;280;110
1025;538;H;Brooklyn Nets;32;32;30;19;113;8.5;8;-360;1
1025;539;V;Washington Wizards;28;24;26;19;97;218.5;218;300;106.5
1025;540;H;Oklahoma City Thunder;24;22;24;15;85;6.5;8.5;-400;8
1025;541;V;Dallas Mavericks;27;45;23;28;123;228;227;110;111.5
1025;542;H;New Orleans Pelicans;41;23;29;23;116;2;2;-130;3.5
1025;543;V;Chicago Bulls;25;22;32;31;110;220.5;2;-125;5.5
1025;544;H;Memphis Grizzlies;29;31;21;21;102;1;224;105;116
1025;545;V;Phoenix Suns;21;24;17;33;107;221;219.5;650;111.5
1025;546;H;Denver Nuggets;15;24;25;31;108;11.5;12;-1000;10.5
1025;547;V;Portland Trail Blazers;25;32;37;28;122;226.5;1;-120;1.5
1025;548;H;Sacramento Kings;27;30;27;28;112;1;227.5;100;117.5
1025;549;V;Utah Jazz;17;20;18;31;86;218;215.5;140;109.5
1025;550;H;Los Angeles Lakers;24;19;31;21;95;2;3.5;-160;pk
1026;551;V;Miami Heat;29;24;29;39;131;226.5;223;550;107.5
1026;552;H;Milwaukee Bucks;33;37;23;28;126;9.5;11.5;-800;2
1026;553;V;Philadelphia 76ers;28;26;29;34;117;5;4.5;-190;4.5
1026;554;H;Detroit Pistons;29;28;26;28;111;214;213;160;103
1026;555;V;Boston Celtics;22;24;36;36;118;210;5.5;-240;5.5
1026;556;H;New York Knicks;24;27;25;19;95;1;218.5;190;112
1026;557;V;Orlando Magic;26;24;25;24;99;219;2.5;-135;1
1026;558;H;Atlanta Hawks;23;29;25;26;103;pk;216.5;115;105.5
1026;559;V;Indiana Pacers;28;20;26;25;99;5.5;4.5;-190;7
1026;560;H;Cleveland Cavaliers;26;39;25;20;110;213.5;213;160;103.5
1026;561;V;Toronto Raptors;24;24;36;24;108;3.5;3;-155;105
1026;562;H;Chicago Bulls;23;17;22;22;84;223;219.5;135;1
1026;563;V;New Orleans Pelicans;24;37;39;23;123;236;238.5;650;116.5
1026;564;H;Houston Rockets;29;32;36;29;126;10;12;-1000;8
1026;565;V;Washington Wizards;26;34;30;32;122;218;219.5;650;107.5
1026;566;H;San Antonio Spurs;30;30;32;32;124;12;11.5;-1000;7
1026;567;V;Sacramento Kings;25;16;17;23;81;220;221.5;350;2
1026;568;H;Utah Jazz;35;31;27;20;113;9.5;9;-450;107.5
1026;569;V;Los Angeles Clippers;20;35;30;37;122;8.5;10;-550;7.5
1026;570;H;Phoenix Suns;26;29;36;39;130;229.5;225.5;400;110
1027;501;V;Golden State Warriors;20;17;31;24;92;1.5;224;100;6
1027;502;H;Oklahoma City Thunder;35;35;35;15;120;223.5;1;-120;109
1027;503;V;Brooklyn Nets;29;28;40;23;133;4;4;-180;4
1027;504;H;Memphis Grizzlies;35;24;33;28;134;224;224;150;115.5
1027;505;V;Miami Heat;23;34;27;25;109;223.5;224;240;109.5
1027;506;H;Minnesota Timberwolves;36;19;22;39;116;6;7;-300;5.5
1027;507;V;Portland Trail Blazers;25;34;36;26;121;222;219;125;2
1027;508;H;Dallas Mavericks;40;31;24;24;119;1.5;2.5;-145;113
1027;509;V;Charlotte Hornets;28;34;18;21;101;216;216.5;800;107
1027;510;H;Los Angeles Lakers;30;33;24;33;120;14;13;-1400;8.5
1028;511;V;Indiana Pacers;25;28;18;23;94;1;2;-130;2.5
1028;512;H;Detroit Pistons;33;26;19;18;96;213.5;213;110;103.5
1028;513;V;Chicago Bulls;33;19;28;18;98;224;2;-135;116
1028;514;H;New York Knicks;15;27;30;33;105;pk;224;115;3.5
1028;515;V;Philadelphia 76ers;31;32;19;23;105;4;6.5;-280;5.5
1028;516;H;Atlanta Hawks;40;25;18;20;103;223;221;230;107
1028;517;V;Orlando Magic;22;24;21;28;95;212.5;209;175;101.5
1028;518;H;Toronto Raptors;31;20;27;26;104;5;5;-210;1.5
1028;519;V;Golden State Warriors;27;45;31;31;134;239;235.5;120;114.5
1028;520;H;New Orleans Pelicans;23;32;24;44;123;2.5;2.5;-140;5.5
1028;521;V;Cleveland Cavaliers;31;21;28;32;112;222;224.5;1200;115
1028;522;H;Milwaukee Bucks;30;29;32;38;129;14.5;15.5;-3000;6.5
1028;523;V;Oklahoma City Thunder;35;27;18;32;112;225;228;425;111.5
1028;524;H;Houston Rockets;22;30;39;25;116;10.5;10;-600;9
1028;525;V;Portland Trail Blazers;33;18;20;39;110;220;223;200;116
1028;526;H;San Antonio Spurs;19;26;37;31;113;3.5;6;-250;7
1028;527;V;Utah Jazz;28;18;24;26;96;4;5;-190;1
1028;528;H;Phoenix Suns;21;18;31;25;95;217.5;213.5;160;110
1028;529;V;Denver Nuggets;21;26;30;24;101;5;5.5;-220;4.5
1028;530;H;Sacramento Kings;28;25;17;24;94;218;218;180;106
1028;531;V;Charlotte Hornets;28;26;20;22;96;225.5;228;1200;111.5
1028;532;H;Los Angeles Clippers;29;28;29;25;111;15;15.5;-3000;9
1029;533;V;Atlanta Hawks;26;23;21;27;97;224.5;223;300;106.5
1029;534;H;Miami Heat;29;30;29;24;112;7;8.5;-400;3
1029;535;V;Dallas Mavericks;27;33;23;26;109;216;212.5;185;103
1029;536;H;Denver Nuggets;31;30;27;18;106;6;5.5;-230;3
1029;537;V;Memphis Grizzlies;32;15;20;24;91;220;215;575;109
1029;538;H;Los Angeles Lakers;27;22;39;32;120;12;11.5;-850;7
1030;539;V;New York Knicks;25;19;23;16;83;208;209.5;375;101.5
1030;540;H;Orlando Magic;22;20;30;23;95;7.5;9.5;-500;7.5
1030;541;V;Minnesota Timberwolves;24;19;35;17;95;227;222.5;250;2.5
