Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Thu, Apr 1, 2021",7:00p,Philadelphia 76ers,114,Cleveland Cavaliers,94
"Thu, Apr 1, 2021",7:00p,Washington Wizards,91,Detroit Pistons,120
"Thu, Apr 1, 2021",7:30p,Charlotte Hornets,89,Brooklyn Nets,111
"Thu, Apr 1, 2021",8:00p,Golden State Warriors,109,Miami Heat,116
"Thu, Apr 1, 2021",8:00p,Orlando Magic,115,New Orleans Pelicans,110
"Thu, Apr 1, 2021",8:30p,Atlanta Hawks,134,San Antonio Spurs,129
"Thu, Apr 1, 2021",10:00p,Denver Nuggets,101,Los Angeles Clippers,94
"Fri, Apr 2, 2021",7:00p,Golden State Warriors,77,Toronto Raptors,130
"Fri, Apr 2, 2021",7:30p,Houston Rockets,102,Boston Celtics,118
"Fri, Apr 2, 2021",7:30p,Dallas Mavericks,99,New York Knicks,86
"Fri, Apr 2, 2021",8:00p,Charlotte Hornets,114,Indiana Pacers,97
"Fri, Apr 2, 2021",8:00p,Minnesota Timberwolves,108,Memphis Grizzlies,120
"Fri, Apr 2, 2021",9:00p,Atlanta Hawks,126,New Orleans Pelicans,103
"Fri, Apr 2, 2021",9:00p,Chicago Bulls,106,Utah Jazz,113
"Fri, Apr 2, 2021",10:00p,Oklahoma City Thunder,103,Phoenix Suns,140
"Fri, Apr 2, 2021",10:00p,Milwaukee Bucks,127,Portland Trail Blazers,109
"Fri, Apr 2, 2021",10:00p,Los Angeles Lakers,115,Sacramento Kings,94
"Sat, Apr 3, 2021",7:00p,Dallas Mavericks,109,Washington Wizards,87
"Sat, Apr 3, 2021",8:00p,New York Knicks,125,Detroit Pistons,81
"Sat, Apr 3, 2021",8:00p,Cleveland Cavaliers,101,Miami Heat,115
"Sat, Apr 3, 2021",8:00p,Minnesota Timberwolves,113,Philadelphia 76ers,122
"Sat, Apr 3, 2021",9:00p,Indiana Pacers,139,San Antonio Spurs,133
"Sat, Apr 3, 2021",9:00p,Orlando Magic,91,Utah Jazz,137
"Sat, Apr 3, 2021",10:00p,Oklahoma City Thunder,85,Portland Trail Blazers,133
"Sat, Apr 3, 2021",10:00p,Milwaukee Bucks,129,Sacramento Kings,128
"Sun, Apr 4, 2021",2:00p,Brooklyn Nets,107,Chicago Bulls,115
"Sun, Apr 4, 2021",3:30p,Los Angeles Lakers,86,Los Angeles Clippers,104
"Sun, Apr 4, 2021",6:00p,Charlotte Hornets,86,Boston Celtics,116
"Sun, Apr 4, 2021",7:00p,Memphis Grizzlies,116,Philadelphia 76ers,100
"Sun, Apr 4, 2021",7:30p,Golden State Warriors,111,Atlanta Hawks,117
"Sun, Apr 4, 2021",8:00p,New Orleans Pelicans,122,Houston Rockets,115
"Sun, Apr 4, 2021",10:00p,Orlando Magic,109,Denver Nuggets,119
"Mon, Apr 5, 2021",7:00p,New York Knicks,112,Brooklyn Nets,114
"Mon, Apr 5, 2021",7:00p,Utah Jazz,103,Dallas Mavericks,111
"Mon, Apr 5, 2021",7:00p,Sacramento Kings,106,Minnesota Timberwolves,116
"Mon, Apr 5, 2021",7:00p,Detroit Pistons,132,Oklahoma City Thunder,108
"Mon, Apr 5, 2021",7:00p,Cleveland Cavaliers,125,San Antonio Spurs,101
"Mon, Apr 5, 2021",7:00p,Washington Wizards,101,Toronto Raptors,103
"Mon, Apr 5, 2021",8:00p,Phoenix Suns,133,Houston Rockets,130
"Tue, Apr 6, 2021",7:00p,Chicago Bulls,113,Indiana Pacers,97
"Tue, Apr 6, 2021",7:30p,New Orleans Pelicans,107,Atlanta Hawks,123
"Tue, Apr 6, 2021",7:30p,Philadelphia 76ers,106,Boston Celtics,96
"Tue, Apr 6, 2021",7:30p,Los Angeles Lakers,110,Toronto Raptors,101
"Tue, Apr 6, 2021",8:00p,Memphis Grizzlies,124,Miami Heat,112
"Tue, Apr 6, 2021",9:00p,Detroit Pistons,119,Denver Nuggets,134
"Tue, Apr 6, 2021",10:00p,Milwaukee Bucks,121,Golden State Warriors,122
"Tue, Apr 6, 2021",10:00p,Portland Trail Blazers,116,Los Angeles Clippers,133
"Wed, Apr 7, 2021",7:00p,Minnesota Timberwolves,137,Indiana Pacers,141
"Wed, Apr 7, 2021",7:00p,Washington Wizards,131,Orlando Magic,116
"Wed, Apr 7, 2021",7:30p,New York Knicks,99,Boston Celtics,101
"Wed, Apr 7, 2021",7:30p,New Orleans Pelicans,111,Brooklyn Nets,139
"Wed, Apr 7, 2021",8:00p,Memphis Grizzlies,131,Atlanta Hawks,113
"Wed, Apr 7, 2021",8:00p,Dallas Mavericks,93,Houston Rockets,102
"Wed, Apr 7, 2021",8:00p,Charlotte Hornets,113,Oklahoma City Thunder,102
"Wed, Apr 7, 2021",9:00p,San Antonio Spurs,96,Denver Nuggets,106
"Wed, Apr 7, 2021",10:00p,Utah Jazz,113,Phoenix Suns,117
"Thu, Apr 8, 2021",7:30p,Los Angeles Lakers,104,Miami Heat,110
"Thu, Apr 8, 2021",7:30p,Chicago Bulls,122,Toronto Raptors,113
"Thu, Apr 8, 2021",8:00p,Cleveland Cavaliers,129,Oklahoma City Thunder,102
"Thu, Apr 8, 2021",9:00p,Milwaukee Bucks,101,Dallas Mavericks,116
"Thu, Apr 8, 2021",10:00p,Phoenix Suns,103,Los Angeles Clippers,113
"Thu, Apr 8, 2021",10:00p,Detroit Pistons,113,Sacramento Kings,101
"Thu, Apr 8, 2021",10:00p,Portland Trail Blazers,103,Utah Jazz,122
"Fri, Apr 9, 2021",7:00p,Indiana Pacers,111,Orlando Magic,106
