Team,Elo
Phoenix Suns,1705.1082913064963
Boston Celtics,1690.9677281022318
Memphis Grizzlies,1654.2001915646517
Miami Heat,1597.7661441495193
Minnesota Timberwolves,1596.994564684543
Milwaukee Bucks,1592.534389475441
Utah Jazz,1590.8680262372507
Philadelphia 76ers,1579.9132233055248
Golden State Warriors,1575.6626448588056
Dallas Mavericks,1569.3331327115511
Toronto Raptors,1553.5952502126654
Denver Nuggets,1551.0049111291512
Charlotte Hornets,1541.7963986359675
Cleveland Cavaliers,1539.5206746528415
Atlanta Hawks,1537.3653766700543
New Orleans Pelicans,1513.351588318918
New York Knicks,1501.0426279724006
Chicago Bulls,1493.707607944767
Brooklyn Nets,1489.3056108529681
San Antonio Spurs,1461.651981551796
Los Angeles Clippers,1437.5847897674626
Indiana Pacers,1427.5530225501839
Los Angeles Lakers,1410.7871485766948
Washington Wizards,1389.9115877591332
Sacramento Kings,1345.7479459989297
Oklahoma City Thunder,1344.2309420030174
Orlando Magic,1342.5413575775174
Detroit Pistons,1341.2427925098787
Houston Rockets,1326.4446042628915
Portland Trail Blazers,1298.265444656748
