Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Tue, Feb 1, 2022",7:00p,New Orleans Pelicans,111,Detroit Pistons,101
"Tue, Feb 1, 2022",7:30p,Washington Wizards,98,Milwaukee Bucks,112
"Tue, Feb 1, 2022",7:30p,Miami Heat,106,Toronto Raptors,110
"Tue, Feb 1, 2022",8:00p,Orlando Magic,115,Chicago Bulls,126
"Tue, Feb 1, 2022",8:00p,Denver Nuggets,115,Minnesota Timberwolves,130
"Tue, Feb 1, 2022",8:30p,Golden State Warriors,124,San Antonio Spurs,120
"Tue, Feb 1, 2022",10:00p,Brooklyn Nets,111,Phoenix Suns,121
"Wed, Feb 2, 2022",7:00p,Orlando Magic,119,Indiana Pacers,118
"Wed, Feb 2, 2022",7:00p,Washington Wizards,106,Philadelphia 76ers,103
"Wed, Feb 2, 2022",7:30p,Charlotte Hornets,107,Boston Celtics,113
"Wed, Feb 2, 2022",7:30p,Memphis Grizzlies,120,New York Knicks,108
"Wed, Feb 2, 2022",8:00p,Cleveland Cavaliers,104,Houston Rockets,115
"Wed, Feb 2, 2022",8:30p,Oklahoma City Thunder,120,Dallas Mavericks,114
"Wed, Feb 2, 2022",10:00p,Brooklyn Nets,101,Sacramento Kings,112
"Wed, Feb 2, 2022",10:00p,Denver Nuggets,104,Utah Jazz,108
"Wed, Feb 2, 2022",10:30p,Portland Trail Blazers,94,Los Angeles Lakers,99
"Thu, Feb 3, 2022",7:00p,Minnesota Timberwolves,128,Detroit Pistons,117
"Thu, Feb 3, 2022",7:00p,Miami Heat,112,San Antonio Spurs,95
"Thu, Feb 3, 2022",7:30p,Phoenix Suns,115,Atlanta Hawks,124
"Thu, Feb 3, 2022",7:30p,Chicago Bulls,120,Toronto Raptors,127
"Thu, Feb 3, 2022",10:00p,Sacramento Kings,114,Golden State Warriors,126
"Thu, Feb 3, 2022",10:00p,Los Angeles Lakers,110,Los Angeles Clippers,111
"Fri, Feb 4, 2022",7:00p,Cleveland Cavaliers,102,Charlotte Hornets,101
"Fri, Feb 4, 2022",7:00p,Boston Celtics,102,Detroit Pistons,93
"Fri, Feb 4, 2022",7:00p,Chicago Bulls,122,Indiana Pacers,115
"Fri, Feb 4, 2022",7:30p,Atlanta Hawks,114,Toronto Raptors,125
"Fri, Feb 4, 2022",8:30p,Houston Rockets,106,San Antonio Spurs,131
"Fri, Feb 4, 2022",9:00p,New Orleans Pelicans,113,Denver Nuggets,105
"Fri, Feb 4, 2022",9:00p,Brooklyn Nets,102,Utah Jazz,125
"Fri, Feb 4, 2022",10:00p,Philadelphia 76ers,98,Dallas Mavericks,107
"Fri, Feb 4, 2022",10:00p,Oklahoma City Thunder,96,Portland Trail Blazers,93
"Sat, Feb 5, 2022",5:00p,Memphis Grizzlies,135,Orlando Magic,115
"Sat, Feb 5, 2022",7:00p,Miami Heat,104,Charlotte Hornets,86
"Sat, Feb 5, 2022",7:00p,Phoenix Suns,95,Washington Wizards,80
"Sat, Feb 5, 2022",8:30p,New York Knicks,115,Los Angeles Lakers,122
"Sat, Feb 5, 2022",10:00p,Milwaukee Bucks,137,Portland Trail Blazers,108
"Sat, Feb 5, 2022",10:00p,Oklahoma City Thunder,103,Sacramento Kings,113
"Sun, Feb 6, 2022",3:30p,Philadelphia 76ers,119,Chicago Bulls,108
"Sun, Feb 6, 2022",3:30p,Brooklyn Nets,104,Denver Nuggets,124
"Sun, Feb 6, 2022",3:30p,Detroit Pistons,105,Minnesota Timberwolves,118
"Sun, Feb 6, 2022",6:00p,Indiana Pacers,85,Cleveland Cavaliers,98
"Sun, Feb 6, 2022",6:00p,Atlanta Hawks,94,Dallas Mavericks,103
"Sun, Feb 6, 2022",6:00p,Boston Celtics,116,Orlando Magic,83
"Sun, Feb 6, 2022",7:00p,New Orleans Pelicans,120,Houston Rockets,107
"Sun, Feb 6, 2022",9:00p,Milwaukee Bucks,137,Los Angeles Clippers,113
"Mon, Feb 7, 2022",7:00p,Toronto Raptors,116,Charlotte Hornets,101
"Mon, Feb 7, 2022",7:00p,Miami Heat,121,Washington Wizards,100
"Mon, Feb 7, 2022",8:00p,Phoenix Suns,127,Chicago Bulls,124
"Mon, Feb 7, 2022",8:00p,Golden State Warriors,110,Oklahoma City Thunder,98
"Mon, Feb 7, 2022",9:00p,New York Knicks,104,Utah Jazz,113
"Tue, Feb 8, 2022",7:00p,Phoenix Suns,114,Philadelphia 76ers,109
"Tue, Feb 8, 2022",7:30p,Indiana Pacers,112,Atlanta Hawks,133
"Tue, Feb 8, 2022",7:30p,Boston Celtics,126,Brooklyn Nets,91
