Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Tue, Jun 1, 2021",7:30p,Boston Celtics,109,Brooklyn Nets,123
"Tue, Jun 1, 2021",9:00p,Portland Trail Blazers,140,Denver Nuggets,147
"Tue, Jun 1, 2021",10:00p,Los Angeles Lakers,85,Phoenix Suns,115
"Wed, Jun 2, 2021",7:00p,Washington Wizards,112,Philadelphia 76ers,129
"Wed, Jun 2, 2021",7:30p,Atlanta Hawks,103,New York Knicks,89
"Wed, Jun 2, 2021",9:30p,Memphis Grizzlies,110,Utah Jazz,126
"Wed, Jun 2, 2021",10:00p,Dallas Mavericks,105,Los Angeles Clippers,100
"Thu, Jun 3, 2021",8:00p,Denver Nuggets,126,Portland Trail Blazers,115
"Thu, Jun 3, 2021",10:30p,Phoenix Suns,113,Los Angeles Lakers,100
"Fri, Jun 4, 2021",9:00p,Los Angeles Clippers,104,Dallas Mavericks,97
"Sat, Jun 5, 2021",7:30p,Milwaukee Bucks,107,Brooklyn Nets,115
"Sun, Jun 6, 2021",1:00p,Atlanta Hawks,128,Philadelphia 76ers,124
"Sun, Jun 6, 2021",3:30p,Dallas Mavericks,111,Los Angeles Clippers,126
"Mon, Jun 7, 2021",7:30p,Milwaukee Bucks,86,Brooklyn Nets,125
"Mon, Jun 7, 2021",10:00p,Denver Nuggets,105,Phoenix Suns,122
"Tue, Jun 8, 2021",7:30p,Atlanta Hawks,102,Philadelphia 76ers,118
"Tue, Jun 8, 2021",10:00p,Los Angeles Clippers,109,Utah Jazz,112
"Wed, Jun 9, 2021",9:30p,Denver Nuggets,98,Phoenix Suns,123
"Thu, Jun 10, 2021",7:30p,Brooklyn Nets,83,Milwaukee Bucks,86
"Thu, Jun 10, 2021",10:00p,Los Angeles Clippers,111,Utah Jazz,117
"Fri, Jun 11, 2021",7:30p,Philadelphia 76ers,127,Atlanta Hawks,111
"Fri, Jun 11, 2021",10:00p,Phoenix Suns,116,Denver Nuggets,102
"Sat, Jun 12, 2021",8:30p,Utah Jazz,106,Los Angeles Clippers,132
"Sun, Jun 13, 2021",3:00p,Brooklyn Nets,96,Milwaukee Bucks,107
"Sun, Jun 13, 2021",8:00p,Phoenix Suns,125,Denver Nuggets,118
"Mon, Jun 14, 2021",7:30p,Philadelphia 76ers,100,Atlanta Hawks,103
"Mon, Jun 14, 2021",10:00p,Utah Jazz,104,Los Angeles Clippers,118
"Tue, Jun 15, 2021",8:30p,Milwaukee Bucks,108,Brooklyn Nets,114
"Wed, Jun 16, 2021",7:30p,Atlanta Hawks,109,Philadelphia 76ers,106
"Wed, Jun 16, 2021",10:00p,Los Angeles Clippers,119,Utah Jazz,111
"Thu, Jun 17, 2021",8:30p,Brooklyn Nets,89,Milwaukee Bucks,104
"Fri, Jun 18, 2021",7:30p,Philadelphia 76ers,104,Atlanta Hawks,99
"Fri, Jun 18, 2021",10:00p,Utah Jazz,119,Los Angeles Clippers,131
"Sat, Jun 19, 2021",8:30p,Milwaukee Bucks,115,Brooklyn Nets,111
"Sun, Jun 20, 2021",3:30p,Los Angeles Clippers,114,Phoenix Suns,120
"Sun, Jun 20, 2021",8:00p,Atlanta Hawks,103,Philadelphia 76ers,96
"Tue, Jun 22, 2021",9:00p,Los Angeles Clippers,103,Phoenix Suns,104
"Wed, Jun 23, 2021",8:30p,Atlanta Hawks,116,Milwaukee Bucks,113
"Thu, Jun 24, 2021",9:00p,Phoenix Suns,92,Los Angeles Clippers,106
"Fri, Jun 25, 2021",8:30p,Atlanta Hawks,91,Milwaukee Bucks,125
"Sat, Jun 26, 2021",9:00p,Phoenix Suns,84,Los Angeles Clippers,80
"Sun, Jun 27, 2021",8:30p,Milwaukee Bucks,113,Atlanta Hawks,102
"Mon, Jun 28, 2021",9:00p,Los Angeles Clippers,116,Phoenix Suns,102
"Tue, Jun 29, 2021",8:30p,Milwaukee Bucks,88,Atlanta Hawks,110
"Wed, Jun 30, 2021",9:00p,Phoenix Suns,130,Los Angeles Clippers,103
