Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Mon, Nov 1, 2021",7:00p,Cleveland Cavaliers,113,Charlotte Hornets,110
"Mon, Nov 1, 2021",7:00p,San Antonio Spurs,118,Indiana Pacers,131
"Mon, Nov 1, 2021",7:00p,Portland Trail Blazers,103,Philadelphia 76ers,113
"Mon, Nov 1, 2021",7:30p,Washington Wizards,111,Atlanta Hawks,118
"Mon, Nov 1, 2021",7:30p,Chicago Bulls,128,Boston Celtics,114
"Mon, Nov 1, 2021",7:30p,Toronto Raptors,113,New York Knicks,104
"Mon, Nov 1, 2021",8:00p,Denver Nuggets,97,Memphis Grizzlies,106
"Mon, Nov 1, 2021",8:00p,Orlando Magic,115,Minnesota Timberwolves,97
"Mon, Nov 1, 2021",10:30p,Oklahoma City Thunder,94,Los Angeles Clippers,99
"Tue, Nov 2, 2021",7:00p,Milwaukee Bucks,117,Detroit Pistons,89
"Tue, Nov 2, 2021",7:30p,Miami Heat,125,Dallas Mavericks,110
"Tue, Nov 2, 2021",9:00p,Sacramento Kings,113,Utah Jazz,119
"Tue, Nov 2, 2021",10:00p,New Orleans Pelicans,100,Phoenix Suns,112
"Tue, Nov 2, 2021",10:30p,Houston Rockets,117,Los Angeles Lakers,119
"Wed, Nov 3, 2021",7:00p,Portland Trail Blazers,104,Cleveland Cavaliers,107
"Wed, Nov 3, 2021",7:00p,New York Knicks,98,Indiana Pacers,111
"Wed, Nov 3, 2021",7:00p,Boston Celtics,92,Orlando Magic,79
"Wed, Nov 3, 2021",7:00p,Chicago Bulls,98,Philadelphia 76ers,103
"Wed, Nov 3, 2021",7:00p,Toronto Raptors,109,Washington Wizards,100
"Wed, Nov 3, 2021",7:30p,Atlanta Hawks,108,Brooklyn Nets,117
"Wed, Nov 3, 2021",8:00p,Denver Nuggets,106,Memphis Grizzlies,108
"Wed, Nov 3, 2021",8:00p,Los Angeles Clippers,126,Minnesota Timberwolves,115
"Wed, Nov 3, 2021",8:30p,Dallas Mavericks,109,San Antonio Spurs,108
"Wed, Nov 3, 2021",10:00p,Charlotte Hornets,92,Golden State Warriors,114
"Wed, Nov 3, 2021",10:00p,New Orleans Pelicans,99,Sacramento Kings,112
"Thu, Nov 4, 2021",7:00p,Philadelphia 76ers,109,Detroit Pistons,98
"Thu, Nov 4, 2021",7:30p,Utah Jazz,116,Atlanta Hawks,98
"Thu, Nov 4, 2021",7:30p,Boston Celtics,95,Miami Heat,78
"Thu, Nov 4, 2021",10:00p,Houston Rockets,111,Phoenix Suns,123
"Thu, Nov 4, 2021",10:30p,Oklahoma City Thunder,107,Los Angeles Lakers,104
"Fri, Nov 5, 2021",7:00p,Brooklyn Nets,96,Detroit Pistons,90
"Fri, Nov 5, 2021",7:00p,San Antonio Spurs,102,Orlando Magic,89
"Fri, Nov 5, 2021",7:00p,Memphis Grizzlies,87,Washington Wizards,115
"Fri, Nov 5, 2021",7:30p,New York Knicks,113,Milwaukee Bucks,98
"Fri, Nov 5, 2021",7:30p,Cleveland Cavaliers,102,Toronto Raptors,101
"Fri, Nov 5, 2021",8:00p,Los Angeles Clippers,104,Minnesota Timberwolves,84
"Fri, Nov 5, 2021",10:00p,New Orleans Pelicans,85,Golden State Warriors,126
"Fri, Nov 5, 2021",10:00p,Indiana Pacers,106,Portland Trail Blazers,110
"Fri, Nov 5, 2021",10:00p,Charlotte Hornets,110,Sacramento Kings,140
"Sat, Nov 6, 2021",5:00p,Houston Rockets,94,Denver Nuggets,95
"Sat, Nov 6, 2021",7:30p,Utah Jazz,115,Miami Heat,118
"Sat, Nov 6, 2021",8:00p,Philadelphia 76ers,114,Chicago Bulls,105
"Sat, Nov 6, 2021",8:30p,Boston Celtics,104,Dallas Mavericks,107
"Sat, Nov 6, 2021",10:00p,Atlanta Hawks,117,Phoenix Suns,121
"Sat, Nov 6, 2021",10:30p,Los Angeles Lakers,90,Portland Trail Blazers,105
"Sun, Nov 7, 2021",3:30p,Brooklyn Nets,116,Toronto Raptors,103
"Sun, Nov 7, 2021",6:00p,Cleveland Cavaliers,126,New York Knicks,109
"Sun, Nov 7, 2021",6:00p,Utah Jazz,100,Orlando Magic,107
"Sun, Nov 7, 2021",6:00p,Indiana Pacers,94,Sacramento Kings,91
"Sun, Nov 7, 2021",6:00p,Milwaukee Bucks,94,Washington Wizards,101
"Sun, Nov 7, 2021",7:00p,San Antonio Spurs,94,Oklahoma City Thunder,99
"Sun, Nov 7, 2021",8:30p,Houston Rockets,107,Golden State Warriors,120
"Sun, Nov 7, 2021",9:00p,Charlotte Hornets,106,Los Angeles Clippers,120
"Mon, Nov 8, 2021",7:00p,New York Knicks,103,Philadelphia 76ers,96
"Mon, Nov 8, 2021",8:00p,Brooklyn Nets,95,Chicago Bulls,118
"Mon, Nov 8, 2021",8:00p,Minnesota Timberwolves,118,Memphis Grizzlies,125
"Mon, Nov 8, 2021",8:30p,New Orleans Pelicans,92,Dallas Mavericks,108
"Mon, Nov 8, 2021",9:00p,Miami Heat,96,Denver Nuggets,113
"Mon, Nov 8, 2021",10:00p,Atlanta Hawks,113,Golden State Warriors,127
"Mon, Nov 8, 2021",10:00p,Phoenix Suns,109,Sacramento Kings,104
"Mon, Nov 8, 2021",10:30p,Charlotte Hornets,123,Los Angeles Lakers,126
"Tue, Nov 9, 2021",7:30p,Milwaukee Bucks,118,Philadelphia 76ers,109
"Tue, Nov 9, 2021",9:00p,Atlanta Hawks,98,Utah Jazz,110
"Tue, Nov 9, 2021",10:00p,Portland Trail Blazers,109,Los Angeles Clippers,117
"Wed, Nov 10, 2021",7:00p,Washington Wizards,97,Cleveland Cavaliers,94
"Wed, Nov 10, 2021",7:00p,Brooklyn Nets,123,Orlando Magic,90
"Wed, Nov 10, 2021",7:30p,Toronto Raptors,88,Boston Celtics,104
"Wed, Nov 10, 2021",7:30p,Detroit Pistons,112,Houston Rockets,104
"Wed, Nov 10, 2021",7:30p,Milwaukee Bucks,112,New York Knicks,100
"Wed, Nov 10, 2021",8:00p,Dallas Mavericks,107,Chicago Bulls,117
"Wed, Nov 10, 2021",8:00p,Charlotte Hornets,118,Memphis Grizzlies,108
"Wed, Nov 10, 2021",8:00p,Oklahoma City Thunder,108,New Orleans Pelicans,100
"Wed, Nov 10, 2021",8:30p,Sacramento Kings,117,San Antonio Spurs,136
"Wed, Nov 10, 2021",9:00p,Indiana Pacers,98,Denver Nuggets,101
"Wed, Nov 10, 2021",9:00p,Portland Trail Blazers,109,Phoenix Suns,119
"Wed, Nov 10, 2021",10:00p,Minnesota Timberwolves,110,Golden State Warriors,123
"Wed, Nov 10, 2021",10:00p,Miami Heat,117,Los Angeles Lakers,120
"Thu, Nov 11, 2021",7:00p,Toronto Raptors,115,Philadelphia 76ers,109
"Thu, Nov 11, 2021",9:00p,Indiana Pacers,111,Utah Jazz,100
"Thu, Nov 11, 2021",10:30p,Miami Heat,109,Los Angeles Clippers,112
"Fri, Nov 12, 2021",7:00p,New York Knicks,96,Charlotte Hornets,104
