Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints,Arena
"Thu, Dec 1, 2022",7:00p,Dallas Mavericks,125.0,Detroit Pistons,131.0,Little Caesars Arena
"Fri, Dec 2, 2022",7:00p,Washington Wizards,116.0,Charlotte Hornets,117.0,Spectrum Center
"Fri, Dec 2, 2022",7:30p,Denver Nuggets,109.0,Atlanta Hawks,117.0,State Farm Arena
"Fri, Dec 2, 2022",7:30p,Miami Heat,120.0,Boston Celtics,116.0,TD Garden
"Fri, Dec 2, 2022",7:30p,Toronto Raptors,105.0,Brooklyn Nets,114.0,Barclays Center
"Fri, Dec 2, 2022",7:30p,Orlando Magic,96.0,Cleveland Cavaliers,107.0,Rocket Mortgage Fieldhouse
"Fri, Dec 2, 2022",7:30p,Los Angeles Lakers,133.0,Milwaukee Bucks,129.0,Fiserv Forum
"Fri, Dec 2, 2022",8:00p,Philadelphia 76ers,109.0,Memphis Grizzlies,117.0,FedEx Forum
"Fri, Dec 2, 2022",8:00p,New Orleans Pelicans,117.0,San Antonio Spurs,99.0,AT&T Center
"Fri, Dec 2, 2022",9:00p,Houston Rockets,122.0,Phoenix Suns,121.0,Footprint Center
"Fri, Dec 2, 2022",9:00p,Indiana Pacers,119.0,Utah Jazz,139.0,Vivint Arena
"Fri, Dec 2, 2022",10:00p,Chicago Bulls,111.0,Golden State Warriors,119.0,Chase Center
