Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Sun, Jan 1, 2023",8:00p,Boston Celtics,111,Denver Nuggets,123
"Sun, Jan 1, 2023",8:00p,Sacramento Kings,108,Memphis Grizzlies,118
"Sun, Jan 1, 2023",8:00p,Washington Wizards,118,Milwaukee Bucks,95
"Mon, Jan 2, 2023",3:00p,Phoenix Suns,83,New York Knicks,102
"Mon, Jan 2, 2023",7:00p,Los Angeles Lakers,121,Charlotte Hornets,115
"Mon, Jan 2, 2023",7:00p,Chicago Bulls,134,Cleveland Cavaliers,145
"Mon, Jan 2, 2023",7:00p,Toronto Raptors,114,Indiana Pacers,122
"Mon, Jan 2, 2023",7:00p,New Orleans Pelicans,111,Philadelphia 76ers,120
"Mon, Jan 2, 2023",7:30p,San Antonio Spurs,103,Brooklyn Nets,139
"Mon, Jan 2, 2023",8:00p,Dallas Mavericks,111,Houston Rockets,106
"Mon, Jan 2, 2023",8:00p,Denver Nuggets,111,Minnesota Timberwolves,124
"Mon, Jan 2, 2023",10:00p,Atlanta Hawks,141,Golden State Warriors,143
"Mon, Jan 2, 2023",10:00p,Detroit Pistons,106,Portland Trail Blazers,135
"Mon, Jan 2, 2023",10:30p,Miami Heat,110,Los Angeles Clippers,100
"Tue, Jan 3, 2023",8:00p,Washington Wizards,113,Milwaukee Bucks,123
"Tue, Jan 3, 2023",8:00p,Boston Celtics,117,Oklahoma City Thunder,150
"Tue, Jan 3, 2023",9:00p,Sacramento Kings,117,Utah Jazz,115
"Wed, Jan 4, 2023",7:00p,Memphis Grizzlies,131,Charlotte Hornets,107
"Wed, Jan 4, 2023",7:00p,Phoenix Suns,88,Cleveland Cavaliers,90
"Wed, Jan 4, 2023",7:00p,Oklahoma City Thunder,115,Orlando Magic,126
"Wed, Jan 4, 2023",7:00p,Indiana Pacers,126,Philadelphia 76ers,129
"Wed, Jan 4, 2023",7:30p,San Antonio Spurs,114,New York Knicks,117
"Wed, Jan 4, 2023",7:30p,Milwaukee Bucks,104,Toronto Raptors,101
"Wed, Jan 4, 2023",8:00p,Brooklyn Nets,112,Chicago Bulls,121
"Wed, Jan 4, 2023",8:00p,Portland Trail Blazers,106,Minnesota Timberwolves,113
"Wed, Jan 4, 2023",8:00p,Houston Rockets,108,New Orleans Pelicans,119
"Wed, Jan 4, 2023",10:00p,Detroit Pistons,122,Golden State Warriors,119
"Wed, Jan 4, 2023",10:00p,Miami Heat,109,Los Angeles Lakers,112
"Wed, Jan 4, 2023",10:00p,Atlanta Hawks,120,Sacramento Kings,117
"Thu, Jan 5, 2023",7:00p,Memphis Grizzlies,123,Orlando Magic,115
"Thu, Jan 5, 2023",7:30p,Boston Celtics,124,Dallas Mavericks,95
"Thu, Jan 5, 2023",8:00p,Utah Jazz,131,Houston Rockets,114
"Thu, Jan 5, 2023",10:00p,Los Angeles Clippers,91,Denver Nuggets,122
"Fri, Jan 6, 2023",7:00p,Portland Trail Blazers,99,Indiana Pacers,108
"Fri, Jan 6, 2023",7:00p,Chicago Bulls,126,Philadelphia 76ers,112
"Fri, Jan 6, 2023",7:30p,Brooklyn Nets,108,New Orleans Pelicans,102
"Fri, Jan 6, 2023",7:30p,New York Knicks,112,Toronto Raptors,108
"Fri, Jan 6, 2023",8:00p,Charlotte Hornets,138,Milwaukee Bucks,109
"Fri, Jan 6, 2023",8:00p,Washington Wizards,110,Oklahoma City Thunder,127
"Fri, Jan 6, 2023",8:00p,Detroit Pistons,109,San Antonio Spurs,121
"Fri, Jan 6, 2023",9:00p,Cleveland Cavaliers,108,Denver Nuggets,121
"Fri, Jan 6, 2023",9:00p,Los Angeles Clippers,115,Minnesota Timberwolves,128
"Fri, Jan 6, 2023",10:00p,Miami Heat,104,Phoenix Suns,96
"Fri, Jan 6, 2023",10:30p,Atlanta Hawks,114,Los Angeles Lakers,130
"Sat, Jan 7, 2023",6:00p,Boston Celtics,121,San Antonio Spurs,116
"Sat, Jan 7, 2023",8:00p,Utah Jazz,118,Chicago Bulls,126
"Sat, Jan 7, 2023",8:00p,New Orleans Pelicans,117,Dallas Mavericks,127
"Sat, Jan 7, 2023",8:30p,Orlando Magic,115,Golden State Warriors,101
"Sat, Jan 7, 2023",10:00p,Los Angeles Lakers,136,Sacramento Kings,134
"Sun, Jan 8, 2023",3:00p,Philadelphia 76ers,123,Detroit Pistons,111
"Sun, Jan 8, 2023",3:30p,Portland Trail Blazers,105,Toronto Raptors,117
"Sun, Jan 8, 2023",5:00p,Charlotte Hornets,111,Indiana Pacers,116
"Sun, Jan 8, 2023",6:00p,Utah Jazz,118,Memphis Grizzlies,123
"Sun, Jan 8, 2023",6:00p,Brooklyn Nets,102,Miami Heat,101
"Sun, Jan 8, 2023",7:00p,Minnesota Timberwolves,104,Houston Rockets,96
"Sun, Jan 8, 2023",7:00p,Dallas Mavericks,109,Oklahoma City Thunder,120
"Sun, Jan 8, 2023",8:00p,Cleveland Cavaliers,112,Phoenix Suns,98
"Sun, Jan 8, 2023",9:00p,Atlanta Hawks,112,Los Angeles Clippers,108
"Mon, Jan 9, 2023",7:00p,New Orleans Pelicans,132,Washington Wizards,112
"Mon, Jan 9, 2023",7:30p,Chicago Bulls,99,Boston Celtics,107
"Mon, Jan 9, 2023",7:30p,Milwaukee Bucks,111,New York Knicks,107
"Mon, Jan 9, 2023",8:00p,San Antonio Spurs,113,Memphis Grizzlies,121
"Mon, Jan 9, 2023",9:00p,Los Angeles Lakers,109,Denver Nuggets,122
"Mon, Jan 9, 2023",10:00p,Orlando Magic,111,Sacramento Kings,136
"Tue, Jan 10, 2023",7:00p,Detroit Pistons,116,Philadelphia 76ers,147
"Tue, Jan 10, 2023",7:30p,Oklahoma City Thunder,111,Miami Heat,112
"Tue, Jan 10, 2023",7:30p,Charlotte Hornets,120,Toronto Raptors,132
"Tue, Jan 10, 2023",9:00p,Cleveland Cavaliers,114,Utah Jazz,116
"Tue, Jan 10, 2023",10:00p,Phoenix Suns,125,Golden State Warriors,113
"Tue, Jan 10, 2023",10:00p,Orlando Magic,109,Portland Trail Blazers,106
"Tue, Jan 10, 2023",10:30p,Dallas Mavericks,101,Los Angeles Clippers,113
"Wed, Jan 11, 2023",7:00p,Minnesota Timberwolves,118,Detroit Pistons,135
"Wed, Jan 11, 2023",7:00p,Chicago Bulls,97,Washington Wizards,100
"Wed, Jan 11, 2023",7:30p,Milwaukee Bucks,114,Atlanta Hawks,105
"Wed, Jan 11, 2023",7:30p,New Orleans Pelicans,114,Boston Celtics,125
"Wed, Jan 11, 2023",7:30p,Indiana Pacers,113,New York Knicks,119
"Wed, Jan 11, 2023",8:00p,San Antonio Spurs,129,Memphis Grizzlies,135
"Wed, Jan 11, 2023",10:00p,Phoenix Suns,97,Denver Nuggets,126
"Wed, Jan 11, 2023",10:00p,Houston Rockets,115,Sacramento Kings,135
"Thu, Jan 12, 2023",7:00p,Oklahoma City Thunder,133,Philadelphia 76ers,114
"Thu, Jan 12, 2023",7:30p,Boston Celtics,109,Brooklyn Nets,98
"Thu, Jan 12, 2023",7:30p,Milwaukee Bucks,102,Miami Heat,108
"Thu, Jan 12, 2023",7:30p,Charlotte Hornets,114,Toronto Raptors,124
"Thu, Jan 12, 2023",10:00p,Dallas Mavericks,119,Los Angeles Lakers,115
"Thu, Jan 12, 2023",10:00p,Cleveland Cavaliers,119,Portland Trail Blazers,113
"Fri, Jan 13, 2023",7:00p,New Orleans Pelicans,116,Detroit Pistons,110
"Fri, Jan 13, 2023",7:00p,Atlanta Hawks,113,Indiana Pacers,111
"Fri, Jan 13, 2023",7:00p,New York Knicks,112,Washington Wizards,108
"Fri, Jan 13, 2023",7:30p,Golden State Warriors,144,San Antonio Spurs,113
"Fri, Jan 13, 2023",8:00p,Oklahoma City Thunder,124,Chicago Bulls,110
"Fri, Jan 13, 2023",8:00p,Phoenix Suns,116,Minnesota Timberwolves,121
"Fri, Jan 13, 2023",9:00p,Orlando Magic,108,Utah Jazz,112
"Fri, Jan 13, 2023",10:00p,Denver Nuggets,115,Los Angeles Clippers,103
"Fri, Jan 13, 2023",10:00p,Houston Rockets,114,Sacramento Kings,139
"Sat, Jan 14, 2023",1:00p,Milwaukee Bucks,95,Miami Heat,111
"Sat, Jan 14, 2023",7:00p,Boston Celtics,122,Charlotte Hornets,106
"Sat, Jan 14, 2023",7:00p,Memphis Grizzlies,130,Indiana Pacers,112
"Sat, Jan 14, 2023",7:30p,Atlanta Hawks,114,Toronto Raptors,103
"Sat, Jan 14, 2023",8:00p,Cleveland Cavaliers,102,Minnesota Timberwolves,110
"Sat, Jan 14, 2023",9:00p,Philadelphia 76ers,118,Utah Jazz,117
"Sat, Jan 14, 2023",10:00p,Dallas Mavericks,119,Portland Trail Blazers,136
"Sun, Jan 15, 2023",1:00p,New York Knicks,117,Detroit Pistons,104
"Sun, Jan 15, 2023",3:00p,Houston Rockets,100,Los Angeles Clippers,121
"Sun, Jan 15, 2023",3:30p,Golden State Warriors,118,Chicago Bulls,132
"Sun, Jan 15, 2023",6:00p,Oklahoma City Thunder,112,Brooklyn Nets,102
"Sun, Jan 15, 2023",7:00p,Sacramento Kings,132,San Antonio Spurs,119
"Sun, Jan 15, 2023",8:00p,Orlando Magic,116,Denver Nuggets,119
"Sun, Jan 15, 2023",9:00p,Dallas Mavericks,123,Portland Trail Blazers,140
"Sun, Jan 15, 2023",9:30p,Philadelphia 76ers,113,Los Angeles Lakers,112
"Mon, Jan 16, 2023",1:00p,Boston Celtics,130,Charlotte Hornets,118
"Mon, Jan 16, 2023",2:30p,Indiana Pacers,119,Milwaukee Bucks,132
"Mon, Jan 16, 2023",3:00p,New Orleans Pelicans,103,Cleveland Cavaliers,113
"Mon, Jan 16, 2023",3:00p,Toronto Raptors,123,New York Knicks,121
"Mon, Jan 16, 2023",3:00p,Golden State Warriors,127,Washington Wizards,118
"Mon, Jan 16, 2023",3:30p,Miami Heat,113,Atlanta Hawks,121
"Mon, Jan 16, 2023",4:00p,Utah Jazz,126,Minnesota Timberwolves,125
"Mon, Jan 16, 2023",6:00p,Phoenix Suns,106,Memphis Grizzlies,136
"Mon, Jan 16, 2023",10:30p,Houston Rockets,132,Los Angeles Lakers,140
"Tue, Jan 17, 2023",7:30p,Toronto Raptors,122,Milwaukee Bucks,130
"Tue, Jan 17, 2023",8:00p,Brooklyn Nets,98,San Antonio Spurs,106
"Tue, Jan 17, 2023",9:00p,Portland Trail Blazers,113,Denver Nuggets,122
"Tue, Jan 17, 2023",10:00p,Philadelphia 76ers,120,Los Angeles Clippers,110
