Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Wed, Mar 1, 2023",7:00p,Phoenix Suns,105,Charlotte Hornets,91
"Wed, Mar 1, 2023",7:00p,Chicago Bulls,117,Detroit Pistons,115
"Wed, Mar 1, 2023",7:30p,Cleveland Cavaliers,113,Boston Celtics,117
"Wed, Mar 1, 2023",7:30p,Philadelphia 76ers,119,Miami Heat,96
"Wed, Mar 1, 2023",7:30p,Brooklyn Nets,118,New York Knicks,142
"Wed, Mar 1, 2023",8:00p,Memphis Grizzlies,113,Houston Rockets,99
"Wed, Mar 1, 2023",8:00p,Orlando Magic,117,Milwaukee Bucks,139
"Wed, Mar 1, 2023",8:00p,Los Angeles Lakers,123,Oklahoma City Thunder,117
"Wed, Mar 1, 2023",10:00p,New Orleans Pelicans,121,Portland Trail Blazers,110
"Thu, Mar 2, 2023",7:00p,Toronto Raptors,108,Washington Wizards,119
"Thu, Mar 2, 2023",7:30p,Philadelphia 76ers,126,Dallas Mavericks,133
"Thu, Mar 2, 2023",8:30p,Indiana Pacers,99,San Antonio Spurs,110
"Thu, Mar 2, 2023",10:00p,Los Angeles Clippers,91,Golden State Warriors,115
"Fri, Mar 3, 2023",7:00p,Orlando Magic,117,Charlotte Hornets,106
"Fri, Mar 3, 2023",7:30p,Portland Trail Blazers,111,Atlanta Hawks,129
"Fri, Mar 3, 2023",7:30p,Brooklyn Nets,115,Boston Celtics,105
"Fri, Mar 3, 2023",8:00p,Phoenix Suns,125,Chicago Bulls,104
"Fri, Mar 3, 2023",8:00p,New York Knicks,122,Miami Heat,120
"Fri, Mar 3, 2023",8:00p,Utah Jazz,103,Oklahoma City Thunder,130
"Fri, Mar 3, 2023",10:00p,Memphis Grizzlies,97,Denver Nuggets,113
"Fri, Mar 3, 2023",10:00p,New Orleans Pelicans,99,Golden State Warriors,108
"Fri, Mar 3, 2023",10:00p,Los Angeles Clippers,127,Sacramento Kings,128
"Fri, Mar 3, 2023",10:30p,Minnesota Timberwolves,110,Los Angeles Lakers,102
"Sat, Mar 4, 2023",5:00p,Toronto Raptors,116,Washington Wizards,109
"Sat, Mar 4, 2023",7:30p,Detroit Pistons,90,Cleveland Cavaliers,114
"Sat, Mar 4, 2023",8:00p,Atlanta Hawks,109,Miami Heat,117
"Sat, Mar 4, 2023",8:00p,Houston Rockets,122,San Antonio Spurs,110
"Sat, Mar 4, 2023",8:30p,Philadelphia 76ers,133,Milwaukee Bucks,130
"Sat, Mar 4, 2023",10:00p,Minnesota Timberwolves,138,Sacramento Kings,134
"Sun, Mar 5, 2023",1:00p,Phoenix Suns,130,Dallas Mavericks,126
"Sun, Mar 5, 2023",3:30p,Indiana Pacers,125,Chicago Bulls,122
"Sun, Mar 5, 2023",3:30p,Golden State Warriors,105,Los Angeles Lakers,113
"Sun, Mar 5, 2023",6:00p,Charlotte Hornets,86,Brooklyn Nets,102
"Sun, Mar 5, 2023",6:00p,Portland Trail Blazers,122,Orlando Magic,119
"Sun, Mar 5, 2023",7:00p,San Antonio Spurs,110,Houston Rockets,142
"Sun, Mar 5, 2023",7:00p,Utah Jazz,119,Oklahoma City Thunder,129
"Sun, Mar 5, 2023",7:30p,New York Knicks,131,Boston Celtics,129
"Sun, Mar 5, 2023",7:30p,Milwaukee Bucks,117,Washington Wizards,111
"Sun, Mar 5, 2023",10:00p,Memphis Grizzlies,129,Los Angeles Clippers,135
"Mon, Mar 6, 2023",7:00p,Boston Celtics,114,Cleveland Cavaliers,118
"Mon, Mar 6, 2023",7:00p,Portland Trail Blazers,110,Detroit Pistons,104
"Mon, Mar 6, 2023",7:00p,Philadelphia 76ers,147,Indiana Pacers,143
"Mon, Mar 6, 2023",7:30p,Atlanta Hawks,128,Miami Heat,130
"Mon, Mar 6, 2023",9:00p,Toronto Raptors,113,Denver Nuggets,118
"Mon, Mar 6, 2023",10:00p,New Orleans Pelicans,108,Sacramento Kings,123
"Tue, Mar 7, 2023",7:00p,Washington Wizards,119,Detroit Pistons,117
"Tue, Mar 7, 2023",7:00p,Milwaukee Bucks,134,Orlando Magic,123
"Tue, Mar 7, 2023",7:30p,Philadelphia 76ers,117,Minnesota Timberwolves,94
"Tue, Mar 7, 2023",7:30p,Charlotte Hornets,112,New York Knicks,105
"Tue, Mar 7, 2023",8:00p,Brooklyn Nets,118,Houston Rockets,96
"Tue, Mar 7, 2023",8:00p,Golden State Warriors,128,Oklahoma City Thunder,137
"Tue, Mar 7, 2023",8:30p,Utah Jazz,116,Dallas Mavericks,120
"Tue, Mar 7, 2023",10:00p,Memphis Grizzlies,103,Los Angeles Lakers,112
"Wed, Mar 8, 2023",7:00p,Atlanta Hawks,122,Washington Wizards,120
"Wed, Mar 8, 2023",7:30p,Portland Trail Blazers,93,Boston Celtics,115
"Wed, Mar 8, 2023",7:30p,Cleveland Cavaliers,104,Miami Heat,100
"Wed, Mar 8, 2023",7:30p,Dallas Mavericks,106,New Orleans Pelicans,113
"Wed, Mar 8, 2023",9:00p,Chicago Bulls,117,Denver Nuggets,96
"Wed, Mar 8, 2023",9:00p,Oklahoma City Thunder,101,Phoenix Suns,132
"Wed, Mar 8, 2023",10:00p,Toronto Raptors,100,Los Angeles Clippers,108
"Thu, Mar 9, 2023",7:00p,Charlotte Hornets,113,Detroit Pistons,103
"Thu, Mar 9, 2023",7:00p,Houston Rockets,125,Indiana Pacers,134
"Thu, Mar 9, 2023",7:00p,Utah Jazz,131,Orlando Magic,124
"Thu, Mar 9, 2023",7:30p,Golden State Warriors,110,Memphis Grizzlies,131
"Thu, Mar 9, 2023",8:00p,Brooklyn Nets,113,Milwaukee Bucks,118
"Thu, Mar 9, 2023",10:00p,New York Knicks,117,Sacramento Kings,122
"Fri, Mar 10, 2023",7:00p,Portland Trail Blazers,119,Philadelphia 76ers,120
"Fri, Mar 10, 2023",7:00p,Atlanta Hawks,114,Washington Wizards,107
"Fri, Mar 10, 2023",8:00p,Cleveland Cavaliers,115,Miami Heat,119
"Fri, Mar 10, 2023",8:00p,Brooklyn Nets,124,Minnesota Timberwolves,123
"Fri, Mar 10, 2023",8:00p,Denver Nuggets,120,San Antonio Spurs,128
"Fri, Mar 10, 2023",10:30p,Toronto Raptors,112,Los Angeles Lakers,122
"Sat, Mar 11, 2023",4:00p,New York Knicks,95,Los Angeles Clippers,106
"Sat, Mar 11, 2023",7:00p,Utah Jazz,119,Charlotte Hornets,111
"Sat, Mar 11, 2023",7:00p,Indiana Pacers,121,Detroit Pistons,115
"Sat, Mar 11, 2023",7:00p,Miami Heat,114,Orlando Magic,126
"Sat, Mar 11, 2023",7:30p,Boston Celtics,134,Atlanta Hawks,125
"Sat, Mar 11, 2023",8:00p,Chicago Bulls,119,Houston Rockets,111
"Sat, Mar 11, 2023",8:00p,Dallas Mavericks,108,Memphis Grizzlies,112
"Sat, Mar 11, 2023",8:30p,Milwaukee Bucks,116,Golden State Warriors,125
"Sat, Mar 11, 2023",8:30p,Oklahoma City Thunder,110,New Orleans Pelicans,96
"Sat, Mar 11, 2023",9:00p,Sacramento Kings,128,Phoenix Suns,119
