Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Mon, May 1, 2023",7:30p,Philadelphia 76ers,119,Boston Celtics,115
"Mon, May 1, 2023",10:00p,Phoenix Suns,87,Denver Nuggets,97
"Tue, May 2, 2023",7:30p,Miami Heat,105,New York Knicks,111
"Tue, May 2, 2023",10:00p,Los Angeles Lakers,117,Golden State Warriors,112
"Wed, May 3, 2023",8:00p,Philadelphia 76ers,87,Boston Celtics,121
"Thu, May 4, 2023",9:00p,Los Angeles Lakers,100,Golden State Warriors,127
"Fri, May 5, 2023",7:30p,Boston Celtics,114,Philadelphia 76ers,102
"Fri, May 5, 2023",10:00p,Denver Nuggets,114,Phoenix Suns,121
"Sat, May 6, 2023",3:30p,New York Knicks,86,Miami Heat,105
"Sat, May 6, 2023",8:30p,Golden State Warriors,97,Los Angeles Lakers,127
"Sun, May 7, 2023",3:30p,Boston Celtics,115,Philadelphia 76ers,116
"Sun, May 7, 2023",8:00p,Denver Nuggets,124,Phoenix Suns,129
"Mon, May 8, 2023",7:30p,New York Knicks,101,Miami Heat,109
"Mon, May 8, 2023",10:00p,Golden State Warriors,101,Los Angeles Lakers,104
"Tue, May 9, 2023",7:30p,Philadelphia 76ers,115,Boston Celtics,103
"Tue, May 9, 2023",10:00p,Phoenix Suns,102,Denver Nuggets,118
"Wed, May 10, 2023",7:30p,Miami Heat,103,New York Knicks,112
"Wed, May 10, 2023",10:00p,Los Angeles Lakers,106,Golden State Warriors,121
"Thu, May 11, 2023",7:30p,Boston Celtics,95,Philadelphia 76ers,86
"Thu, May 11, 2023",10:00p,Denver Nuggets,125,Phoenix Suns,100
"Fri, May 12, 2023",7:30p,New York Knicks,92,Miami Heat,96
"Fri, May 12, 2023",10:00p,Golden State Warriors,101,Los Angeles Lakers,122
"Sun, May 14, 2023",3:30p,Philadelphia 76ers,88,Boston Celtics,112
"Tue, May 16, 2023",8:30p,Los Angeles Lakers,126,Denver Nuggets,132
"Wed, May 17, 2023",8:30p,Miami Heat,123,Boston Celtics,116
"Thu, May 18, 2023",8:30p,Los Angeles Lakers,103,Denver Nuggets,108
"Fri, May 19, 2023",8:30p,Miami Heat,111,Boston Celtics,105
"Sat, May 20, 2023",8:30p,Denver Nuggets,119,Los Angeles Lakers,108
"Sun, May 21, 2023",8:30p,Boston Celtics,102,Miami Heat,128
"Mon, May 22, 2023",8:30p,Denver Nuggets,113,Los Angeles Lakers,111
"Tue, May 23, 2023",8:30p,Boston Celtics,116,Miami Heat,99
"Thu, May 25, 2023",8:30p,Miami Heat,97,Boston Celtics,110
"Sat, May 27, 2023",8:30p,Boston Celtics,104,Miami Heat,103
"Mon, May 29, 2023",8:30p,Miami Heat,103,Boston Celtics,84
