Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints,Arena
"Tue, Oct 18, 2022",7:30p,Philadelphia 76ers,117,Boston Celtics,126,TD Garden
"Tue, Oct 18, 2022",10:00p,Los Angeles Lakers,109,Golden State Warriors,123,Chase Center
"Wed, Oct 19, 2022",7:00p,Orlando Magic,109,Detroit Pistons,113,Little Caesars Arena
"Wed, Oct 19, 2022",7:00p,Washington Wizards,114,Indiana Pacers,107,Gainbridge Fieldhouse
"Wed, Oct 19, 2022",7:30p,Houston Rockets,107,Atlanta Hawks,117,State Farm Arena
"Wed, Oct 19, 2022",7:30p,New Orleans Pelicans,130,Brooklyn Nets,108,Barclays Center
"Wed, Oct 19, 2022",7:30p,New York Knicks,112,Memphis Grizzlies,115,FedEx Forum
"Wed, Oct 19, 2022",7:30p,Chicago Bulls,116,Miami Heat,108,FTX Arena
"Wed, Oct 19, 2022",7:30p,Cleveland Cavaliers,105,Toronto Raptors,108,Scotiabank Arena
"Wed, Oct 19, 2022",8:00p,Oklahoma City Thunder,108,Minnesota Timberwolves,115,Target Center
"Wed, Oct 19, 2022",8:00p,Charlotte Hornets,129,San Antonio Spurs,102,AT&T Center
"Wed, Oct 19, 2022",9:00p,Denver Nuggets,102,Utah Jazz,123,Vivint Arena
"Wed, Oct 19, 2022",10:00p,Dallas Mavericks,105,Phoenix Suns,107,Footprint Center
"Wed, Oct 19, 2022",10:00p,Portland Trail Blazers,115,Sacramento Kings,108,Golden 1 Center
"Thu, Oct 20, 2022",7:30p,Milwaukee Bucks,90,Philadelphia 76ers,88,Wells Fargo Center
"Thu, Oct 20, 2022",10:00p,Los Angeles Clippers,103,Los Angeles Lakers,97,Crypto.com Arena
"Fri, Oct 21, 2022",7:00p,New Orleans Pelicans,124,Charlotte Hornets,112,Spectrum Center
"Fri, Oct 21, 2022",7:00p,San Antonio Spurs,137,Indiana Pacers,134,Gainbridge Fieldhouse
"Fri, Oct 21, 2022",7:00p,Chicago Bulls,100,Washington Wizards,102,Capital One Arena
"Fri, Oct 21, 2022",7:30p,Orlando Magic,98,Atlanta Hawks,108,State Farm Arena
"Fri, Oct 21, 2022",7:30p,Toronto Raptors,105,Brooklyn Nets,109,Barclays Center
"Fri, Oct 21, 2022",7:30p,Boston Celtics,111,Miami Heat,104,FTX Arena
"Fri, Oct 21, 2022",7:30p,Detroit Pistons,106,New York Knicks,130,Madison Square Garden (IV)
"Fri, Oct 21, 2022",8:00p,Memphis Grizzlies,129,Houston Rockets,122,Toyota Center
"Fri, Oct 21, 2022",8:00p,Utah Jazz,132,Minnesota Timberwolves,126,Target Center
"Fri, Oct 21, 2022",10:00p,Denver Nuggets,128,Golden State Warriors,123,Chase Center
"Fri, Oct 21, 2022",10:00p,Phoenix Suns,111,Portland Trail Blazers,113,Moda Center
"Sat, Oct 22, 2022",6:00p,San Antonio Spurs,114,Philadelphia 76ers,105,Wells Fargo Center
"Sat, Oct 22, 2022",7:00p,Detroit Pistons,115,Indiana Pacers,124,Gainbridge Fieldhouse
"Sat, Oct 22, 2022",7:00p,Boston Celtics,126,Orlando Magic,120,Amway Center
"Sat, Oct 22, 2022",8:00p,Cleveland Cavaliers,128,Chicago Bulls,96,United Center
"Sat, Oct 22, 2022",8:00p,Toronto Raptors,109,Miami Heat,112,FTX Arena
"Sat, Oct 22, 2022",8:00p,Houston Rockets,105,Milwaukee Bucks,125,Fiserv Forum
"Sat, Oct 22, 2022",8:30p,Memphis Grizzlies,96,Dallas Mavericks,137,American Airlines Center
"Sat, Oct 22, 2022",9:00p,Oklahoma City Thunder,117,Denver Nuggets,122,Ball Arena
"Sat, Oct 22, 2022",10:00p,Los Angeles Clippers,111,Sacramento Kings,109,Golden 1 Center
"Sun, Oct 23, 2022",3:30p,Portland Trail Blazers,106,Los Angeles Lakers,104,Crypto.com Arena
"Sun, Oct 23, 2022",5:00p,Charlotte Hornets,126,Atlanta Hawks,109,State Farm Arena
"Sun, Oct 23, 2022",7:00p,Washington Wizards,107,Cleveland Cavaliers,117,Rocket Mortgage Fieldhouse
"Sun, Oct 23, 2022",7:00p,Utah Jazz,122,New Orleans Pelicans,121,Smoothie King Center
"Sun, Oct 23, 2022",8:00p,Minnesota Timberwolves,116,Oklahoma City Thunder,106,Paycom Center
"Sun, Oct 23, 2022",8:30p,Sacramento Kings,125,Golden State Warriors,130,Chase Center
"Sun, Oct 23, 2022",10:00p,Phoenix Suns,112,Los Angeles Clippers,95,Crypto.com Arena
"Mon, Oct 24, 2022",7:00p,Indiana Pacers,106,Philadelphia 76ers,120,Wells Fargo Center
"Mon, Oct 24, 2022",7:30p,Toronto Raptors,98,Miami Heat,90,FTX Arena
"Mon, Oct 24, 2022",7:30p,Orlando Magic,102,New York Knicks,115,Madison Square Garden (IV)
"Mon, Oct 24, 2022",8:00p,Boston Celtics,102,Chicago Bulls,120,United Center
"Mon, Oct 24, 2022",8:00p,Utah Jazz,108,Houston Rockets,114,Toyota Center
"Mon, Oct 24, 2022",8:00p,Brooklyn Nets,124,Memphis Grizzlies,134,FedEx Forum
"Mon, Oct 24, 2022",8:00p,San Antonio Spurs,115,Minnesota Timberwolves,106,Target Center
"Mon, Oct 24, 2022",10:00p,Denver Nuggets,110,Portland Trail Blazers,135,Moda Center
"Tue, Oct 25, 2022",7:00p,Detroit Pistons,99,Washington Wizards,120,Capital One Arena
"Tue, Oct 25, 2022",7:30p,Dallas Mavericks,111,New Orleans Pelicans,113,Smoothie King Center
"Tue, Oct 25, 2022",8:00p,Los Angeles Clippers,94,Oklahoma City Thunder,108,Paycom Center
"Tue, Oct 25, 2022",10:00p,Golden State Warriors,105,Phoenix Suns,134,Footprint Center
"Wed, Oct 26, 2022",7:00p,Orlando Magic,92,Cleveland Cavaliers,103,Rocket Mortgage Fieldhouse
"Wed, Oct 26, 2022",7:00p,Atlanta Hawks,118,Detroit Pistons,113,Little Caesars Arena
"Wed, Oct 26, 2022",7:30p,Brooklyn Nets,99,Milwaukee Bucks,110,Fiserv Forum
"Wed, Oct 26, 2022",7:30p,Charlotte Hornets,131,New York Knicks,134,Madison Square Garden (IV)
"Wed, Oct 26, 2022",7:30p,Philadelphia 76ers,109,Toronto Raptors,119,Scotiabank Arena
"Wed, Oct 26, 2022",8:00p,Indiana Pacers,109,Chicago Bulls,124,United Center
"Wed, Oct 26, 2022",8:00p,San Antonio Spurs,122,Minnesota Timberwolves,134,Target Center
"Wed, Oct 26, 2022",9:00p,Houston Rockets,101,Utah Jazz,109,Vivint Arena
"Wed, Oct 26, 2022",10:00p,Los Angeles Lakers,99,Denver Nuggets,110,Ball Arena
"Wed, Oct 26, 2022",10:00p,Miami Heat,119,Portland Trail Blazers,98,Moda Center
"Thu, Oct 27, 2022",7:30p,Dallas Mavericks,129,Brooklyn Nets,125,Barclays Center
"Thu, Oct 27, 2022",8:00p,Los Angeles Clippers,110,Oklahoma City Thunder,118,Paycom Center
"Thu, Oct 27, 2022",10:00p,Miami Heat,110,Golden State Warriors,123,Chase Center
"Thu, Oct 27, 2022",10:00p,Memphis Grizzlies,125,Sacramento Kings,110,Golden 1 Center
"Fri, Oct 28, 2022",7:00p,Atlanta Hawks,136,Detroit Pistons,112,Little Caesars Arena
"Fri, Oct 28, 2022",7:00p,Charlotte Hornets,93,Orlando Magic,113,Amway Center
"Fri, Oct 28, 2022",7:30p,Cleveland Cavaliers,132,Boston Celtics,123,TD Garden
"Fri, Oct 28, 2022",7:30p,Philadelphia 76ers,112,Toronto Raptors,90,Scotiabank Arena
"Fri, Oct 28, 2022",7:30p,Indiana Pacers,127,Washington Wizards,117,Capital One Arena
"Fri, Oct 28, 2022",8:00p,New York Knicks,108,Milwaukee Bucks,119,Fiserv Forum
"Fri, Oct 28, 2022",8:00p,Los Angeles Lakers,102,Minnesota Timberwolves,111,Target Center
"Fri, Oct 28, 2022",8:30p,Chicago Bulls,124,San Antonio Spurs,129,AT&T Center
"Fri, Oct 28, 2022",9:00p,Utah Jazz,101,Denver Nuggets,117,Ball Arena
"Fri, Oct 28, 2022",10:00p,New Orleans Pelicans,111,Phoenix Suns,124,Footprint Center
"Fri, Oct 28, 2022",10:00p,Houston Rockets,111,Portland Trail Blazers,125,Moda Center
"Sat, Oct 29, 2022",6:00p,Miami Heat,113,Sacramento Kings,119,Golden 1 Center
"Sat, Oct 29, 2022",7:00p,Golden State Warriors,113,Charlotte Hornets,120,Spectrum Center
"Sat, Oct 29, 2022",7:30p,Indiana Pacers,125,Brooklyn Nets,116,Barclays Center
"Sat, Oct 29, 2022",8:00p,Philadelphia 76ers,114,Chicago Bulls,109,United Center
"Sat, Oct 29, 2022",8:00p,Atlanta Hawks,115,Milwaukee Bucks,123,Fiserv Forum
"Sat, Oct 29, 2022",9:00p,Oklahoma City Thunder,117,Dallas Mavericks,111,American Airlines Center
"Sat, Oct 29, 2022",9:00p,Memphis Grizzlies,123,Utah Jazz,124,Vivint Arena
"Sun, Oct 30, 2022",3:00p,New Orleans Pelicans,112,Los Angeles Clippers,91,Crypto.com Arena
"Sun, Oct 30, 2022",6:00p,Washington Wizards,94,Boston Celtics,112,TD Garden
"Sun, Oct 30, 2022",6:00p,New York Knicks,108,Cleveland Cavaliers,121,Rocket Mortgage Fieldhouse
"Sun, Oct 30, 2022",6:00p,Golden State Warriors,114,Detroit Pistons,128,Little Caesars Arena
"Sun, Oct 30, 2022",7:00p,Minnesota Timberwolves,98,San Antonio Spurs,107,AT&T Center
"Sun, Oct 30, 2022",7:30p,Orlando Magic,105,Dallas Mavericks,114,American Airlines Center
"Sun, Oct 30, 2022",9:00p,Houston Rockets,109,Phoenix Suns,124,Footprint Center
"Sun, Oct 30, 2022",9:30p,Denver Nuggets,110,Los Angeles Lakers,121,Crypto.com Arena
"Mon, Oct 31, 2022",7:00p,Sacramento Kings,115,Charlotte Hornets,108,Spectrum Center
"Mon, Oct 31, 2022",7:00p,Philadelphia 76ers,118,Washington Wizards,111,Capital One Arena
"Mon, Oct 31, 2022",7:30p,Indiana Pacers,109,Brooklyn Nets,116,Barclays Center
"Mon, Oct 31, 2022",7:30p,Atlanta Hawks,109,Toronto Raptors,139,Scotiabank Arena
