Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Team_away,MP_away,FG_away,FGA_away,FG%_away,3P_away,3PA_away,3P%_away,FT_away,FTA_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,Team_home,MP_home,FG_home,FGA_home,FG%_home,3P_home,3PA_home,3P%_home,FT_home,FTA_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,Winner,LogRatio_home,LogRatio_away,RB_aggr_home,RB_aggr_away,eFG%_home,eFG%_away,TS%_home,TS%_away,HomeTeamWon,Elo,Elo_home,Elo_away
0,0,0,0,0,0,"Tue, Oct 18, 2022",Philadelphia 76ers,240,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,Boston Celtics,240,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,10,24,126,0,0.1069152039165118,-0.1069152039165119,0.2222222222222222,0.1333333333333333,0.6341463414634146,0.58125,0.7146098003629764,0.6789693593314764,1,1500,1500,1500
1,1,1,1,1,1,"Tue, Oct 18, 2022",Los Angeles Lakers,240,40,94,0.426,10,40,0.25,19,25,0.76,9,39,48,23,12,4,21,18,109,Golden State Warriors,240,45,99,0.455,16,45,0.356,17,23,0.739,11,37,48,31,11,4,18,23,123,0,0.1743301805623134,-0.1743301805623134,0.282051282051282,0.2432432432432432,0.5353535353535354,0.4787234042553192,0.5910051893138574,0.5477386934673367,1,1500,1500,1500
2,2,2,2,2,2,"Wed, Oct 19, 2022",Orlando Magic,240,42,86,0.488,11,30,0.367,14,19,0.737,10,38,48,21,5,5,18,24,109,Detroit Pistons,240,40,94,0.426,14,38,0.368,19,24,0.792,12,29,41,31,11,4,12,21,113,0,0.0519946376382613,-0.0519946376382614,0.3157894736842105,0.3448275862068966,0.5,0.5523255813953488,0.5690975020145044,0.6043468618318917,1,1500,1500,1500
3,3,3,3,3,3,"Wed, Oct 19, 2022",Washington Wizards,240,42,92,0.457,11,31,0.355,19,24,0.792,14,39,53,21,5,10,16,19,114,Indiana Pacers,240,39,97,0.402,15,42,0.357,14,21,0.667,12,30,42,21,7,5,15,20,107,1,-0.0914230277635946,0.0914230277635946,0.3076923076923077,0.4666666666666667,0.4793814432989691,0.5163043478260869,0.5264711670930919,0.5859375,0,1500,1500,1500
4,4,4,4,4,4,"Wed, Oct 19, 2022",Houston Rockets,240,42,98,0.429,9,35,0.257,14,15,0.933,15,39,54,25,4,3,15,20,107,Atlanta Hawks,240,45,90,0.5,7,25,0.28,20,24,0.833,4,34,38,30,12,5,9,18,117,0,0.1288977331822575,-0.1288977331822576,0.1025641025641025,0.4411764705882353,0.5388888888888889,0.4744897959183674,0.6139798488664987,0.5281342546890425,1,1500,1500,1500
5,5,5,5,5,5,"Wed, Oct 19, 2022",New Orleans Pelicans,240,50,102,0.49,12,26,0.462,18,25,0.72,21,40,61,31,9,4,12,21,130,Brooklyn Nets,240,40,89,0.449,10,33,0.303,18,24,0.75,9,30,39,22,10,10,16,25,108,1,-0.2674803108649858,0.2674803108649859,0.225,0.7,0.5056179775280899,0.5490196078431373,0.5727619855748833,0.6046511627906976,0,1500,1500,1500
6,6,6,6,6,6,"Wed, Oct 19, 2022",New York Knicks,265,44,109,0.404,9,37,0.243,15,18,0.833,18,36,54,28,7,5,12,26,112,Memphis Grizzlies,265,42,108,0.389,17,50,0.34,14,23,0.609,20,44,64,27,6,7,13,17,115,0,0.0381351288867709,-0.038135128886771,0.5555555555555556,0.4090909090909091,0.4675925925925926,0.4449541284403669,0.5085795153016097,0.4957507082152975,1,1500,1500,1500
7,7,7,7,7,7,"Wed, Oct 19, 2022",Chicago Bulls,240,41,93,0.441,13,36,0.361,21,28,0.75,12,34,46,23,12,6,14,26,116,Miami Heat,240,37,80,0.463,12,28,0.429,22,28,0.786,8,38,46,21,6,2,19,24,108,1,-0.1030934929641036,0.1030934929641037,0.2352941176470588,0.3157894736842105,0.5375,0.510752688172043,0.6267409470752089,0.5849132714804357,0,1500,1500,1500
8,8,8,8,8,8,"Wed, Oct 19, 2022",Cleveland Cavaliers,240,38,77,0.494,10,28,0.357,19,23,0.826,6,32,38,25,5,5,17,21,105,Toronto Raptors,240,36,86,0.419,13,30,0.433,23,32,0.719,12,29,41,19,15,4,13,23,108,0,0.0406419844973457,-0.0406419844973459,0.375,0.2068965517241379,0.4941860465116279,0.5584415584415584,0.580395528804815,0.6397757738240312,1,1500,1500,1500
9,9,9,9,9,9,"Wed, Oct 19, 2022",Oklahoma City Thunder,240,38,99,0.384,14,45,0.311,18,22,0.818,16,41,57,22,6,6,13,26,108,Minnesota Timberwolves,240,39,94,0.415,10,38,0.263,27,33,0.818,14,41,55,25,6,5,14,21,115,0,0.0906025487809067,-0.0906025487809066,0.3414634146341463,0.3902439024390244,0.4680851063829787,0.4545454545454545,0.567845151096188,0.5200308166409862,1,1500,1500,1500
10,10,10,10,10,10,"Wed, Oct 19, 2022",Charlotte Hornets,240,48,94,0.511,13,29,0.448,20,23,0.87,14,37,51,26,7,10,15,20,129,San Antonio Spurs,240,40,99,0.404,7,34,0.206,15,21,0.714,14,30,44,22,8,8,15,19,102,1,-0.3388019134517586,0.3388019134517585,0.3783783783783784,0.4666666666666667,0.4393939393939394,0.5797872340425532,0.4921829762594094,0.6511205330102968,0,1500,1500,1500
11,11,11,11,11,11,"Wed, Oct 19, 2022",Denver Nuggets,240,40,83,0.482,5,22,0.227,17,18,0.944,10,25,35,21,10,3,21,23,102,Utah Jazz,240,42,83,0.506,16,38,0.421,23,31,0.742,11,32,43,27,10,1,19,21,123,0,0.2700891633677442,-0.2700891633677443,0.44,0.3125,0.6024096385542169,0.5120481927710844,0.6847027388109553,0.5864765409383625,1,1500,1500,1500
12,12,12,12,12,12,"Wed, Oct 19, 2022",Dallas Mavericks,240,35,75,0.467,14,35,0.4,21,34,0.618,5,35,40,17,6,4,12,22,105,Phoenix Suns,240,40,85,0.471,8,22,0.364,19,22,0.864,8,32,40,25,4,5,12,29,107,0,0.0272214687350242,-0.0272214687350243,0.2285714285714285,0.15625,0.5176470588235295,0.56,0.5955031166518254,0.6365179437439379,1,1500,1500,1500
13,13,13,13,13,13,"Wed, Oct 19, 2022",Portland Trail Blazers,240,39,88,0.443,11,28,0.393,26,33,0.788,11,33,44,20,11,2,11,17,115,Sacramento Kings,240,39,85,0.459,17,44,0.386,13,19,0.684,4,37,41,27,8,5,15,25,108,1,-0.0906025487809066,0.0906025487809067,0.1212121212121212,0.2972972972972973,0.5588235294117647,0.5056818181818182,0.6055169320475442,0.6036111694310309,0,1500,1500,1500
14,14,14,14,14,14,"Thu, Oct 20, 2022",Milwaukee Bucks,240,34,84,0.405,13,42,0.31,9,14,0.643,7,41,48,24,4,6,12,16,90,Philadelphia 76ers,240,36,83,0.434,5,24,0.208,11,13,0.846,6,38,44,17,6,5,10,14,88,1,-0.0324214776923775,0.0324214776923774,0.1463414634146341,0.1842105263157894,0.463855421686747,0.4821428571428571,0.5124621476822735,0.5167661920073495,0,1500,1500.0,1500
15,15,15,15,15,15,"Thu, Oct 20, 2022",Los Angeles Clippers,240,37,80,0.463,9,29,0.31,20,31,0.645,10,48,58,18,7,7,22,24,103,Los Angeles Lakers,240,33,94,0.351,9,45,0.2,22,26,0.846,8,30,38,23,13,5,10,24,97,1,-0.0865876849960906,0.0865876849960907,0.1666666666666666,0.3333333333333333,0.3989361702127659,0.51875,0.4863618130766145,0.5931812946325732,0,1500,1496.5,1500
16,16,16,16,16,16,"Fri, Oct 21, 2022",New Orleans Pelicans,240,42,89,0.472,8,22,0.364,32,37,0.865,15,38,53,23,9,7,15,14,124,Charlotte Hornets,240,44,97,0.454,13,34,0.382,11,14,0.786,11,26,37,30,9,4,13,24,112,1,-0.1468413883292711,0.1468413883292711,0.2894736842105263,0.5769230769230769,0.520618556701031,0.5168539325842697,0.5595523581135092,0.6382540662960675,0,1500,1492.5,1507.5
17,17,17,17,17,17,"Fri, Oct 21, 2022",San Antonio Spurs,240,44,81,0.543,17,31,0.548,32,44,0.727,7,30,37,34,9,4,17,22,137,Indiana Pacers,240,51,104,0.49,11,35,0.314,21,22,0.955,14,28,42,32,8,6,16,34,134,1,-0.0319428925027542,0.0319428925027542,0.4666666666666667,0.25,0.5432692307692307,0.6481481481481481,0.615582506431459,0.75540361711513,0,1500,1500.0,1500.0
18,18,18,18,18,18,"Fri, Oct 21, 2022",Chicago Bulls,240,33,79,0.418,7,27,0.259,27,33,0.818,10,28,38,19,8,3,13,15,100,Washington Wizards,240,41,80,0.513,10,26,0.385,10,11,0.909,5,34,39,26,8,8,16,22,102,0,0.0285691521967709,-0.0285691521967709,0.1785714285714285,0.2941176470588235,0.575,0.4620253164556962,0.6187818490657607,0.5796429399489914,1,1500,1500.0,1500.0
19,19,19,19,19,19,"Fri, Oct 21, 2022",Orlando Magic,240,33,80,0.413,8,34,0.235,24,30,0.8,10,34,44,16,9,7,19,19,98,Atlanta Hawks,240,40,89,0.449,13,31,0.419,15,16,0.938,9,37,46,26,10,2,17,22,108,0,0.1401776580482601,-0.1401776580482602,0.2647058823529412,0.2702702702702703,0.5224719101123596,0.4625,0.5836575875486382,0.5658198614318707,1,1500,1507.5,1492.5
