FG_away,FG%_away,3P%_away,FT%_away,ORB_away,DRB_away,TRB_away,AST_away,STL_away,TOV_away,PTS_away,LogRatio_away,RB_aggr_away,eFG%_away,TS%_away,HomeTeamWon,FG_home,FG%_home,3P%_home,FT%_home,ORB_home,DRB_home,TRB_home,AST_home,STL_home,TOV_home,PTS_home,LogRatio_home,RB_aggr_home,eFG%_home,TS%_home,Winner
43.33333,0.48,0.40433,0.735,9.0,34.0,43.0,26.0,8.33333,18.33333,119.0,-0.046,0.26089,0.56382,0.62121,0.66667,41.33333,0.44567,0.40167,0.87767,12.66667,39.66667,52.33333,27.0,7.33333,11.33333,116.0,0.09134,0.35131,0.51545,0.59279,0
39.0,0.41833,0.33633,0.765,15.33333,31.66667,47.0,22.0,6.33333,15.66667,109.0,-0.05834,0.45588,0.47541,0.54964,0.66667,35.33333,0.40367,0.31767,0.73733,10.33333,38.0,48.33333,24.66667,7.0,19.66667,103.66667,-0.14696,0.25345,0.4702,0.55106,0
35.33333,0.39667,0.36433,0.75833,12.33333,34.66667,47.0,23.0,6.33333,13.33333,101.66667,-0.01511,0.33021,0.45991,0.53916,0.33333,43.66667,0.474,0.33567,0.718,13.0,33.66667,46.66667,21.33333,4.33333,14.0,115.33333,0.04946,0.42566,0.52682,0.58909,1
40.0,0.44833,0.34967,0.82433,11.33333,29.33333,40.66667,20.33333,6.66667,13.0,110.0,-0.11444,0.33978,0.49123,0.57749,1.0,45.0,0.50733,0.39,0.89167,10.0,36.66667,46.66667,27.66667,8.0,13.66667,122.33333,0.14718,0.3569,0.57879,0.6538,0
41.33333,0.452,0.38367,0.67967,10.0,33.66667,43.66667,26.33333,9.33333,14.66667,114.0,-0.06627,0.26552,0.53175,0.58689,0.66667,40.0,0.43733,0.27233,0.83,15.66667,31.33333,47.0,20.66667,6.33333,16.0,101.33333,-0.22013,0.55767,0.47328,0.53247,0
38.0,0.421,0.33433,0.70233,9.66667,35.0,44.66667,25.0,6.66667,13.33333,103.66667,-0.16183,0.24362,0.48347,0.54291,1.0,39.66667,0.43867,0.31467,0.82267,15.33333,33.66667,49.0,19.33333,4.33333,12.66667,106.0,-0.0557,0.45506,0.47534,0.55288,0
39.0,0.40667,0.34333,0.80333,11.0,30.33333,41.33333,18.66667,7.0,8.66667,101.66667,-0.16655,0.2658,0.46069,0.51081,1.0,42.33333,0.44933,0.32667,0.81567,13.33333,28.66667,42.0,26.0,7.33333,14.66667,119.66667,-0.0002,0.45996,0.52151,0.59717,1
41.33333,0.44467,0.28767,0.73233,13.66667,38.33333,52.0,22.0,7.0,15.0,109.66667,0.01807,0.39553,0.4826,0.55722,0.33333,39.66667,0.449,0.32233,0.87133,15.0,31.66667,46.66667,20.66667,9.0,14.33333,109.66667,-0.04831,0.54613,0.4923,0.57913,1
39.0,0.415,0.347,0.80133,14.33333,37.0,51.33333,18.0,6.0,14.0,114.0,-0.00935,0.38928,0.47982,0.56697,0.66667,40.0,0.424,0.37867,0.84233,13.33333,41.0,54.33333,26.66667,6.0,14.66667,113.33333,0.14497,0.36184,0.48914,0.56728,0
42.66667,0.47833,0.39833,0.696,10.0,33.33333,43.33333,24.0,5.66667,12.33333,118.33333,0.05699,0.3043,0.56447,0.62394,0.33333,42.33333,0.46167,0.40133,0.743,11.0,32.33333,43.33333,28.33333,5.0,12.0,112.0,-0.10187,0.29414,0.53456,0.58184,1
